AccNum,GeneName,txReads2,txRPKM2,cdReads2,cdRPKM2
NM_152245,CPT1B,19.0,4.81352656985,18.0,5.76954597506
NM_153698,AAED1,23.0,13.9560214817,15.0,16.3724634314
NM_001105203,RUSC1,78.0,16.6364899579,64.0,17.5606606668
NM_001185118,MYNN,22.0,3.04691941034,15.0,6.08273191315
NM_001137549,FAM25G,0.0,-,0.0,-
NM_001137548,FAM25C,0.0,-,0.0,-
NM_053050,MRPL53,59.0,66.95462679,41.0,89.8988301807
NM_001330728,SIRPA,2.0,0.35286486579,1.0,0.486777891151
NM_053053,TADA1,30.0,9.9240299037,17.0,12.5359794409
NM_053054,CATSPER1,1.0,0.283814371816,1.0,0.317247050699
NM_001007255,KLHDC9,0.0,-,0.0,-
NM_001258428,SLC4A9,0.0,-,0.0,-
NM_001290983,DLG1,104.0,15.3472748338,88.0,24.0925472933
NM_001009931,HRNR,0.0,-,0.0,-
NM_001322168,KIR3DL1,0.0,-,0.0,-
NM_001321378,PIK3C2A,51.0,4.45723713453,41.0,6.02167623617
NM_014018,MRPS28,16.0,16.8217219754,14.0,18.4509534699
NM_001330260,SCN8A,46.0,2.95883113795,39.0,4.87785356751
NM_016106,SCFD1,57.0,18.9823749408,54.0,20.8080515026
NM_001039614,C15orf59,1.0,0.130108496374,1.0,0.842754920393
NM_005270,GLI2,49.0,5.38073306981,43.0,6.71336339232
NM_001330266,GCA,0.0,-,0.0,-
NM_001321120,TBX4,0.0,-,0.0,-
NM_001321122,LTF,0.0,-,0.0,-
NM_001039615,ZNF705D,0.0,-,0.0,-
NM_173664,ARL10,34.0,10.3746036752,21.0,21.2374239939
NM_001321127,PHF7,4.0,1.25400226029,1.0,0.648612425643
NM_006988,ADAMTS1,212.0,33.8812483412,137.0,35.0666143426
NM_006989,RASA4,0.0,-,0.0,-
NM_001267560,TJP3,0.0,-,0.0,-
NM_000184,HBG2,0.0,-,0.0,-
NM_014014,SNRNP200,749.0,77.1213561436,700.0,81.1600199424
NM_001097634,GCNT1,6.0,0.746544867546,4.0,2.31020929227
NM_001304958,CCDC92,16.0,5.26703163711,11.0,8.20924521853
NM_006982,ALX1,9.0,5.17385039295,9.0,6.81935632832
NM_016102,TRIM17,0.0,-,0.0,-
NM_006183,NTS,0.0,-,0.0,-
NM_001039618,CREBZF,48.0,4.71008215311,30.0,20.9383053461
