AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_004824	94.0	0	0	94.0	61.0	32.0	1.0
NM_001348223	0	0	0	0	0	0	0
NM_138290	1.0	0	0	1.0	0	1.0	0
NM_018004	2.0	0	0	2.0	1.0	1.0	0
NM_031490	266.0	0	4.0	266.0	245.0	11.0	10.0
NM_001199860	35.0	0	2.0	35.0	32.0	2.0	1.0
NM_001256134	0	0	0	0	0	0	0
NM_213606	0	0	0	0	0	0	0
NM_003931	221.0	0	0	221.0	110.0	110.0	1.0
NM_003857	0	0	0	0	0	0	0
NM_014264	131.0	0	4.0	131.0	72.0	59.0	0
NM_181599	0	0	0	0	0	0	0
NM_018665	31.0	0	0	31.0	26.0	5.0	0
NM_004577	417.0	0	68.0	417.0	229.0	185.0	3.0
NM_148842	413.0	0	11.0	413.0	147.0	263.0	3.0
NM_001288565	529.0	0	0	529.0	492.0	35.0	2.0
NM_005092	0	0	0	0	0	0	0
NM_001007530	0	0	0	0	0	0	0
NM_007128	0	0	0	0	0	0	0
NM_002559	0	0	0	0	0	0	0
NM_207123	126.0	0	5.0	126.0	76.0	47.0	3.0
NM_017780	733.0	0	17.0	733.0	647.0	85.0	1.0
NM_001304958	38.0	0	1.0	38.0	23.0	15.0	0
NM_001203	5.0	0	1.0	5.0	4.0	1.0	0
NM_006495	1.0	0	0	1.0	1.0	0	0
NM_138433	0	0	0	0	0	0	0
NM_003151	0	0	0	0	0	0	0
NM_203374	91.0	0	0	91.0	85.0	5.0	1.0
NM_001823	2224.0	0	13.0	2224.0	2184.0	24.0	16.0
NM_001242844	134.0	0	4.0	134.0	96.0	38.0	0
NM_014819	907.0	0	1.0	907.0	766.0	128.0	13.0
NM_018425	190.0	0	0	190.0	173.0	14.0	3.0
NM_001190986	0	0	0	0	0	0	0
NM_001291535	0	0	0	0	0	0	0
NM_032361	154.0	0	0	154.0	154.0	0	0
NM_201553	0	0	0	0	0	0	0
NM_002276	0	0	0	0	0	0	0
NM_001144927	299.0	0	7.0	299.0	238.0	59.0	2.0
NM_014278	213.0	0	20.0	213.0	145.0	66.0	2.0
NM_001184889	357.0	0	7.0	357.0	58.0	299.0	0
NM_021005	343.0	0	8.0	343.0	165.0	174.0	4.0
NM_001002036	0	0	0	0	0	0	0
NM_002168	376.0	0	0	376.0	349.0	26.0	1.0
NM_001098817	85.0	0	5.0	85.0	64.0	20.0	1.0
NM_001288780	0	0	0	0	0	0	0
NM_001258329	70.0	0	20.0	70.0	63.0	1.0	6.0
NM_001142883	100.0	0	1.0	100.0	49.0	50.0	1.0
NM_000593	134.0	0	1.0	134.0	133.0	1.0	0
NM_001198784	0	0	0	0	0	0	0
NM_002147	2.0	0	0	2.0	2.0	0	0
NM_182492	5.0	0	0	5.0	5.0	0	0
NM_001005183	0	0	0	0	0	0	0
NM_174983	303.0	0	0	303.0	202.0	99.0	2.0
NM_052959	1.0	0	1.0	1.0	1.0	0	0
NM_003320	25.0	0	37.0	25.0	23.0	0	2.0
NM_144607	67.0	0	0	67.0	45.0	20.0	2.0
NM_000883	112.0	0	61.0	112.0	106.0	2.0	4.0
NM_001004725	0	0	0	0	0	0	0
NM_001319086	312.0	0	280.0	312.0	270.0	19.0	23.0
NM_003462	0	0	0	0	0	0	0
NM_001329964	0	0	1.0	0	0	0	0
NM_001214909	91.0	0	12.0	91.0	63.0	28.0	0
NM_001080493	20.0	0	1.0	20.0	19.0	1.0	0
NM_001204268	0	0	0	0	0	0	0
NM_002739	3.0	0	0	3.0	3.0	0	0
NM_021156	138.0	0	0	138.0	116.0	21.0	1.0
NM_032656	289.0	0	0	289.0	282.0	3.0	4.0
NM_001289933	0	0	0	0	0	0	0
NM_016231	14.0	0	2.0	14.0	10.0	3.0	1.0
NM_014518	0	0	0	0	0	0	0
NM_001352289	250.0	0	14.0	250.0	137.0	112.0	1.0
NM_144644	1.0	0	0	1.0	1.0	0	0
NM_030934	232.0	0	1.0	232.0	195.0	36.0	1.0
NM_006042	67.0	0	1.0	67.0	5.0	62.0	0
NM_001100878	55.0	0	3.0	55.0	46.0	7.0	2.0
NM_001198844	3.0	0	3.0	3.0	3.0	0	0
NM_005194	453.0	0	0	453.0	251.0	199.0	3.0
NM_001351100	462.0	0	8.0	462.0	421.0	41.0	0
NM_080746	6.0	0	0	6.0	6.0	0	0
NM_001316335	7.0	0	0	7.0	1.0	0	6.0
NM_001294335	29.0	0	8.0	29.0	21.0	8.0	0
NM_032899	0	0	0	0	0	0	0
NM_001135789	0	0	0	0	0	0	0
NM_005626	1296.0	0	8.0	1296.0	1232.0	57.0	7.0
NM_030821	47.0	0	0	47.0	18.0	29.0	0
NM_001013736	0	0	0	0	0	0	0
NM_015205	77.0	0	7.0	77.0	66.0	7.0	4.0
NM_020823	110.0	0	27.0	110.0	106.0	0	4.0
NM_194283	200.0	0	4.0	200.0	150.0	48.0	2.0
NM_019098	0	0	68.0	0	0	0	0
NM_003530	5624.0	0	24.0	5624.0	4359.0	1264.0	1.0
NM_001290062	15.0	0	0	15.0	12.0	3.0	0
NM_006045	27.0	0	1.0	27.0	26.0	0	1.0
NM_003802	3.0	0	0	3.0	3.0	0	0
NM_014646	74.0	0	17.0	74.0	69.0	4.0	1.0
NM_012459	450.0	0	1.0	450.0	442.0	5.0	3.0
NM_000137	58.0	0	0	58.0	54.0	3.0	1.0
NM_152531	114.0	0	4.0	114.0	93.0	16.0	5.0
NM_006401	1155.0	0	5.0	1155.0	781.0	370.0	4.0
NM_001352769	0	0	3.0	0	0	0	0
NM_003914	48.0	0	0	48.0	39.0	8.0	1.0
NM_001195014	0	0	0	0	0	0	0
NM_001102651	24.0	0	3.0	24.0	12.0	12.0	0
