AccNum	ExonReads	RefseqReads	IntronReads	GenomeRefseqReads	CD_GenomeRefseqReads	fpUTR_reads	tpUTR_reads
NM_001258283	0	0	0	0	0	0	0
NM_001136112	0	0	0	0	0	0	0
NM_052955	0	0	0	0	0	0	0
NM_014895	19.0	0	6.0	19.0	19.0	0	0
NM_001161425	12.0	0	3.0	12.0	7.0	5.0	0
NM_181501	6.0	0	4.0	6.0	5.0	0	1.0
NM_014712	176.0	0	28.0	176.0	139.0	15.0	22.0
NM_018957	137.0	0	15.0	137.0	116.0	15.0	6.0
NM_001099269	70.0	0	56.0	70.0	26.0	32.0	12.0
NM_006963	117.0	0	3.0	117.0	58.0	14.0	45.0
NM_017696	98.0	0	18.0	98.0	85.0	0	13.0
NM_032142	494.0	0	53.0	494.0	485.0	8.0	1.0
NM_018129	265.0	0	2.0	265.0	108.0	11.0	146.0
NM_015016	167.0	0	24.0	167.0	119.0	0	48.0
NM_003389	305.0	0	10.0	305.0	141.0	0	164.0
NM_000292	89.0	0	15.0	89.0	66.0	11.0	12.0
NM_000745	61.0	0	3.0	61.0	39.0	16.0	6.0
NM_000609	0	0	0	0	0	0	0
NM_016027	26.0	0	11.0	26.0	18.0	4.0	4.0
NM_032927	58.0	0	8.0	58.0	18.0	27.0	13.0
NM_144492	0	0	0	0	0	0	0
NM_014912	45.0	0	23.0	45.0	27.0	2.0	16.0
NM_001454	5.0	0	2.0	5.0	4.0	0	1.0
NM_003146	1253.0	0	27.0	1253.0	953.0	127.0	173.0
NM_032756	16.0	0	0	16.0	13.0	2.0	1.0
NM_001350065	1116.0	0	386.0	1116.0	933.0	91.0	92.0
NM_001190158	0	0	0	0	0	0	0
NM_182491	145.0	0	14.0	145.0	69.0	47.0	29.0
NM_002074	972.0	0	211.0	972.0	440.0	127.0	405.0
NM_021123	0	0	0	0	0	0	0
NM_178155	15.0	0	10.0	15.0	10.0	2.0	3.0
NM_199352	0	0	0	0	0	0	0
NM_001005187	0	0	0	0	0	0	0
NM_001282931	238.0	0	28.0	238.0	38.0	39.0	161.0
NM_004048	926.0	0	22.0	926.0	342.0	151.0	433.0
NM_002825	64.0	0	5.0	64.0	42.0	9.0	13.0
NM_013234	1141.0	0	72.0	1141.0	882.0	243.0	16.0
NM_001935	0	0	0	0	0	0	0
NM_001282468	0	0	0	0	0	0	0
NM_001172288	0	0	0	0	0	0	0
NM_020844	2.0	0	3.0	2.0	0	0	2.0
NM_001282748	725.0	0	107.0	725.0	392.0	216.0	117.0
NM_004824	231.0	0	25.0	231.0	202.0	13.0	16.0
NM_001348223	0	0	0	0	0	0	0
NM_138290	0	0	2.0	0	0	0	0
