AccNum,cdReads0_RNA_1,cdReads1_RNA_1,cdReads2_RNA_1,cdReads3_RNA_1,cdReads4_RNA_1
NM_021021,369,595,702,295,340
NM_001347869,30,36,39,13,18
NM_021025,17,17,29,12,9
NM_015225,68,95,83,50,64
NM_001143679,118,128,161,82,76
NM_001297658,368,457,465,191,227
NM_001286495,7,11,6,3,12
NM_023009,1430,1950,1928,942,742
NM_173531,31,38,26,7,15
NM_001286499,47,61,78,48,57
NM_001297656,857,1469,1592,701,815
NM_001297650,2,8,2,3,1
NM_006885,298,403,457,185,204
NM_002226,890,1319,1713,788,779
NM_001282864,28,51,69,36,28
NM_152695,18,17,15,13,8
NM_015259,11,16,24,14,7
NM_001319119,456,757,853,386,459
NM_001193653,248,286,323,152,145
NM_182976,42,77,51,25,34
NM_006270,61,79,123,64,54
NM_006271,8,6,8,3,1
NM_003356,1,2,7,4,7
NM_003355,96,136,161,86,75
NM_001002030,48,103,78,29,36
NM_001170704,21,27,37,15,8
NM_003358,670,1096,1096,431,860
NM_003359,180,253,254,106,124
NM_004813,147,170,225,107,121
NM_004814,733,1150,1334,636,741
NM_004815,65,123,100,36,63
NM_020199,96,141,135,63,63
NM_004817,382,545,448,198,266
NM_004818,560,874,1069,533,583
NM_020196,328,510,780,437,497
NM_020195,111,119,130,76,50
NM_014314,45,49,46,18,49
NM_020191,171,297,327,134,154
NM_001303098,172,263,294,157,131
NM_005663,334,495,739,301,337
NM_032961,308,375,444,234,184
NM_001303095,165,225,220,94,109
NM_001303096,253,361,370,143,243
NM_014313,65,115,102,40,77
NM_003688,114,138,135,46,88
NM_003689,331,457,535,236,296
NM_003680,606,1097,1088,430,504
NM_003681,245,358,412,180,217
NM_003682,497,678,626,347,372
NM_003684,104,119,150,92,107
NM_003685,1737,2580,3165,1490,1658
NM_003687,623,914,1248,596,534
NM_006416,22,26,24,5,13
NM_006417,77,106,115,54,114
NM_003172,164,215,258,117,125
NM_001324229,40,51,36,32,48
NM_006411,486,582,667,318,244
NM_001128844,3468,5004,5803,2715,2358
NM_001127325,354,491,645,292,336
NM_001127322,124,234,211,82,102
NM_001127323,3,3,6,3,2
NM_002460,1,5,10,6,4
NM_001098398,1570,2381,2173,870,1153
NM_001257360,967,1357,1459,817,743
NM_002887,245,375,387,148,229
NM_002886,152,245,221,80,83
NM_002881,99,162,159,63,56
NM_001346791,45,90,94,39,60
NM_024298,443,598,776,368,355
NM_024299,135,188,215,109,109
NM_001323684,110,162,145,75,63
NM_024292,197,265,283,107,134
NM_024293,629,839,1087,539,523
NM_024294,258,443,474,250,226
NM_002014,544,728,903,365,411
NM_024297,232,274,277,139,165
NM_001077269,164,202,186,103,82
NM_032505,8,21,19,10,13
NM_032504,50,74,115,44,83
NM_032501,120,158,183,100,91
NM_001469,1425,2280,2490,1080,1194
NM_032508,38,45,54,22,34
NM_004104,9291,12384,14815,7894,7077
NM_001077268,98,133,179,86,80
NM_001303115,658,953,1040,483,468
NM_002087,1408,1999,2480,1298,1154
NM_002086,355,541,472,224,291
NM_002081,1688,2670,3399,1722,1760
NM_002080,271,444,516,186,262
NM_001104595,64,77,104,45,46
NM_002088,120,139,212,87,99
NM_001329684,35,41,45,14,22
NM_001288726,52,61,62,30,38
NM_014008,111,152,203,103,92
NM_014007,89,121,126,34,70
NM_001461,2,1,5,3,3
NM_014002,42,71,76,40,43
NM_014003,614,986,1188,631,636
NM_014000,1570,2684,2695,1189,1460
NM_015351,77,96,113,42,55
NM_018230,338,598,599,238,325
NM_015352,476,603,677,296,402
NM_015355,44,46,51,27,40
NM_015354,1790,2625,3065,1392,1522
NM_005006,900,1472,1446,558,830
NM_005642,269,340,254,99,100
NM_018238,61,100,130,43,58
NM_006532,273,403,511,241,242
NM_000333,133,161,247,134,49
NM_002229,693,234,208,143,184
NM_002228,916,647,844,761,1507
NM_133372,104,152,96,50,95
NM_001009954,84,98,50,30,39
NM_001080495,1357,1746,1862,1003,863
NM_002221,89,65,67,57,36
NM_002557,2,4,6,1,3
NM_002556,195,292,301,159,175
NM_001113756,11,13,24,13,8
NM_001317946,579,1001,1297,561,472
NM_001039469,237,360,409,249,226
NM_007001,53,59,93,43,44
NM_001004067,25,26,28,17,13
NM_001323027,9,8,15,6,2
NM_001039465,350,588,597,233,314
NM_000487,44,50,74,50,34
NM_001291978,340,484,460,191,240
NM_005686,104,131,120,75,54
NM_005687,403,616,534,200,274
NM_001348913,38,58,51,21,33
NM_005680,28,47,27,13,26
NM_001318966,221,321,358,175,191
NM_033109,212,339,325,124,207
NM_001130009,37,55,63,25,57
NM_000484,1867,2729,3000,1339,1252
NM_018053,55,57,66,36,36
NM_018052,346,476,576,242,244
NM_001177701,22,34,29,18,19
NM_033102,82,65,110,46,54
NM_033103,71,120,101,52,74
NM_033104,152,186,218,116,131
NM_033107,110,180,174,76,112
NM_002592,878,1351,1423,503,632
NM_001206651,215,345,309,130,163
NM_001349205,151,248,204,100,152
NM_004586,173,240,226,78,129
NM_001287045,286,426,551,316,286
NM_005641,2085,2789,3490,1761,1539
NM_001353361,4,8,10,7,5
NM_013237,105,162,168,56,89
NM_001353366,106,156,195,91,107
NM_016034,340,436,558,250,221
NM_001300813,188,250,241,112,112
NM_001012968,49,43,45,15,29
NM_001256182,423,514,456,214,174
NM_004322,223,267,375,165,172
NM_001142353,75,115,86,42,77
NM_018292,99,134,138,46,65
NM_033360,15,19,8,8,3
NM_134442,106,151,171,84,91
NM_079834,82,146,186,77,104
NM_001270399,783,1185,1303,597,700
NM_000138,337,510,409,165,201
NM_005647,101,172,152,60,84
NM_014911,115,150,126,59,83
NM_014912,34,31,31,21,27
NM_014913,696,1000,668,277,432
NM_014915,25,35,26,11,30
NM_014916,1022,1524,1300,606,906
NM_001323949,205,308,371,221,279
NM_005022,1451,1947,2347,959,1060
NM_005023,35,43,37,23,38
NM_005027,604,667,820,432,339
NM_005025,63,66,75,33,25
NM_001005333,1508,2088,2310,1120,948
NM_004328,242,343,402,190,222
NM_001185095,12,39,31,17,9
NM_001005339,118,192,163,78,59
NM_177401,191,302,313,167,132
NM_022778,294,411,447,246,241
NM_001287435,129,169,196,99,82
NM_020899,137,136,179,81,101
NM_014371,454,810,984,541,454
NM_001002814,60,80,89,42,61
NM_022917,574,739,1008,534,609
NM_001316951,23,57,45,16,14
NM_001042697,37,44,56,20,30
NM_001856,28,47,51,42,28
NM_001855,54,90,102,59,74
NM_001853,661,869,835,477,534
NM_001852,311,427,544,341,303
NM_001851,2,2,2,4,2
NM_001171623,56,74,87,40,34
NM_001322811,24,31,37,8,16
NM_001859,75,109,161,57,62
NM_001858,383,635,585,223,380
NM_004442,11,18,13,7,12
NM_013233,163,285,223,99,149
NM_001348002,11,14,14,3,6
NM_148962,40,56,74,26,30
NM_001288645,15,17,14,6,6
NM_001354609,47,65,59,22,48
NM_001350989,32,47,59,25,24
NM_182663,23,55,57,19,30
NM_206862,341,455,491,192,148
NM_001204517,61,108,81,29,55
NM_153261,12,16,16,7,10
NM_001354602,3,2,3,2,4
NM_001350984,266,363,487,251,290
NM_025248,38,69,82,37,18
NM_001148,313,477,517,179,244
NM_004319,41,64,88,49,41
NM_004318,172,261,316,131,186
NM_001286555,33,36,45,20,21
NM_001286554,67,97,94,52,63
NM_001300970,16,23,26,16,16
NM_001300750,47,56,65,26,28
NM_032038,388,492,554,297,336
NM_004642,214,229,298,145,114
NM_001330761,175,258,327,154,152
NM_001330765,190,253,347,175,170
NM_001201475,27,37,43,18,20
NM_001291303,154,182,211,80,115
NM_001348341,28,51,71,23,28
NM_022902,92,113,135,61,85
NM_022903,155,146,167,85,81
NM_016183,226,377,400,194,226
NM_032445,26,21,23,12,16
NM_022908,1088,1440,1719,814,712
NM_022909,60,87,104,41,66
NM_017858,103,122,119,61,60
NM_001320642,1892,2753,3116,1406,1368
NM_001686,3680,5445,5612,2232,2692
NM_017854,362,448,540,227,270
NM_017856,16,15,28,15,9
NM_001687,340,446,565,256,214
NM_182931,146,183,148,64,108
NM_001351277,260,410,385,151,182
NM_025027,26,25,28,18,10
NM_001875,54,88,92,34,43
NM_001353259,240,417,424,151,221
NM_016329,108,199,252,97,121
NM_001348163,16,24,12,6,13
NM_016320,958,1636,1775,828,956
NM_016451,551,852,697,266,388
NM_016322,73,138,155,82,84
NM_016457,356,499,650,315,258
NM_024993,31,40,60,11,20
NM_017777,131,170,209,100,136
NM_015989,8,21,13,10,10
NM_001354975,22,23,23,7,19
NM_015987,12,17,26,7,8
NM_015983,35,45,62,30,21
NM_138468,12,19,13,6,7
NM_017588,303,388,378,163,212
NM_138461,8,13,17,4,15
NM_138463,52,52,45,30,19
NM_017585,173,217,272,140,153
NM_017582,364,552,722,334,395
NM_017583,142,209,216,99,85
NM_017580,544,866,634,254,444
NM_138466,81,89,94,48,49
NM_000155,64,111,160,64,93
NM_000154,421,555,727,378,356
NM_001161581,168,238,261,120,122
NM_024036,535,632,726,360,387
NM_001287603,338,525,652,302,304
NM_001303405,154,236,268,130,166
NM_024037,64,69,62,19,29
NM_000817,11,13,19,14,5
NM_024031,60,65,85,32,43
NM_001352650,648,936,689,312,476
NM_000152,914,1149,1568,842,795
NM_001293237,281,352,524,253,210
NM_145276,5,7,3,7,5
NM_006640,3925,5419,6144,2763,2488
NM_001308231,5,9,14,6,4
NM_006646,82,89,96,33,38
NM_006645,128,159,200,110,89
NM_006644,116,166,142,40,61
NM_006649,90,145,175,77,90
NM_001317395,121,203,261,133,151
NM_001351580,402,664,656,302,331
NM_002940,119,223,123,56,99
NM_001166305,46,84,92,47,43
NM_001166304,57,63,67,27,44
NM_138802,143,256,350,168,170
NM_138801,49,100,102,59,50
NM_002947,139,221,239,72,101
NM_001184783,59,91,84,26,60
NM_001292018,92,142,136,68,94
NM_031420,279,338,416,203,222
NM_138809,10,12,15,3,3
NM_177983,1271,1852,2033,861,881
NM_001172509,138,183,202,114,118
NM_001080543,618,940,1259,656,610
NM_003255,447,702,785,380,327
NM_139015,53,107,117,64,51
NM_001320410,8,17,14,6,10
NM_001242397,15,27,15,12,21
NM_001320417,32,41,30,10,19
NM_001324027,16,25,21,5,7
NM_001102450,8,11,3,5,4
NM_001320415,34,42,43,25,21
NM_001123355,233,328,370,146,208
NM_021821,154,232,252,117,146
NM_003249,1062,1598,1919,962,962
NM_021823,30,43,58,30,38
NM_021824,150,188,193,84,98
NM_001321532,22,34,36,21,25
NM_003549,43,52,64,35,24
NM_078469,267,370,315,115,171
NM_145858,25,48,34,11,17
NM_003546,640,1193,1633,747,658
NM_003545,4239,7252,8580,4292,3057
NM_003544,2521,5285,6644,3018,2897
NM_003543,3495,6443,8202,3994,3381
NM_003542,5089,9285,13879,6651,5429
NM_001145210,9,3,4,2,2
NM_003540,2,4,11,4,3
NM_024613,34,38,30,16,16
NM_022304,3,15,6,6,7
NM_001260491,48,44,103,64,59
NM_002499,145,198,197,67,91
NM_001318872,52,77,79,40,48
NM_014748,655,905,1052,573,540
NM_001286491,4,4,5,1,4
NM_014213,18,25,17,4,8
NM_014212,41,40,27,15,17
NM_014747,231,331,400,228,206
NM_014216,174,238,335,164,140
NM_014743,80,137,119,41,75
NM_014742,292,503,605,286,278
NM_005236,69,82,110,43,58
NM_005234,1113,1372,1443,748,737
NM_005233,233,273,357,157,218
NM_152464,75,110,126,64,66
NM_005231,239,471,526,240,246
NM_005230,90,113,134,60,61
NM_032194,43,67,63,17,29
NM_018846,64,95,88,36,66
NM_005238,94,132,209,88,96
NM_001319652,67,108,72,18,59
NM_001319658,18,26,32,13,9
NM_001314026,16,27,33,5,14
NM_001330393,203,256,283,107,130
NM_052943,147,209,134,62,72
NM_052945,7,13,14,3,6
NM_052947,139,261,318,141,173
NM_001320875,113,178,146,69,139
NM_032830,251,423,510,223,292
NM_153711,22,33,30,11,17
NM_015175,263,353,374,183,222
NM_001204410,598,957,1106,510,536
NM_032772,71,77,94,48,38
NM_032773,130,201,218,130,143
NM_015995,193,261,267,109,124
NM_032776,293,465,291,111,224
NM_032777,218,258,340,177,145
NM_001145312,116,160,173,79,114
NM_001679,108,196,188,74,69
NM_001080826,155,166,176,106,69
NM_001318063,16,14,18,10,7
NM_015042,516,767,763,369,331
NM_001040177,32,43,65,26,46
NM_001352117,106,149,131,55,70
NM_018195,35,72,52,19,22
NM_212482,16961,27316,31978,14821,16240
NM_001098615,49,52,43,15,19
NM_022753,58,75,74,39,53
NM_022750,157,192,284,140,191
NM_022756,92,183,181,81,90
NM_153713,250,336,396,180,190
NM_001321478,42,59,92,38,67
NM_001033723,66,89,73,36,41
NM_015168,434,618,891,495,463
NM_015169,135,198,202,70,87
NM_018192,32,45,64,29,46
NM_001220488,513,807,828,354,374
NM_018914,5,4,8,1,6
NM_001306147,544,767,797,328,392
NM_018911,4,3,7,2,4
NM_015164,510,757,917,483,444
NM_018913,30,38,54,22,23
NM_020883,4,6,7,6,5
NM_001282866,62,106,117,36,60
NM_001329791,80,87,113,68,66
NM_014616,190,223,191,65,124
NM_001289936,527,697,901,452,417
NM_001282860,253,339,393,177,244
NM_019063,415,579,416,174,228
NM_001113567,41,34,56,26,32
NM_019066,144,157,178,74,43
NM_019065,11,5,9,5,6
NM_019069,11,7,6,7,5
NM_001310338,67,99,99,49,73
NM_014612,707,903,973,406,494
NM_001258394,208,356,498,222,222
NM_025099,65,112,136,64,79
NM_001258397,5,8,11,4,5
NM_005093,88,107,123,52,63
NM_001304445,67,89,77,28,60
NM_058187,3,3,3,7,2
NM_001178138,166,259,227,100,122
NM_001290326,70,97,101,28,53
NM_001278284,301,529,597,269,395
NM_001033081,59,66,77,40,41
NM_003350,29,47,27,14,13
NM_001281513,304,415,428,173,191
NM_004126,212,327,195,56,103
NM_001336,1,2,3,1,3
NM_001329662,5,13,9,4,2
NM_001282755,115,173,178,75,94
NM_001353645,6,10,8,2,5
NM_001282759,52,84,104,46,42
NM_001448,1,2,1,1,1
NM_153717,138,154,217,126,123
NM_000317,40,53,75,19,30
NM_001304999,61,71,82,47,36
NM_000311,150,177,192,68,78
NM_000310,393,551,573,265,275
NM_030630,2,3,6,1,3
NM_001258026,484,693,854,367,409
NM_030636,13,18,26,8,12
NM_001350517,74,118,101,52,85
NM_001320252,17,32,23,8,16
NM_021221,9,22,23,8,11
NM_021224,298,358,357,176,171
NM_001033088,466,712,748,321,362
NM_002632,488,688,950,410,364
NM_138782,43,43,47,20,23
NM_138783,119,175,217,119,103
NM_138785,63,103,117,35,69
NM_001011724,7,18,22,8,7
NM_001270879,42,51,68,24,28
NM_017489,14,18,23,7,8
NM_001242597,317,424,516,222,246
NM_001321784,326,449,298,148,223
NM_001286184,109,189,220,114,110
NM_001303411,59,93,72,33,38
NM_003724,154,196,247,141,128
NM_178019,1,5,2,3,5
NM_006275,241,445,583,225,259
NM_005576,681,869,1172,615,513
NM_021047,12,12,5,4,5
NM_153498,43,73,112,59,68
NM_001330213,100,138,160,72,102
NM_173515,148,221,257,132,137
NM_173510,95,133,125,61,75
NM_001145001,325,402,551,230,245
NM_004781,65,102,86,44,70
NM_004782,91,166,170,72,68
NM_001193388,61,91,84,37,47
NM_173475,71,95,122,58,59
NM_004786,161,289,274,110,142
NM_004788,324,453,453,198,315
NM_004789,319,331,331,148,128
NM_001001933,99,107,122,70,66
NM_001330372,198,266,303,142,151
NM_001317968,65,92,112,51,54
NM_001317960,536,904,818,329,451
NM_001317963,118,170,222,72,99
NM_001304288,681,956,1068,402,510
NM_001282805,464,723,629,277,412
NM_003378,118,127,119,54,71
NM_003370,523,742,887,425,431
NM_006253,78,146,182,78,87
NM_139321,509,775,832,412,455
NM_006256,154,269,211,96,133
NM_003377,172,222,230,131,96
NM_006785,83,121,108,47,83
NM_006782,148,214,245,132,143
NM_001145026,17,30,20,12,19
NM_001351643,429,606,671,350,371
NM_006788,161,252,238,115,103
NM_006789,8,18,20,7,6
NM_004874,78,107,107,59,72
NM_014298,806,1082,1307,695,647
NM_001320099,27,26,51,18,16
NM_004870,248,356,465,210,237
NM_004446,395,510,389,158,262
NM_002738,3,3,6,2,2
NM_001256024,119,143,197,90,110
NM_020198,172,286,273,96,150
NM_001330216,666,825,1023,493,443
NM_000179,1277,1847,1689,567,761
NM_001964,392,120,211,165,306
NM_001199671,405,674,561,255,319
NM_004819,769,1136,1420,642,573
NM_198149,50,50,78,51,41
NM_144666,54,91,112,53,76
NM_000170,22,43,28,10,15
NM_144660,65,100,90,45,65
NM_018994,140,191,187,72,95
NM_015475,104,178,195,98,105
NM_006435,321,400,493,214,187
NM_001317134,66,94,116,68,77
NM_003157,181,259,251,110,133
NM_006432,182,282,236,126,131
NM_001160210,763,1222,1253,509,716
NM_020319,47,87,64,25,34
NM_020318,3,3,2,1,4
NM_001197293,1497,2239,2629,1313,1205
NM_001197294,2,12,10,2,3
NM_020310,30,59,45,27,24
NM_020313,133,188,226,105,116
NM_001206710,66,102,119,42,76
NM_020314,7,5,11,4,10
NM_004199,204,307,376,187,178
NM_032446,888,1581,1373,554,787
NM_001330219,6,2,5,2,5
NM_052893,92,165,132,65,95
NM_001105539,128,166,146,69,67
NM_024032,125,205,208,100,93
NM_001271593,173,272,338,165,191
NM_005984,309,429,561,248,308
NM_014470,2,6,6,8,3
NM_145265,86,88,69,26,31
NM_052897,32,53,73,34,36
NM_022782,143,163,111,51,89
NM_002013,80,135,105,43,58
NM_001040446,115,167,189,75,109
NM_001040445,188,251,322,155,166
NM_001040441,34,79,68,28,26
NM_031286,253,384,376,202,159
NM_201433,1,3,3,1,3
NM_013245,455,714,750,404,392
NM_013247,567,799,921,414,490
NM_013248,143,146,140,58,60
NM_001039661,13,19,26,13,7
NM_005094,355,495,504,294,303
NM_006549,65,98,102,52,67
NM_014028,52,58,92,44,46
NM_001193511,285,299,380,225,202
NM_005760,162,254,156,61,146
NM_018216,195,260,254,138,171
NM_015375,161,257,285,142,173
NM_018214,149,236,221,105,111
NM_018211,141,198,180,88,126
NM_018210,155,231,299,162,174
NM_001271938,1160,1418,1302,766,724
NM_005762,5639,8322,8684,4323,4568
NM_018219,4,5,8,2,1
NM_018218,254,344,240,95,200
NM_001166118,55,75,56,27,33
NM_002208,40,64,67,27,32
NM_002207,352,461,401,184,269
NM_016323,189,284,215,78,138
NM_001282232,159,233,233,109,122
NM_001134875,451,766,972,460,509
NM_152355,8,9,12,2,16
NM_001282236,16,15,6,6,4
NM_001292003,72,98,82,24,37
NM_001330698,125,216,203,114,121
NM_024419,407,487,538,274,293
NM_001287510,5,14,9,3,5
NM_002775,47,68,84,52,46
NM_001318792,208,282,330,179,175
NM_004041,155,221,267,158,118
NM_001318794,511,785,931,357,391
NM_002156,558,887,800,272,352
NM_145111,78,78,52,36,28
NM_001291953,9,13,20,3,7
NM_001560,65,84,65,35,53
NM_005099,46,33,47,43,27
NM_001291958,119,192,202,84,109
NM_002779,37,49,67,32,34
NM_001130020,177,304,319,168,211
NM_003683,244,472,580,267,340
NM_004045,94,116,155,71,64
NM_001130026,4,5,13,6,5
NM_001130028,115,157,212,108,105
NM_004044,262,399,361,111,154
NM_033163,5,6,5,8,6
NM_001242875,268,385,432,162,233
NM_001349220,276,425,470,214,271
NM_001287060,70,144,121,59,73
NM_001330692,568,932,991,449,437
NM_014680,1823,2559,2772,1308,1410
NM_014681,499,786,950,476,479
NM_001568,457,653,589,193,325
NM_001353345,96,86,66,44,57
NM_014685,144,224,288,144,142
NM_014686,263,398,410,218,222
NM_030952,51,115,265,148,179
NM_001330311,613,767,913,461,513
NM_020879,4,6,7,1,9
NM_001353438,10,11,15,6,7
NM_080652,54,95,110,47,58
NM_006415,170,285,304,99,179
NM_080656,121,126,134,74,80
NM_080657,4,7,5,6,1
NM_001093729,43,74,47,12,27
NM_001345927,18,25,18,7,10
NM_001093725,211,230,246,123,107
NM_001099409,1046,1509,1512,780,765
NM_033386,489,655,683,398,386
NM_033387,5,5,5,9,7
NM_000213,36,37,54,37,24
NM_001099402,58,81,99,40,60
NM_000210,350,405,266,106,181
NM_001110514,33,33,59,37,30
NM_003419,8,16,5,5,5
NM_133631,377,590,488,206,294
NM_001317980,54,58,78,25,31
NM_001278248,4,5,3,1,6
NM_032389,417,699,839,454,517
NM_014977,991,1486,1538,744,765
NM_001013838,86,166,171,93,89
NM_014975,55,77,97,51,44
NM_014972,616,968,1201,650,713
NM_005005,786,1241,1241,459,615
NM_014971,15,30,29,11,19
NM_005008,536,731,757,335,346
NM_032383,64,71,86,39,41
NM_032385,25,30,32,22,18
NM_080386,5,6,13,5,4
NM_177424,82,170,181,81,94
NM_018079,140,225,216,108,160
NM_004146,660,886,1070,485,432
NM_018073,56,96,87,54,47
NM_018072,538,713,606,228,399
NM_015087,211,314,246,85,161
NM_176824,40,39,42,18,30
NM_001034853,25,42,25,11,19
NM_001034852,29,44,59,18,21
NM_001789,355,545,566,287,383
NM_004996,159,234,264,92,99
NM_001839,1239,1937,2027,795,848
NM_001316972,28,29,28,10,16
NM_181711,90,45,66,38,46
NM_001831,645,890,1073,526,533
NM_001206950,809,963,1119,512,590
NM_005763,76,144,121,57,98
NM_001330566,85,82,54,24,35
NM_021973,7,7,3,1,1
NM_015873,36,58,73,48,35
NM_174889,19,42,37,9,10
NM_001100119,301,362,509,250,290
NM_001288661,688,1054,1259,603,489
NM_001294341,3,2,5,3,3
NM_001294340,273,340,416,200,207
NM_001348067,503,788,906,376,430
NM_182645,113,189,153,61,66
NM_182647,7,13,13,9,6
NM_182640,140,196,215,78,124
NM_182643,303,632,689,342,505
NM_001113347,498,699,908,440,371
NM_005068,4,5,3,2,4
NM_001354375,114,141,150,65,85
NM_020782,231,264,344,150,202
NM_021975,244,294,416,201,154
NM_017789,812,930,920,432,396
NM_004663,322,477,498,196,224
NM_004661,198,311,323,150,190
NM_004667,949,1218,910,399,522
NM_004664,29,38,42,23,19
NM_001167,43,40,54,18,41
NM_025222,220,389,478,200,229
NM_001161,52,54,56,30,30
NM_001321645,23,34,48,16,32
NM_001199469,2,3,4,4,1
NM_001317776,9,11,8,2,4
NM_001271208,870,1336,915,474,641
NM_001308384,42,76,109,51,49
NM_001143827,52,59,58,30,44
NM_001348322,1313,1876,2057,899,1291
NM_001143823,46,80,55,25,40
NM_001321648,142,223,253,68,108
NM_001143821,77,95,74,41,38
NM_000784,159,228,253,128,131
NM_000785,7,13,19,12,13
NM_000786,620,908,827,376,523
NM_017780,1169,1565,1236,528,667
NM_000788,70,137,126,64,69
NM_000789,17,15,29,6,12
NM_017781,1,2,4,1,2
NM_001142483,25,39,31,12,11
NM_017838,162,221,259,101,98
NM_017839,22,19,12,7,13
NM_017836,119,175,167,91,97
NM_017832,18,22,23,17,10
NM_017833,2,5,2,1,2
NM_032802,14,33,41,10,17
NM_022117,87,124,144,81,84
NM_172070,305,498,386,181,272
NM_016309,74,115,146,56,57
NM_016308,140,238,202,75,128
NM_016307,82,108,106,56,53
NM_016306,213,324,339,162,180
NM_016305,33,40,35,19,14
NM_016304,22,40,29,10,22
NM_016303,61,97,54,22,27
NM_016302,83,138,113,44,74
NM_022873,100,165,223,108,93
NM_001354955,10,22,7,2,9
NM_015963,811,1073,1243,494,584
NM_015960,26,45,53,24,26
NM_015965,1182,1468,1883,713,707
NM_015969,81,101,99,43,54
NM_024295,160,244,347,169,188
NM_153809,26,32,31,8,16
NM_001284325,421,593,708,333,310
NM_138447,192,250,301,138,132
NM_138446,130,220,251,102,130
NM_138444,254,283,314,134,151
NM_138443,58,75,69,25,40
NM_138442,351,496,522,229,205
NM_138441,183,199,187,78,105
NM_138440,67,102,153,82,79
NM_181515,121,183,183,81,86
NM_001199280,4,2,3,3,4
NM_172251,273,392,495,240,249
NM_001199282,331,437,344,134,247
NM_007313,1684,2448,2751,1449,1509
NM_007314,500,944,1025,485,841
NM_001143674,97,142,143,71,78
NM_001136534,56,79,125,39,45
NM_001136537,17,20,35,24,29
NM_139199,212,353,376,176,303
NM_020654,23,36,23,18,25
NM_001024660,33,50,72,24,39
NM_145803,42,60,51,34,40
NM_001032280,9,6,10,4,3
NM_001032282,136,306,293,160,214
NM_001032283,539,840,869,427,477
NM_015201,144,179,256,116,113
NM_020650,572,865,991,497,458
NM_001350145,10,21,17,14,10
NM_001330057,171,231,228,106,155
NM_002923,113,112,138,69,89
NM_031157,78,101,88,19,40
NM_002921,8,8,8,2,2
NM_003514,3939,6492,8689,4396,3703
NM_020959,199,177,199,93,99
NM_002928,533,514,437,233,192
NM_024315,142,215,168,53,89
NM_001080522,81,106,109,45,68
NM_002158,181,273,222,76,128
NM_024310,15,7,17,11,15
NM_024313,113,194,185,80,108
NM_024319,108,139,198,93,82
NM_014043,9,24,20,8,17
NM_013349,272,402,401,176,197
NM_001283041,44,75,64,39,52
NM_020950,111,119,142,81,91
NM_020957,91,131,115,53,59
NM_020956,15,26,35,6,13
NM_001171941,174,273,296,136,163
NM_138389,192,239,207,86,116
NM_175709,4,6,9,2,5
NM_003525,1628,3130,3481,1756,1514
NM_003524,2473,4450,6140,3092,2286
NM_003527,1684,2999,4258,2206,1607
NM_003526,2373,3922,4621,2189,1853
NM_003521,949,1724,2212,1096,789
NM_003520,668,1119,1299,701,418
NM_003523,497,848,1291,690,533
NM_003522,1376,2499,2775,1382,971
NM_025241,512,801,987,518,499
NM_001080435,42,57,64,32,48
NM_003529,2010,3684,4493,2092,1561
NM_003528,1036,1726,2251,1153,797
NM_015188,41,60,61,29,43
NM_001288819,12,9,9,9,9
NM_001350141,38,40,41,11,26
NM_020435,6,20,16,19,16
NM_014763,174,271,310,128,164
