AccNum,cdReads0_RPF_2,cdReads1_RPF_2,cdReads2_RPF_2,cdReads3_RPF_2,cdReads4_RPF_2
NM_133452,856,1194,841,603,445
NM_006931,204,139,49,39,41
NM_006930,761,706,275,191,146
NM_000033,36,57,38,15,17
NM_006937,168,180,62,43,42
NM_017924,291,255,103,64,62
NM_003216,66,50,18,15,10
NM_017926,292,283,141,103,111
NM_153221,250,313,233,154,93
NM_153223,51,50,38,35,24
NM_001206559,26,28,8,6,7
NM_001324165,21,15,6,8,8
NM_004269,117,97,60,29,22
NM_001330169,44,57,14,16,11
NM_004267,8,22,14,17,6
NM_001001436,94,65,28,19,13
NM_004263,75,96,43,39,27
NM_001001433,122,87,42,43,73
NM_004260,262,296,225,167,191
NM_001124767,85,70,35,23,14
NM_001291415,99,218,96,79,59
NM_001135644,450,508,176,150,164
NM_001135642,98,115,43,36,33
NM_004304,89,121,101,56,51
NM_001164496,2,4,2,4,5
NM_001281453,532,746,500,375,282
NM_014818,9,9,6,2,2
NM_020470,270,290,136,95,80
NM_001324301,3757,4150,1589,1166,1065
NM_025113,103,85,24,20,16
NM_020474,317,295,113,71,73
NM_025115,126,93,61,38,36
NM_001324309,225,311,168,120,91
NM_015227,76,116,37,40,37
NM_001308158,3,1,1,1,1
NM_198795,7,11,5,3,3
NM_198794,168,185,81,67,61
NM_016529,4,1,1,1,5
NM_016526,55,57,34,14,15
NM_016524,11,9,5,3,7
NM_001010983,148,161,75,50,63
NM_175875,128,149,79,36,27
NM_175874,16,9,1,4,2
NM_175876,160,111,85,60,38
NM_175871,38,33,11,12,8
NM_175872,12,14,10,12,4
NM_004477,196,189,87,51,48
NM_013240,11,8,7,3,6
NM_001277403,51,41,24,11,19
NM_002160,2851,4247,2981,2093,1318
NM_013242,389,536,259,167,108
NM_002166,72,160,44,34,39
NM_002167,670,1542,645,363,312
NM_013341,629,480,134,94,105
NM_002168,385,442,164,121,87
NM_001199860,38,46,17,11,15
NM_001303530,649,749,474,304,211
NM_004474,9,4,8,6,6
NM_001303534,6,7,7,9,4
NM_013246,16,15,11,5,9
NM_001136200,134,137,71,54,39
NM_003558,54,57,14,14,14
NM_001024596,85,67,28,23,28
NM_203290,308,363,166,144,122
NM_001040697,133,95,39,22,32
NM_001040694,647,750,390,319,268
NM_001257975,859,1017,411,520,528
NM_001305242,67,62,35,13,27
NM_016586,177,207,83,65,49
NM_001773,26,15,4,4,5
NM_016589,151,170,76,45,30
NM_002305,7221,7523,2912,1932,1742
NM_001349346,300,305,113,92,83
NM_001126118,724,687,285,215,230
NM_001323307,2,2,6,2,1
NM_002309,22,22,8,8,6
NM_024577,10,5,3,3,1
NM_024571,47,69,38,29,38
NM_024573,588,503,143,105,104
NM_001256510,983,874,292,208,207
NM_001166426,97,170,84,55,59
NM_001316942,138,176,96,55,37
NM_016133,67,40,18,10,12
NM_024578,86,95,31,23,19
NM_152444,77,54,17,16,14
NM_032424,152,72,37,36,32
NM_001004304,92,67,17,21,29
NM_032427,287,214,96,90,76
NM_001130964,55,40,30,35,21
NM_001130965,589,573,260,183,159
NM_032423,9,14,10,12,9
NM_001130969,32,61,33,46,51
NM_032429,659,776,355,292,224
NM_014850,10,16,13,6,8
NM_001144989,13,10,9,5,3
NM_015853,536,575,292,182,148
NM_175062,60,85,54,50,38
NM_014023,65,34,28,23,27
NM_001004301,53,33,7,13,9
NM_031885,178,194,60,38,49
NM_181892,141,112,37,34,26
NM_138811,6,8,3,3,1
NM_001014445,56,45,25,22,22
NM_019028,218,234,76,54,36
NM_014587,384,534,301,188,170
NM_014586,146,193,101,69,49
NM_014584,285,348,92,83,76
NM_001351517,607,459,148,132,126
NM_138813,32,41,28,28,17
NM_000212,707,640,216,125,115
NM_015721,741,615,320,218,180
NM_021916,35,24,16,18,13
NM_021913,588,1067,608,416,379
NM_001145369,216,148,63,53,67
NM_007315,1023,865,276,195,186
NM_018139,272,179,91,78,62
NM_018136,1046,869,326,271,248
NM_018137,179,170,104,71,65
NM_152424,49,59,30,31,17
NM_018135,273,315,145,113,100
NM_018132,195,151,45,38,34
NM_018133,84,95,39,33,29
NM_018130,45,52,23,16,18
NM_001145365,51,48,25,18,20
NM_005228,555,806,390,330,292
NM_001289824,60,85,59,44,24
NM_001159677,1389,1185,410,302,297
NM_015512,5,8,6,6,10
NM_018215,956,965,403,286,216
NM_000428,205,303,233,177,85
NM_005659,659,608,205,184,181
NM_005308,232,178,86,110,130
NM_014369,65,94,34,33,33
NM_005650,389,497,224,179,125
NM_014365,33,46,10,11,8
NM_014363,1188,1157,341,290,284
NM_014362,184,163,40,44,35
NM_005657,1053,1028,379,353,336
NM_032280,173,142,55,48,38
NM_003851,72,87,34,18,19
NM_032283,151,169,77,43,62
NM_032286,235,244,101,73,91
NM_001308054,119,104,46,29,27
NM_032288,275,323,86,71,86
NM_001271420,60,68,32,23,22
NM_015185,212,167,57,65,59
NM_015187,111,163,63,41,36
NM_001286837,41,53,24,20,25
NM_005221,13,3,8,13,10
NM_001017927,9,12,9,7,1
NM_014754,352,446,180,130,130
NM_001004343,11,12,2,3,2
NM_001009924,44,30,20,9,11
NM_001330420,124,158,54,48,58
NM_174983,223,286,140,66,62
NM_152519,145,86,34,19,18
NM_001291163,206,174,91,48,53
NM_001304499,146,139,50,31,28
NM_015379,371,371,191,111,126
NM_001135773,44,63,39,32,14
NM_203349,34,37,26,16,12
NM_152517,53,48,10,13,17
NM_152516,389,425,174,115,112
NM_001258376,382,344,133,119,127
NM_001258373,173,217,105,80,103
NM_145018,105,89,37,20,25
NM_001172173,10,3,5,1,2
NM_001301365,31,19,8,7,7
NM_183422,65,71,41,16,28
NM_033489,57,41,29,31,37
NM_001322015,39,27,13,13,10
NM_033484,42,71,19,16,11
NM_001162429,1011,879,333,257,234
NM_033480,117,119,66,32,36
NM_001330390,238,232,68,45,60
NM_001024,2607,2405,1185,886,855
NM_001330395,327,387,216,133,136
NM_001020,3813,3531,1457,1145,950
NM_001321272,14,15,5,4,5
NM_001028,1033,1058,524,407,296
NM_016062,346,307,147,103,94
NM_016063,201,184,86,55,52
NM_016060,148,117,46,24,29
NM_001010935,202,167,63,46,34
NM_016066,104,94,39,25,21
NM_016067,245,280,113,83,67
NM_016065,594,605,201,167,165
NM_001193552,133,72,22,31,15
NM_016068,257,260,117,83,56
NM_004737,12,24,16,10,9
NM_002205,277,284,130,84,70
NM_001166111,346,447,314,216,195
NM_001037540,52,71,28,29,20
NM_001271634,620,582,262,169,125
NM_001282662,199,192,112,86,77
NM_001008528,54,86,41,40,24
NM_001240,320,286,123,99,90
NM_002202,21,16,12,9,2
NM_001031720,174,177,64,50,43
NM_001031721,39,30,21,15,15
NM_001031727,159,139,64,40,34
NM_001031725,109,101,40,26,19
NM_003796,207,275,166,173,181
NM_005701,119,121,53,42,42
NM_001207018,217,218,128,94,75
NM_001321099,218,136,46,38,38
NM_002109,729,655,297,260,244
NM_001111125,49,39,22,18,14
NM_016205,73,155,95,68,45
NM_016202,161,158,80,45,35
NM_016203,17,32,15,8,19
NM_016200,282,269,107,66,53
NM_153348,120,83,53,30,37
NM_001174146,1,9,9,8,7
NM_018696,49,41,12,20,17
NM_001318252,419,482,256,154,130
NM_001172780,39,40,22,15,12
NM_001539,3007,2774,957,663,613
NM_001134479,120,204,78,47,52
NM_001530,810,966,456,385,271
NM_001531,78,78,48,33,29
NM_001533,2988,3129,1399,1082,932
NM_001536,2845,2801,1236,1045,1035
NM_001318253,234,219,79,76,88
NM_001306206,472,465,201,163,165
NM_198963,343,283,116,124,106
NM_001282934,64,61,40,55,58
NM_181708,39,26,12,11,11
NM_007278,672,596,233,157,150
NM_001282931,63,74,26,26,16
NM_000046,92,96,29,30,36
NM_181705,87,60,15,12,20
NM_181706,55,53,19,19,15
NM_001350602,52,50,12,7,14
NM_000043,19,25,10,9,3
NM_194247,290,303,68,61,65
NM_001160148,53,63,34,31,29
NM_133480,316,357,194,171,119
NM_003979,123,143,77,33,36
NM_001355120,1489,1160,394,373,362
NM_003972,247,322,123,98,99
NM_001351800,8,11,7,2,3
NM_001201536,118,110,43,28,32
NM_001350113,4,5,1,3,4
NM_001351804,16,19,7,8,11
NM_004388,84,74,37,17,24
NM_001083953,649,554,215,163,210
NM_001083956,651,620,192,150,162
NM_006113,164,168,36,28,62
NM_207344,118,122,52,39,33
NM_007097,294,292,160,81,81
NM_007096,1051,1107,448,316,317
NM_024747,137,99,35,32,25
NM_024744,15,7,4,2,4
NM_024742,137,122,79,57,31
NM_024741,89,82,88,71,42
NM_001320327,935,903,355,258,226
NM_001029997,14,22,8,9,8
NM_001029991,297,332,125,97,116
NM_032564,7,7,5,2,3
NM_017551,1,5,2,6,2
NM_017550,216,322,196,141,89
NM_017553,122,186,90,88,111
NM_001320329,131,146,65,30,36
NM_017554,396,333,101,89,65
NM_173601,180,178,66,47,40
NM_173602,371,346,150,114,143
NM_001347934,13,22,16,3,9
NM_001347931,30,25,8,9,6
NM_019058,150,129,79,61,40
NM_014956,145,153,84,87,99
NM_001286581,489,635,433,367,247
NM_001300981,370,389,177,104,81
NM_001300980,65,60,28,18,15
NM_001113407,331,336,168,144,158
NM_001080791,140,123,48,46,42
NM_001271641,1151,1361,566,398,390
NM_001105537,244,341,206,131,97
NM_139033,76,95,46,40,34
NM_001243246,1012,1008,516,380,327
NM_145914,271,226,143,92,83
NM_153029,146,189,83,71,40
NM_001439,317,299,88,68,88
NM_001128423,13,21,4,6,8
NM_001554,2306,2686,2580,1885,1590
NM_001172773,198,84,53,43,22
NM_005065,995,800,396,322,285
NM_207318,183,185,52,49,43
NM_207315,13,26,9,8,3
NM_001256658,427,377,172,107,116
NM_207310,3,1,2,3,3
NM_207312,5,8,6,2,2
NM_138924,290,294,108,84,78
NM_138927,4409,4052,1679,1219,1121
NM_005822,202,193,59,31,50
NM_005530,266,203,88,69,68
NM_005827,347,386,191,120,126
NM_005824,394,485,233,168,141
NM_005533,143,139,52,35,35
NM_001288980,94,64,26,36,21
NM_005828,1366,1206,532,346,328
NM_006320,312,316,115,93,77
NM_024913,23,24,9,11,10
NM_001286139,48,58,19,14,24
NM_003791,104,267,145,103,123
NM_006325,1499,1239,533,405,311
NM_003794,333,348,122,95,97
NM_006329,20,11,2,4,6
NM_003799,368,378,137,94,85
NM_001197181,1395,1260,494,296,247
NM_001080452,147,132,63,63,58
NM_001324446,29,36,17,20,15
NM_024917,23,18,10,9,7
NM_000449,64,122,42,31,38
NM_006391,1501,1818,645,421,436
NM_032361,58,71,30,20,17
NM_032366,226,240,109,65,83
NM_032364,67,78,48,33,25
NM_032368,142,116,38,23,24
NM_152678,74,77,25,31,28
NM_152679,15,11,4,5,3
NM_001307986,122,185,117,64,52
NM_006392,923,1101,609,526,443
NM_198243,49,43,24,20,18
NM_001307980,30,32,13,8,8
NM_001442,111,106,61,34,30
NM_003478,200,256,86,68,62
NM_001003690,262,231,129,108,88
NM_001312909,239,183,52,43,35
NM_001003699,89,100,73,65,63
NM_177977,5,6,1,1,2
NM_014117,299,307,133,106,88
NM_004672,291,325,209,170,101
NM_001319137,22,21,8,4,4
NM_199133,35,37,8,11,7
NM_015575,1330,1076,458,486,409
NM_018670,3,9,6,4,2
NM_001319681,20,30,8,10,4
NM_018674,4,4,3,3,5
NM_018676,50,62,34,20,16
NM_001142935,85,72,31,21,18
NM_001142930,209,175,60,42,50
NM_001040061,2,7,2,5,2
NM_001278677,52,53,16,15,8
NM_001323631,120,120,32,18,20
NM_001353432,15,14,10,8,15
NM_002444,1411,1316,477,416,351
NM_002446,3,14,9,7,10
NM_002441,21,27,18,16,29
NM_002442,64,44,11,12,13
NM_000989,1838,1789,747,486,436
NM_031940,116,106,40,20,30
NM_002449,35,20,8,8,7
NM_014688,86,97,48,38,30
NM_014689,989,866,311,374,399
NM_005791,579,698,351,296,299
NM_152374,307,328,157,107,92
NM_004124,277,278,80,71,81
NM_005795,136,140,57,64,50
NM_001178032,120,142,41,42,42
NM_004582,514,397,183,129,127
NM_170725,60,38,25,9,14
NM_001244766,178,129,58,35,45
NM_031924,37,24,13,11,12
NM_002152,88,62,20,28,30
NM_020151,483,630,289,197,174
NM_001301778,75,77,31,37,35
NM_001101330,73,78,39,21,22
NM_033544,94,77,45,22,19
NM_033547,212,158,55,56,64
NM_033549,69,102,52,36,30
NM_033018,95,138,72,60,57
NM_001346401,46,46,24,18,11
NM_020156,73,80,24,14,8
NM_001319228,228,261,135,121,137
NM_001282690,77,119,53,50,68
NM_001237,1084,1222,509,384,338
NM_001236,45,40,22,19,9
NM_001282695,41,34,18,15,14
NM_001207067,2265,2157,731,484,451
NM_004585,32,28,10,8,10
NM_001353230,127,171,96,59,30
NM_001320918,1138,945,284,183,190
NM_080651,438,429,162,127,100
NM_001320912,920,777,277,204,235
NM_022104,131,217,137,106,55
NM_001282166,142,156,96,53,51
NM_022100,279,290,127,92,62
NM_021103,6637,7471,4095,2221,1652
NM_004589,226,316,167,89,97
NM_021107,323,370,185,116,105
NM_080654,133,100,56,55,44
NM_021105,278,211,69,52,46
NM_000076,63,64,25,26,17
NM_033138,1172,1121,477,500,422
NM_001322206,53,48,24,19,14
NM_019090,44,31,7,13,9
NM_019091,19,19,5,11,10
NM_019096,168,169,87,76,67
NM_080659,6,9,2,2,1
NM_014326,43,38,12,6,9
NM_182488,7,11,2,5,4
NM_001031677,37,42,40,20,21
NM_182480,81,97,42,30,29
NM_182487,193,234,167,131,119
NM_017634,42,51,13,15,15
NM_017636,145,129,55,42,47
NM_017637,159,148,84,72,75
NM_017661,30,23,10,14,8
NM_005654,57,94,44,45,38
NM_017633,205,193,120,94,85
NM_001142798,162,161,66,36,40
NM_017638,131,119,68,46,54
NM_001145525,680,946,334,303,264
NM_004461,1025,957,434,354,329
NM_004463,23,50,38,25,20
NM_019891,34,49,21,13,10
NM_019896,209,195,95,58,62
NM_004464,138,152,54,42,33
NM_001947,28,68,35,19,23
NM_001946,3824,2288,1464,1203,1149
NM_001949,324,353,144,120,93
NM_001496,2,2,1,1,1
NM_001494,1769,1440,488,366,344
NM_001493,691,626,307,207,195
NM_018235,481,409,194,133,131
NM_022034,1,6,6,2,5
NM_001301132,288,371,193,121,98
NM_000017,67,98,39,23,18
NM_182734,1,4,2,2,3
NM_006915,241,225,79,51,54
NM_030934,350,288,159,123,96
NM_006912,156,142,79,55,59
NM_006910,351,409,224,171,175
NM_017946,169,175,50,35,42
NM_017947,21,15,14,8,14
NM_003897,32,33,19,21,15
NM_003890,2,6,2,6,2
NM_203301,93,79,25,17,17
NM_001134316,4,4,2,1,1
NM_003898,199,316,147,140,133
NM_153240,69,60,15,18,25
NM_001099404,130,184,101,73,73
NM_004205,25,18,16,8,6
NM_004204,122,147,89,56,25
NM_001345982,157,156,115,85,55
NM_019070,579,555,286,261,227
NM_015670,168,225,105,99,120
NM_001330182,22,32,12,7,8
NM_021072,13,14,17,23,12
NM_004209,13,15,7,2,2
NM_004208,435,375,140,109,88
NM_198552,36,37,23,8,9
NM_198557,56,39,20,18,10
NM_022817,125,260,119,91,76
NM_022818,38,33,12,10,8
NM_054027,18,13,6,4,4
NM_001161376,90,81,49,37,39
NM_001031734,94,112,67,51,38
NM_001324321,156,279,131,108,104
NM_019848,22,49,27,18,14
NM_025176,41,63,31,33,26
NM_015157,354,407,273,167,112
NM_020414,1507,1544,724,588,462
NM_020410,276,386,243,117,176
NM_014951,4,4,3,5,2
NM_025179,178,346,300,149,128
NM_016545,705,421,187,185,184
NM_016544,4,4,4,7,7
NM_016547,407,625,468,321,209
NM_015154,453,455,166,134,109
NM_144981,46,32,20,3,3
NM_144982,172,157,63,70,62
NM_024885,4,3,4,1,2
NM_024884,163,122,31,35,26
NM_019112,21,34,23,10,9
NM_024881,153,185,91,58,60
NM_016548,442,610,311,205,195
NM_145059,31,32,25,17,6
NM_015894,1149,979,416,339,287
NM_015895,889,1050,375,330,256
NM_175854,41,55,26,16,18
NM_017491,1394,1580,589,511,494
NM_145055,160,137,58,42,36
NM_001012994,86,89,41,37,32
NM_145057,24,31,23,6,6
NM_014976,515,433,209,211,192
NM_001288708,139,181,102,48,18
NM_002140,2002,1841,688,471,413
NM_002141,38,29,12,10,8
NM_002143,27,13,12,3,1
NM_014974,90,97,47,55,55
NM_002146,44,96,72,38,32
NM_002147,2,4,4,5,6
NM_001242932,52,59,29,21,16
NM_001010971,5,4,1,2,1
NM_007238,106,100,45,43,40
NM_013328,331,346,204,128,97
NM_013326,109,122,53,40,31
NM_001303513,19,40,46,36,32
NM_001297760,47,56,28,16,13
NM_013320,63,54,25,31,32
NM_013321,286,379,221,172,116
NM_000332,30,48,45,54,53
NM_024086,143,175,78,52,55
NM_012111,1333,1402,532,350,309
NM_019110,28,30,32,24,16
NM_005007,116,105,66,55,62
NM_001006109,387,301,101,83,79
NM_018119,94,158,103,84,106
NM_152692,214,198,80,34,39
NM_001012662,862,918,595,313,269
NM_003099,597,590,217,201,205
NM_003098,58,95,45,25,25
NM_001243657,3,3,2,1,2
NM_003095,575,578,226,101,101
NM_001331164,124,115,49,31,34
NM_001160354,15,26,21,4,7
NM_145637,180,110,61,33,43
NM_003091,3051,3902,1704,1122,878
NM_003090,149,125,56,42,50
NM_003093,947,1086,504,332,249
NM_003092,410,348,130,106,87
NM_017919,66,47,18,19,13
NM_002858,403,389,155,94,113
NM_032382,271,303,184,105,98
NM_001104587,306,155,51,38,39
NM_017918,266,299,84,65,56
NM_002852,12,13,17,12,10
NM_002853,147,163,79,41,39
NM_002850,650,1135,752,543,426
NM_002857,335,278,117,101,94
NM_002855,228,308,228,139,95
NM_024558,43,38,35,21,23
NM_030811,283,292,167,133,116
NM_001098784,55,69,34,13,12
NM_024552,38,51,31,17,10
NM_024551,184,304,125,89,67
NM_024556,96,101,38,22,22
NM_080476,240,242,89,62,67
NM_001289079,36,32,14,11,11
NM_001256530,326,391,215,119,97
NM_001288805,77,95,60,46,36
NM_153705,501,545,191,131,113
NM_001085377,59,87,48,43,35
NM_001085372,170,165,92,61,42
NM_017913,28,43,23,9,13
NM_001144967,168,204,134,64,86
NM_017912,64,49,21,14,30
NM_032193,163,194,87,61,57
NM_015085,103,78,45,45,45
NM_005499,1224,1485,585,427,361
NM_014562,52,48,37,27,12
NM_147188,173,136,63,45,39
NM_019055,16,28,6,2,1
NM_005493,390,641,307,206,155
NM_005491,45,58,15,23,16
NM_176825,7,9,2,1,2
NM_080861,112,109,57,42,45
NM_003630,198,210,92,46,55
NM_000337,87,82,43,21,29
NM_003632,372,267,116,68,75
NM_003635,9,25,11,12,18
NM_003634,204,185,88,41,44
NM_003637,77,59,31,16,30
NM_015080,65,125,101,56,57
NM_018440,166,252,165,87,83
NM_018441,99,87,23,19,20
NM_018447,242,225,89,64,54
NM_018112,235,257,92,71,59
NM_024660,85,75,39,32,15
NM_007235,80,136,63,47,33
NM_018449,449,363,158,134,120
NM_004494,1595,1698,571,446,427
NM_001042413,57,85,50,53,47
NM_181746,397,402,180,120,141
NM_007236,229,222,99,57,75
NM_001204366,55,25,11,10,8
NM_001204199,110,123,47,27,33
NM_005679,101,132,93,83,68
NM_014302,952,882,333,234,198
NM_005675,56,64,19,25,18
NM_005674,32,18,12,11,16
NM_001291986,344,460,295,294,310
NM_001256394,227,221,103,132,114
NM_005670,7,15,5,5,2
NM_001013398,339,551,405,270,190
NM_001159377,66,37,33,28,28
NM_001352913,330,365,139,123,128
NM_001352910,18,11,3,2,2
NM_001270616,73,26,13,12,18
NM_001079537,82,57,15,21,10
NM_001204502,23,22,18,14,16
NM_152531,113,141,80,61,44
NM_001031738,14,27,8,13,10
NM_001354543,345,452,173,118,120
NM_004901,97,105,56,30,40
NM_001350848,312,322,125,96,98
NM_001322072,29,54,34,30,26
NM_001034194,830,743,285,235,228
NM_016048,94,115,51,32,33
NM_022648,327,335,210,150,120
NM_001321522,76,35,20,10,9
NM_016042,272,228,103,72,89
NM_016044,40,34,17,13,9
NM_016045,390,355,125,108,102
NM_001111322,407,529,272,245,228
NM_001164841,82,69,33,26,17
NM_001159704,159,218,71,46,41
NM_080743,30,28,9,10,12
NM_001191033,21,19,8,7,2
NM_001129727,104,159,120,79,58
NM_001040274,20,35,15,22,34
NM_001113434,36,30,12,5,13
NM_001034996,518,514,176,135,103
NM_001031746,48,55,24,13,11
NM_173849,3,6,7,6,5
NM_001321244,29,22,16,9,8
NM_001794,149,229,145,100,91
NM_138635,715,674,250,168,149
NM_001317163,25,22,9,3,5
NM_016228,31,30,21,11,23
NM_001351338,15,11,7,6,3
NM_016224,253,288,116,76,67
NM_016227,280,402,174,137,150
NM_016220,70,47,10,13,15
NM_016955,78,70,42,30,16
NM_138638,488,500,155,114,78
NM_001354811,222,210,79,76,57
NM_001304732,37,30,7,8,5
NM_199340,4,7,3,1,3
NM_030895,76,93,54,42,31
NM_001350921,5,2,1,4,1
NM_030891,16,40,22,16,10
NM_032590,147,154,113,108,80
NM_199342,87,85,30,22,21
NM_001006946,211,236,121,68,64
NM_001284201,179,196,86,55,39
NM_002493,536,608,257,159,133
NM_194328,60,46,18,23,28
NM_002490,1004,958,396,254,209
NM_001284209,510,570,223,155,123
NM_134323,130,164,96,53,44
NM_032593,284,300,143,99,81
NM_001009,5200,4779,2171,1542,1348
NM_004077,837,753,289,217,209
NM_004074,1097,1189,570,308,293
NM_004075,173,388,160,77,61
NM_001552,66,74,76,38,17
NM_001001,182,170,80,44,33
NM_002497,213,189,69,59,54
NM_000201,103,74,26,22,15
NM_000972,803,800,269,264,249
NM_000202,59,82,44,30,30
NM_133644,203,223,108,82,71
NM_133646,373,310,128,73,70
NM_007254,160,184,93,86,77
NM_001042590,13,15,7,3,7
NM_007259,664,558,221,172,157
NM_000754,322,359,203,109,95
NM_000751,855,689,273,206,230
NM_000750,152,207,96,72,67
NM_017799,29,29,12,3,13
NM_017798,318,350,189,138,85
NM_001350667,64,86,43,36,47
NM_030763,100,127,40,32,24
NM_030762,5,2,1,4,1
NM_017793,2,5,2,3,3
NM_003028,33,68,49,40,24
NM_017791,2,17,4,2,2
NM_017797,238,262,139,121,162
NM_001320698,11,20,3,6,3
NM_001202234,84,77,16,16,13
NM_017794,169,126,46,32,33
NM_001308392,563,787,417,292,238
NM_138693,21,20,11,9,10
NM_003956,4,9,3,2,1
NM_138697,4,8,2,1,4
NM_001308395,24,42,16,6,12
NM_006059,42,65,24,19,19
NM_003958,218,219,93,102,89
NM_001351395,18,14,7,6,4
NM_001198670,31,25,18,9,9
NM_006056,2,2,1,1,2
NM_001329517,49,40,19,11,11
NM_020647,95,124,54,31,32
NM_020645,75,72,19,20,19
NM_003025,959,1084,342,301,281
NM_001031812,116,170,63,45,42
NM_031934,496,609,243,167,158
NM_024766,142,128,65,35,43
NM_001080404,23,19,8,6,6
NM_024761,24,26,17,4,10
NM_024762,23,18,2,3,3
NM_024948,42,66,24,21,22
NM_024949,102,138,69,89,73
NM_024769,121,163,82,63,44
NM_001320340,36,33,10,10,10
NM_003022,343,359,101,82,68
NM_017577,38,26,15,12,6
NM_017575,260,253,119,104,81
NM_001347916,6,3,5,6,2
NM_017573,3,5,4,1,3
NM_147780,1062,1144,417,269,286
NM_001271837,580,741,330,204,222
NM_173666,27,31,13,14,8
NM_003801,435,570,332,218,152
NM_004699,455,467,202,161,162
NM_173662,8,18,6,3,4
NM_173660,65,117,87,37,18
NM_004691,500,622,275,213,167
NM_004696,12,9,7,3,2
NM_024700,293,265,118,122,107
NM_198949,456,448,161,142,132
NM_201628,45,58,38,55,34
NM_024701,22,35,21,10,12
NM_001242374,94,86,32,31,25
NM_001077624,19,9,7,2,2
NM_024097,66,93,37,27,18
NM_006716,301,338,175,110,111
NM_198947,592,397,126,79,84
NM_001286680,7,5,4,3,1
NM_175629,527,459,199,189,191
NM_014594,100,87,26,24,20
NM_145119,202,150,84,65,35
NM_003400,3446,3563,1548,1104,1242
NM_006694,104,116,48,44,25
NM_003407,82,22,14,11,20
NM_003404,2449,2976,1171,696,553
NM_001286076,554,567,185,132,131
NM_006699,71,138,71,52,55
NM_001286074,170,136,82,85,80
NM_006129,336,376,227,154,131
NM_001286072,579,553,251,247,260
NM_024709,15,20,15,9,5
NM_014595,255,283,126,87,70
NM_020444,41,54,29,23,17
NM_001291605,37,39,30,29,24
NM_001015880,170,139,63,46,40
NM_001015885,1156,1428,551,347,280
NM_030625,43,34,28,29,26
NM_001199107,197,163,117,79,45
NM_025224,108,99,73,55,67
NM_152396,41,43,24,18,14
NM_025225,25,19,10,7,9
NM_001163,7,6,3,5,2
NM_139276,1544,1428,511,417,391
NM_030621,408,483,187,159,142
NM_006345,171,140,48,37,44
NM_006342,1254,1390,704,535,448
NM_006340,357,505,282,218,175
NM_006349,326,334,182,107,106
NM_001348758,41,51,30,23,22
NM_001257231,73,69,18,18,27
NM_021215,554,662,293,177,166
NM_001243926,125,144,82,63,48
NM_001017969,29,35,15,14,6
NM_006136,517,508,167,96,97
NM_001282062,9,6,7,5,1
NM_005723,170,175,56,46,34
NM_001551,140,126,67,46,33
NM_001319073,208,136,46,40,49
NM_001081461,592,372,145,121,147
NM_198317,22,36,22,14,12
NM_001184772,508,289,167,124,108
NM_144638,10,20,12,1,4
NM_001318537,1257,862,507,389,325
NM_001318240,407,553,219,241,247
NM_001318245,150,140,95,90,69
NM_005801,742,626,186,155,150
NM_014174,396,311,117,111,89
NM_014175,613,588,200,149,155
NM_005804,1294,1638,1052,864,690
NM_005805,1941,1552,535,409,366
NM_014170,149,134,64,56,37
NM_015221,285,229,92,97,112
NM_018303,287,252,80,70,67
NM_015550,179,158,58,65,54
NM_018304,339,306,74,59,67
NM_018659,36,34,26,9,11
NM_015226,102,112,59,46,58
NM_015229,649,675,389,343,304
NM_018656,150,155,58,43,27
NM_015559,69,101,71,59,57
NM_018651,21,16,12,6,7
NM_002463,6,12,8,5,3
NM_002461,163,203,82,67,58
NM_001348184,157,194,63,93,94
NM_002467,766,755,675,727,718
NM_002466,462,787,552,560,465
NM_001287241,942,1151,454,295,307
NM_031965,135,122,61,48,51
NM_001270440,3,2,5,2,2
NM_001287248,248,152,43,65,49
NM_001270448,396,396,169,116,143
NM_001256708,82,70,42,32,17
NM_001002880,33,43,12,11,15
NM_001256704,8,10,4,2,3
NM_057093,1,1,1,1,1
NM_001130173,23,35,14,16,17
NM_033031,17,15,8,4,7
NM_001322194,14,27,21,13,12
NM_004878,41,40,26,25,37
NM_004232,113,67,27,25,22
NM_001346425,24,36,13,9,11
NM_014798,24,39,26,24,25
NM_014793,103,63,24,21,24
NM_014791,570,582,191,142,117
NM_014797,85,82,45,32,34
NM_014795,664,587,325,340,331
NM_022126,119,97,52,31,33
NM_001320973,147,145,35,33,41
NM_022121,200,190,89,82,62
NM_001320977,69,92,40,28,40
NM_001193375,1019,1025,467,296,274
NM_001350804,12,5,7,2,5
NM_022129,7,6,3,3,7
NM_007112,924,930,435,280,268
NM_001256879,362,464,207,119,123
NM_001256877,83,80,47,34,25
NM_005113,186,226,94,101,107
NM_005110,204,195,96,110,79
NM_213566,344,341,109,100,86
NM_004230,26,23,8,9,12
NM_001276722,69,62,21,21,17
NM_170707,4064,4572,2342,1831,1356
NM_001178055,107,60,49,21,35
NM_213568,35,27,21,15,9
NM_173471,21,29,12,17,3
NM_173470,93,99,28,24,20
NM_173477,8,9,3,2,3
NM_001512,260,215,64,64,62
NM_173474,75,110,41,31,23
NM_001002926,220,288,162,80,79
NM_001002296,177,155,48,52,53
NM_001967,428,274,143,161,159
NM_012247,111,159,67,42,40
NM_001965,66,23,16,7,4
NM_004444,368,665,348,287,260
NM_012242,402,955,480,247,187
NM_001330211,328,425,214,161,161
NM_004193,1155,1278,605,439,438
NM_001358345,34,45,27,15,17
NM_003977,409,406,221,160,135
