AccNum,cdReads0_RPF_2,cdReads1_RPF_2,cdReads2_RPF_2,cdReads3_RPF_2,cdReads4_RPF_2
NM_014000,3375,3737,1406,1034,971
NM_015351,45,67,19,21,27
NM_018230,787,705,263,208,157
NM_015352,460,502,263,162,138
NM_015355,161,240,99,103,100
NM_015354,2321,1831,682,626,603
NM_005006,2283,1565,530,444,442
NM_005642,1013,784,265,236,206
NM_018238,157,206,78,49,55
NM_006532,205,253,175,149,108
NM_000333,35,42,20,25,21
NM_002229,913,221,115,86,114
NM_002228,1500,509,317,344,487
NM_133372,173,161,60,41,45
NM_001009954,260,188,76,60,45
NM_001080495,557,915,763,604,361
NM_002221,48,38,38,35,16
NM_002556,498,569,195,202,170
NM_001113756,7,11,12,4,4
NM_001317946,983,1222,562,479,435
NM_001039469,239,284,146,144,139
NM_007001,46,43,23,12,12
NM_001004067,21,17,5,10,8
NM_001323027,25,21,5,3,10
NM_001039465,1194,1419,490,288,246
NM_000487,49,50,55,25,16
NM_001291978,420,438,193,175,183
NM_005686,95,68,33,24,21
NM_005687,1456,1304,494,354,326
NM_001348913,253,232,92,60,67
NM_005680,160,151,44,53,32
NM_001318966,405,321,132,111,99
NM_033109,638,711,269,212,183
NM_001130009,83,66,27,19,26
NM_000484,4544,4946,1915,1691,1432
NM_018053,47,44,16,15,13
NM_018052,198,338,225,155,123
NM_001177701,32,56,23,15,8
NM_033102,16,25,16,11,6
NM_033103,98,106,44,36,56
NM_033104,94,126,56,38,39
NM_033107,548,513,267,159,135
NM_002592,2259,2499,1118,687,481
NM_001206651,794,807,288,190,176
NM_001349205,218,216,67,69,85
NM_004586,464,410,127,112,135
NM_001287045,242,283,106,62,79
NM_005641,1331,1738,903,728,650
NM_001353361,11,14,5,6,2
NM_013237,46,61,42,26,18
NM_001353366,108,126,80,90,80
NM_016034,457,520,273,197,188
NM_001300813,496,421,157,149,136
NM_001012968,167,156,59,34,39
NM_001256182,356,586,391,251,188
NM_004322,282,373,186,114,84
NM_001142353,215,214,54,61,63
NM_018292,124,111,40,31,38
NM_033360,114,97,54,34,22
NM_134442,256,277,133,112,100
NM_079834,286,319,220,137,124
NM_001270399,1486,1488,590,339,282
NM_000138,349,363,133,109,97
NM_005647,41,60,33,40,27
NM_014911,289,349,151,122,124
