AccNum,cdReads0_RPF_1,cdReads1_RPF_1,cdReads2_RPF_1,cdReads3_RPF_1,cdReads4_RPF_1
NM_002087,1546,1283,770,498,379
NM_002086,503,440,312,180,170
NM_002081,1650,2007,1934,1037,693
NM_002080,317,263,161,120,106
NM_001104595,45,45,38,22,15
NM_002088,32,49,45,22,22
NM_001329684,49,36,24,21,16
NM_001288726,83,62,40,34,17
NM_014008,102,89,58,42,25
NM_014007,70,36,19,20,23
NM_014002,11,9,19,6,8
NM_014003,324,240,175,181,197
NM_014000,1826,1582,918,718,591
NM_015351,49,46,29,21,21
NM_018230,289,223,151,126,108
NM_015352,336,324,229,143,80
NM_015355,104,93,56,57,60
NM_015354,1382,955,622,519,514
NM_005006,1050,584,345,283,273
NM_005642,597,306,153,123,116
NM_018238,119,70,64,50,34
NM_006532,178,179,154,109,63
NM_000333,47,37,30,25,21
NM_002229,665,111,47,59,50
NM_002228,980,283,277,318,353
NM_133372,96,76,32,35,41
NM_001009954,90,60,42,29,25
NM_001080495,460,545,528,436,317
NM_002221,41,25,24,29,19
NM_002556,346,249,144,127,127
NM_001113756,9,11,4,2,5
NM_001317946,771,780,530,330,302
NM_001039469,162,175,135,104,108
NM_007001,39,26,21,9,10
NM_001004067,17,11,5,5,2
NM_001323027,9,7,4,3,15
NM_001039465,797,638,260,106,102
NM_000487,49,36,24,8,7
NM_001291978,240,201,151,121,117
NM_005686,97,67,45,26,27
NM_005687,606,458,328,178,186
NM_001348913,74,55,44,35,38
NM_005680,81,56,32,29,28
NM_001318966,252,173,100,91,81
NM_033109,366,291,198,128,139
NM_001130009,21,29,19,13,13
NM_000484,2802,2112,1344,1172,951
NM_018053,25,33,34,6,14
NM_018052,196,230,243,139,110
NM_001177701,28,31,25,12,7
NM_033102,24,14,16,13,6
NM_033103,92,48,31,26,24
NM_033104,65,67,55,34,34
NM_033107,207,182,136,99,87
NM_002592,1514,1208,857,513,366
NM_001206651,411,390,237,151,128
NM_001349205,137,98,52,41,55
NM_004586,194,152,105,101,82
NM_001287045,228,209,119,85,66
NM_005641,1184,1191,892,684,596
NM_001353361,11,10,7,4,3
NM_013237,38,45,34,18,14
NM_001353366,88,87,65,56,55
NM_016034,422,368,262,177,149
NM_001300813,238,168,104,96,116
NM_001012968,127,80,49,38,40
NM_001256182,199,271,224,150,162
NM_001324188,4,4,2,2,1
NM_004322,300,268,121,94,80
NM_001142353,124,89,60,57,51
NM_018292,71,55,30,24,30
NM_033360,67,51,37,25,19
NM_134442,169,132,98,74,53
NM_079834,229,218,199,115,95
NM_001270399,718,628,386,331,276
NM_000138,151,99,113,75,86
NM_005647,35,46,39,22,18
NM_014911,251,201,119,118,111
NM_014912,19,14,9,10,14
NM_014913,286,266,189,142,115
NM_014915,36,38,33,33,30
NM_014916,424,541,358,257,257
NM_001323949,134,111,84,65,47
NM_005022,4283,3610,1666,850,664
NM_005023,65,54,38,27,20
NM_005027,77,139,138,120,87
NM_005025,157,92,64,38,35
NM_001005333,2222,1749,1110,734,483
NM_004328,125,86,81,51,47
NM_001185095,33,24,13,11,9
NM_001005339,205,166,79,55,64
NM_177401,784,716,490,292,267
NM_022778,216,121,72,74,86
NM_001287435,51,44,42,23,17
NM_020899,30,39,27,18,23
NM_014371,271,241,171,164,188
NM_001002814,64,40,27,23,18
NM_022917,232,192,191,168,124
NM_001316951,84,48,28,28,23
NM_001042697,76,71,31,17,19
NM_001856,17,14,10,5,6
NM_001855,84,95,83,71,54
NM_001853,558,469,184,154,105
NM_001852,270,256,153,108,87
NM_001171623,41,28,39,15,16
NM_001322811,8,9,5,8,2
NM_001859,159,155,107,93,70
NM_001858,479,341,218,172,147
NM_004442,6,3,7,7,2
NM_013233,194,147,76,57,55
NM_001348002,7,5,2,1,4
NM_001288645,10,1,2,3,1
NM_001354609,48,44,27,14,14
NM_001350989,39,31,18,12,12
NM_182663,23,12,9,10,10
NM_206862,454,454,293,192,157
NM_001204517,111,71,49,41,24
NM_153261,13,10,10,13,11
NM_001350984,200,158,124,68,73
NM_025248,41,33,38,23,15
NM_001148,306,218,163,146,115
NM_004319,39,35,23,27,13
NM_004318,327,245,138,94,80
NM_001286555,16,15,11,5,6
NM_001286554,25,38,36,16,22
NM_001300970,52,37,30,23,16
NM_001300750,4,8,3,8,5
NM_032038,213,215,165,126,85
NM_004642,237,204,63,45,44
NM_001330761,23,18,24,13,8
NM_001330765,116,117,89,66,38
NM_001201475,29,37,16,22,19
NM_001291303,170,144,154,122,105
NM_001348341,138,104,56,27,36
NM_022902,35,34,28,29,27
NM_022903,66,55,48,21,22
NM_016183,280,271,161,97,90
NM_032445,5,5,3,10,1
NM_022908,209,227,128,132,161
NM_022909,147,144,49,39,29
NM_017858,162,99,68,41,36
NM_001320642,1006,887,536,380,373
NM_001686,3720,2730,1683,1232,1117
NM_017854,341,307,149,73,48
NM_017856,30,13,12,7,6
NM_001687,868,677,408,297,220
NM_182931,146,163,145,123,121
NM_001351277,391,300,175,131,124
NM_025027,29,12,11,11,14
NM_001875,24,6,3,4,2
NM_001353259,275,219,156,87,84
NM_016329,29,40,30,18,18
NM_016320,725,628,465,365,267
NM_016451,834,638,497,312,279
NM_016322,398,383,230,160,143
NM_016457,173,143,114,84,64
NM_024993,28,21,22,21,9
NM_017777,97,82,48,43,32
NM_015989,10,11,7,7,5
NM_001354975,58,37,28,15,25
NM_015987,87,72,44,32,28
NM_015983,35,28,13,12,7
NM_138468,15,11,8,2,4
NM_017588,258,254,126,88,83
NM_138463,52,35,19,14,12
NM_017585,105,98,63,52,47
NM_017582,288,302,182,152,147
NM_017583,212,210,113,80,72
NM_017580,132,63,58,56,62
NM_138466,13,8,13,7,8
NM_000155,75,71,50,38,24
NM_000154,317,283,130,117,89
NM_001161581,103,77,76,37,41
NM_024036,18,32,55,22,17
NM_001287603,99,106,95,97,65
NM_001303405,89,67,33,36,32
NM_024037,44,37,22,15,18
NM_000817,12,11,7,2,4
NM_024031,50,39,28,22,14
NM_001352650,1156,938,600,579,659
NM_000152,657,573,396,259,238
NM_001293237,434,308,183,207,196
NM_145276,4,1,8,2,1
NM_006640,2763,2741,1662,1270,1063
NM_001308231,16,8,6,10,5
NM_006646,27,26,15,10,12
NM_006645,37,23,19,19,10
NM_006644,313,250,152,125,89
NM_006649,129,118,75,40,37
NM_001317395,258,258,147,143,117
NM_001351580,182,158,124,99,107
NM_002940,244,203,147,108,93
NM_001166305,36,29,28,12,7
NM_001166304,48,29,21,13,11
NM_138802,132,127,102,68,46
NM_138801,100,47,27,18,19
NM_002947,309,268,172,104,90
NM_001184783,43,27,18,14,7
NM_001292018,69,55,43,56,28
NM_031420,394,294,173,144,118
NM_138809,41,25,16,6,13
NM_177983,940,900,558,366,361
NM_001172509,115,79,75,52,41
NM_001080543,285,300,239,195,180
NM_003255,1108,1035,673,419,333
NM_139015,52,65,49,26,10
NM_001320410,8,2,5,1,5
NM_001242397,24,25,13,14,7
NM_001320417,73,30,40,24,32
NM_001324027,17,6,2,4,5
NM_001102450,3,6,2,2,5
NM_001320415,16,22,11,16,7
NM_001123355,572,391,283,200,162
NM_021821,268,216,114,77,75
NM_003249,602,545,347,218,199
NM_021823,33,27,19,18,12
NM_021824,119,72,70,65,33
NM_001321532,17,6,9,6,6
NM_003549,22,15,14,5,6
NM_078469,845,637,362,234,243
NM_145858,69,28,22,18,13
NM_003546,547,630,530,328,228
NM_003545,11349,11179,9997,6411,4443
NM_003544,3856,4763,3624,2298,1635
NM_003543,4527,4444,4140,2664,1919
NM_003542,7804,9046,9678,6577,4384
NM_001145210,5,2,3,6,1
NM_003540,10,6,4,6,3
NM_024613,37,14,12,8,10
NM_001260491,30,30,29,24,17
NM_002499,115,124,66,70,43
NM_001318872,29,27,22,14,9
NM_014748,341,282,161,146,126
NM_014213,6,4,2,4,1
NM_014212,36,30,21,14,10
NM_014747,48,51,31,37,25
NM_014216,86,82,58,53,39
NM_014743,18,22,8,11,11
NM_014742,447,335,226,182,145
NM_005236,106,74,60,45,41
NM_005234,316,249,214,141,105
NM_005233,222,178,166,116,97
NM_152464,133,105,58,34,28
NM_005231,332,259,124,119,107
NM_005230,82,73,57,56,42
NM_032194,81,51,41,22,28
NM_018846,59,43,35,19,24
NM_005238,175,151,76,58,43
NM_001319652,83,84,60,44,40
NM_001319658,20,15,7,3,5
NM_001314026,25,27,18,10,10
NM_001330393,183,122,73,54,51
NM_052943,93,61,35,22,24
NM_052945,7,8,6,9,1
NM_052947,126,111,106,77,60
NM_001320875,84,85,61,35,33
NM_032830,390,310,220,146,128
NM_153711,37,25,23,9,16
NM_015175,88,114,105,73,92
NM_001204410,371,340,208,174,176
NM_032772,84,68,30,19,22
NM_032773,193,173,119,100,82
NM_015995,105,114,80,44,26
NM_032776,336,297,255,198,210
NM_032777,17,24,17,12,6
NM_001145312,146,110,82,71,76
NM_001679,285,255,179,112,99
NM_001080826,81,52,52,41,17
NM_015042,284,204,109,94,101
NM_001040177,24,21,7,4,7
NM_001352117,38,29,22,18,21
NM_018195,74,60,22,19,23
NM_212482,7702,6304,4267,3655,3480
NM_001098615,76,33,33,23,30
NM_022753,54,38,41,24,28
NM_022750,99,71,54,36,34
NM_022756,204,199,91,80,70
NM_153713,381,312,145,98,86
NM_001321478,27,24,22,18,16
NM_001033723,20,19,18,12,15
NM_015168,230,188,213,198,173
NM_015169,197,189,80,76,66
NM_018192,30,35,16,8,8
NM_001220488,848,648,343,254,226
NM_001306147,1104,957,642,519,437
NM_015164,75,138,108,98,80
NM_018913,47,40,39,21,25
NM_001282866,13,9,6,5,5
NM_001329791,16,17,12,14,8
NM_014616,63,66,54,37,26
NM_001289936,153,151,135,90,78
NM_001282860,155,141,135,107,137
NM_019063,342,258,153,133,135
NM_001113567,15,12,15,8,3
NM_019066,217,140,86,89,61
NM_019065,8,2,4,1,1
NM_019069,18,7,5,2,5
NM_001310338,157,100,73,70,57
NM_014612,382,326,199,193,202
NM_001258394,157,123,96,77,78
NM_025099,39,23,25,20,18
NM_001258397,13,13,13,5,4
NM_005093,94,73,58,54,61
NM_001304445,91,72,52,34,31
NM_001178138,225,120,66,56,60
NM_001290326,25,43,32,21,6
NM_001278284,204,168,133,75,78
NM_001033081,29,32,10,4,4
NM_003350,167,104,55,32,37
NM_001281513,304,227,140,90,90
NM_001161404,1,1,1,3,3
NM_004126,373,298,176,107,93
NM_001329662,7,6,1,1,5
NM_001282755,102,71,29,32,28
NM_001353645,17,6,6,3,7
NM_001282759,304,226,106,106,117
NM_001448,5,1,2,1,3
NM_153717,30,29,37,21,24
NM_000317,48,54,43,20,19
NM_001304999,86,46,22,27,13
NM_000311,293,305,197,104,88
NM_000310,985,843,539,326,303
NM_030630,1,2,7,2,2
NM_001258026,659,459,307,196,231
NM_030636,6,5,4,2,6
NM_001350517,175,107,68,59,50
NM_001320252,25,16,9,6,19
NM_021221,8,16,4,2,5
NM_021224,174,122,140,125,138
NM_001033088,222,204,91,68,55
NM_002632,110,154,154,114,63
NM_138782,69,24,18,19,27
NM_138783,65,62,58,31,29
NM_138785,78,81,39,35,28
NM_001011724,19,15,6,5,4
NM_001270879,87,67,41,33,24
NM_017489,55,73,66,50,27
NM_001242597,181,203,148,79,75
NM_001321784,261,232,211,135,152
NM_001286184,77,83,51,39,39
NM_001303411,77,39,15,20,16
NM_003724,80,55,49,45,30
NM_006275,573,621,392,218,197
NM_005576,260,268,283,201,142
NM_021047,16,9,10,8,7
NM_153498,46,42,40,29,35
NM_001330213,16,7,12,13,8
NM_173515,77,67,54,53,35
NM_173510,151,105,47,42,31
NM_001145001,409,347,208,176,141
NM_004781,212,161,119,101,97
NM_004782,202,167,64,68,62
NM_001193388,85,57,38,30,24
NM_173475,30,35,13,13,13
NM_004786,341,277,198,128,123
NM_004788,324,264,156,141,132
NM_004789,102,81,83,56,46
NM_001001933,57,66,53,24,31
NM_001330372,187,117,70,42,45
NM_001317968,39,31,19,16,15
NM_001317960,542,437,271,196,178
NM_001317963,113,83,76,53,47
NM_001304288,91,56,32,24,28
NM_001282805,699,435,357,249,290
NM_003378,150,97,79,33,37
NM_003370,436,449,260,194,158
NM_006253,122,115,106,67,56
NM_139321,505,460,281,229,190
NM_006256,236,197,128,91,111
NM_003377,25,23,12,8,7
NM_006785,75,64,56,32,25
NM_006782,139,113,72,47,36
NM_001145026,15,3,12,10,9
NM_001351643,57,72,51,65,56
NM_006788,82,100,45,41,65
NM_006789,15,9,2,3,2
NM_004874,137,83,60,54,42
NM_014298,928,724,379,294,208
NM_001320099,31,29,21,9,4
NM_004870,240,224,163,107,96
NM_004446,629,489,321,180,199
NM_001256024,15,17,11,8,7
NM_020198,577,398,256,166,201
NM_001330216,879,718,571,434,289
NM_000179,1106,813,550,356,247
NM_001964,1921,278,310,356,364
NM_001199671,1268,1027,545,351,342
NM_004819,855,727,476,387,293
NM_198149,30,32,11,11,4
NM_144666,4,3,14,17,17
NM_000170,21,14,7,6,8
NM_144660,95,56,50,23,32
NM_018994,61,59,56,29,31
NM_015475,179,126,85,79,71
NM_006435,1424,1110,600,349,328
NM_001317134,46,31,22,20,16
NM_003157,56,54,30,33,31
NM_006432,302,267,110,82,66
NM_001160210,858,637,406,283,289
NM_020319,100,83,47,28,47
NM_001197293,1830,1160,631,675,481
NM_001197294,4,7,4,2,1
NM_020310,149,142,59,45,34
NM_020313,127,110,62,48,43
NM_001206710,75,56,26,30,34
NM_020314,4,6,3,6,1
NM_004199,211,164,85,71,44
NM_032446,915,740,537,363,293
NM_052893,77,59,43,53,30
NM_001105539,133,104,51,38,38
NM_024032,111,91,65,59,30
NM_001271593,264,229,161,98,86
NM_005984,234,194,91,73,49
NM_014470,3,2,4,1,1
NM_145265,78,40,26,23,17
NM_052897,65,46,32,22,29
NM_022782,54,33,27,38,33
NM_002013,435,335,206,136,121
NM_001040446,61,51,22,22,22
NM_001040445,119,110,44,37,30
NM_001040441,51,30,13,13,13
NM_031286,1006,939,407,237,218
NM_013245,366,301,207,147,103
NM_013247,390,296,217,152,105
NM_013248,104,73,40,32,22
NM_001039661,4,7,5,2,4
NM_005094,130,93,112,85,72
NM_006549,36,39,29,18,24
NM_014028,86,60,48,42,31
NM_001193511,132,74,35,33,37
NM_005760,322,229,180,149,170
NM_018216,167,127,77,72,61
NM_015375,111,89,73,69,37
NM_018214,185,172,96,69,65
NM_018211,114,82,68,57,44
NM_018210,63,65,47,37,41
NM_001271938,186,250,222,150,106
NM_005762,4113,3899,3391,2275,1788
NM_018218,98,57,45,59,52
NM_001166118,69,56,32,23,26
NM_002208,51,37,39,14,16
NM_002207,192,176,101,102,74
NM_016323,230,153,104,61,60
NM_001282232,236,166,96,64,97
NM_001134875,223,274,211,123,69
NM_152355,13,2,13,1,4
NM_001282236,16,8,7,5,6
NM_001292003,68,37,32,18,17
NM_001330698,204,147,127,123,109
NM_024419,214,169,108,77,54
NM_002775,45,40,26,24,14
NM_001318792,112,122,71,56,38
NM_004041,173,118,76,88,62
NM_001318794,970,851,401,264,223
NM_002156,1309,1021,601,369,353
NM_145111,95,59,42,40,37
NM_001291953,23,15,15,10,12
NM_001560,84,58,40,29,22
NM_005099,31,11,6,10,7
NM_001291958,60,54,61,50,48
NM_002779,4,2,6,5,3
NM_001130020,130,101,69,58,40
NM_003683,254,197,114,105,92
NM_004045,222,176,96,73,39
NM_001130026,2,2,3,2,1
NM_001130028,92,68,53,53,41
NM_004044,922,598,353,264,237
NM_001242875,263,228,154,105,89
NM_001349220,73,97,58,30,56
NM_001287060,62,56,48,35,31
NM_001330692,834,668,342,250,252
NM_014680,119,128,141,127,143
NM_014681,145,151,196,146,142
NM_001568,1213,981,741,484,450
NM_001353345,104,80,69,57,65
NM_014685,187,163,98,72,48
NM_014686,90,84,45,48,39
NM_030952,37,49,56,46,24
NM_001330311,55,54,43,41,31
NM_020879,4,6,5,6,4
NM_080652,87,80,61,42,30
NM_006415,215,173,119,60,87
NM_080656,143,134,64,50,35
NM_080657,6,6,4,2,2
NM_001093729,64,37,27,32,15
NM_001345927,7,13,12,7,11
NM_001093725,144,102,84,80,50
NM_001099409,449,410,211,152,118
NM_033386,123,167,111,85,71
NM_000213,34,32,22,7,7
NM_001099402,326,307,182,122,110
NM_000210,359,260,155,87,76
NM_001110514,13,11,10,13,5
NM_003419,16,8,3,4,5
NM_133631,310,275,233,140,159
NM_001317980,77,68,18,21,17
NM_001278248,5,5,4,1,1
NM_032389,412,342,243,167,169
NM_014977,1301,1007,564,500,417
NM_001013838,39,56,39,30,28
NM_014975,37,23,24,18,19
NM_014972,329,307,188,155,130
NM_005005,1119,923,626,393,310
NM_014971,9,5,3,4,2
NM_005008,811,609,356,259,206
NM_032383,58,38,37,28,28
NM_001005353,8,7,4,5,5
NM_032385,26,20,3,6,4
NM_177424,198,136,82,48,51
NM_018079,150,72,70,65,68
NM_004146,1129,922,498,324,279
NM_018073,52,46,32,28,16
NM_018072,394,325,247,203,228
NM_015087,379,214,96,88,89
NM_176824,80,41,31,17,14
NM_001034853,35,32,22,9,14
NM_001034852,43,48,26,9,8
NM_001789,248,175,143,82,87
NM_004996,113,94,71,60,42
NM_001839,2127,1947,1208,899,828
NM_001316972,5,2,3,4,2
NM_181711,44,18,12,12,2
NM_001831,1009,809,454,457,345
NM_001206950,614,556,479,289,199
NM_005763,118,78,47,41,39
NM_001330566,128,83,57,64,65
NM_015873,12,9,9,10,7
NM_174889,31,34,9,7,6
NM_001100119,86,93,66,43,37
NM_001288661,532,472,315,243,174
NM_001294340,392,336,144,140,124
NM_001348067,920,638,305,251,271
NM_182645,215,252,109,85,76
NM_182647,2,2,1,1,1
NM_182640,286,229,152,121,90
NM_182643,178,237,244,168,193
NM_001113347,548,528,296,215,167
NM_001354375,116,104,61,54,45
NM_020782,128,102,78,50,57
NM_021975,324,282,182,136,114
NM_017789,273,195,139,108,87
NM_004663,710,507,288,168,153
NM_004661,341,278,155,132,77
NM_004667,216,139,156,131,162
NM_004664,91,87,66,38,36
NM_001167,88,51,29,29,19
NM_025222,294,259,270,150,124
NM_001161,47,34,23,15,19
NM_001321645,15,17,16,9,10
NM_001199469,6,5,5,2,4
NM_001317776,10,5,6,4,3
NM_001271208,1723,1397,957,919,834
NM_001308384,43,37,23,19,10
NM_001143827,80,69,49,39,35
NM_001348322,829,517,471,375,397
NM_001143823,43,25,24,13,18
NM_001321648,251,175,96,69,53
NM_001143821,98,78,34,46,36
NM_000784,105,77,93,52,40
NM_000785,9,10,7,4,8
NM_000786,741,609,399,281,214
NM_017780,504,351,307,270,267
NM_000788,126,85,66,47,33
NM_000789,11,9,11,8,8
NM_001142483,81,58,21,28,27
NM_017838,293,279,114,81,68
NM_017839,26,26,15,10,10
NM_017836,77,82,61,39,26
NM_017832,98,63,45,20,19
NM_017833,4,2,8,5,2
NM_032802,24,25,19,16,11
NM_022117,87,109,59,51,52
NM_172070,374,328,251,224,193
NM_016309,80,77,42,24,30
NM_016308,363,305,148,110,98
NM_016307,42,38,28,24,23
NM_016306,305,250,137,104,72
NM_016305,93,62,20,24,25
NM_016304,100,57,40,34,40
NM_016303,290,167,81,39,41
NM_016302,192,141,98,69,55
NM_022873,148,118,66,54,44
NM_001354955,11,6,3,3,5
NM_015963,199,221,150,103,133
NM_015960,59,37,21,6,14
NM_015965,1810,1549,1003,620,465
NM_015969,203,152,70,58,44
NM_024295,249,221,103,59,60
NM_153809,16,13,11,8,9
NM_001284325,268,219,137,100,64
NM_138447,84,66,51,36,23
NM_138446,165,147,97,68,57
NM_138444,316,264,188,146,120
NM_138443,105,72,47,27,45
NM_138442,599,426,190,165,153
NM_138441,136,100,65,43,47
NM_138440,45,54,42,42,23
NM_181515,95,70,46,25,24
NM_001199280,2,5,2,2,2
NM_172251,300,276,139,89,61
NM_001199282,349,295,221,150,138
NM_007313,392,594,455,407,354
NM_007314,264,283,197,174,226
NM_001143674,93,79,80,35,28
NM_001136534,186,123,49,44,36
NM_001136537,9,17,16,14,6
NM_139199,364,268,168,156,220
NM_020654,46,25,20,16,22
NM_001024660,10,7,11,4,14
NM_145803,52,51,58,28,32
NM_001032280,7,9,9,4,4
NM_001032282,132,225,130,92,69
NM_001032283,634,469,302,190,191
NM_015201,251,179,133,94,64
NM_020650,843,642,340,209,184
NM_001350912,5,7,3,4,4
NM_001350145,9,4,2,5,4
NM_001330057,175,175,98,89,92
NM_002923,369,189,128,82,78
NM_031157,198,138,78,45,36
NM_003514,4524,5031,3553,2803,1658
NM_020959,81,74,52,39,43
NM_002928,650,284,150,98,82
NM_024315,65,60,42,18,19
NM_001080522,38,31,24,29,22
NM_002158,330,213,131,93,101
NM_024310,15,11,9,7,1
NM_024313,117,106,56,33,40
NM_024319,152,127,79,70,48
NM_014043,38,38,29,22,14
NM_013349,162,153,87,57,44
NM_001283041,22,26,14,14,20
NM_020950,18,10,19,12,12
NM_020957,169,122,88,65,44
NM_001171941,52,51,44,39,33
NM_138389,332,193,129,88,91
NM_003525,1378,1600,1297,1032,619
NM_003524,2427,2513,1668,1257,809
NM_003527,1581,1847,1568,1157,652
NM_003526,1771,1589,1423,991,700
NM_003521,1699,1772,1233,880,684
NM_003520,902,846,417,274,206
NM_003523,427,527,399,307,211
NM_003522,1516,1639,1104,778,476
NM_025241,205,175,97,84,91
NM_001080435,44,23,25,15,12
NM_003529,1844,2323,1973,1426,864
NM_003528,978,1322,1052,790,469
NM_015188,25,20,17,13,9
NM_001288819,8,8,2,4,2
NM_001350141,39,18,15,11,18
NM_014763,446,390,217,163,118
NM_014762,640,677,478,378,320
NM_001001323,344,375,301,186,188
NM_014760,45,49,38,25,30
NM_005259,1466,829,491,367,376
NM_014765,231,224,100,57,53
NM_014764,283,210,93,83,65
NM_005255,225,208,167,159,125
NM_005257,17,10,11,4,3
NM_005253,188,172,68,53,48
NM_005252,453,53,97,142,83
NM_152447,22,21,38,19,13
NM_152445,42,40,20,16,14
NM_006099,159,189,102,61,45
NM_032177,234,164,114,92,115
NM_152441,32,51,27,21,7
NM_032175,106,68,55,41,42
NM_032178,140,128,83,61,44
NM_152449,9,13,7,5,2
NM_014469,25,17,24,20,26
NM_018685,950,819,650,498,462
NM_018686,126,96,73,44,44
NM_001319036,277,217,102,64,59
NM_001352755,159,107,76,61,48
NM_003272,16,12,12,8,5
NM_002082,63,55,41,44,26
NM_018688,206,190,134,86,45
NM_006092,33,29,25,26,19
NM_022167,186,123,121,68,60
NM_001352289,97,96,58,42,43
NM_001123375,197,230,101,88,74
NM_001257134,125,112,73,60,42
NM_014501,194,213,139,108,95
NM_052966,531,430,197,145,161
NM_003275,12,12,6,10,3
NM_001256666,68,88,91,84,66
NM_032717,12,8,7,5,2
NM_003574,499,422,249,157,132
NM_032711,150,105,43,35,48
NM_003575,231,177,127,92,91
NM_001271893,18,21,7,9,4
NM_003513,2426,2974,2353,1476,959
NM_001352130,24,13,12,8,11
