LIST_1	LIST_2	LIST_3	LIST_4	LIST_5	LIST_6
FEN1	CD164		TSR1		PALD1
PGM2	GSR		D2HGDH		MUS81
MDK	P4HA1		UBE2K		REPS1
CCDC80	AK2		SIK2		MRC2
CAMK2D	THOC5		DNAJC9		OCIAD1
TRAP1	PTRHD1		FAM213A		MRPL41
MPHOSPH8	PRKAR1A		RNASEK		MAP1S
CCDC40	MLIP		FBXO7		RECQL5
SCAI	COX11		ERGIC1		MAD2L1
ERGIC3	HMGN3		CSRP2		BOC
ATP2C1	TAGLN		EGFL7		PAAF1
GLB1	ATP6V1B2		MVK		TADA2B
PPP1CB	ARHGEF3		DDAH1		MTMR14
KIFC1	PCCB		NELFCD		PDP2
PTCD3	ERCC6		CFDP1		EBF3
ADCY6	ETFA		ACSF3		COBL
BAG1	DBNL		UAP1L1		MED1
SH3D21	BBS1		HDAC8		ZNF783
VIRMA	DNASE2		NECTIN2		WDR47
ZFP28	SAFB		CDC123		ANKRD28
APLP2	PLS3		TOMM6		SREBF2
POU2F1	TTC9C		ALKBH1		ARVCF
CXorf38	SESTD1		MRPL23		REXO4
TMTC4	PAOX		NDFIP2		PHKA2
BANF1	CTSA		DDX56		HERC1
RAD21	DRG1		ZNF428		ISOC2
DPYD	EMP2		LANCL1		FBXO10
TOR1A	EMP3		GSK3A		EIF4A3
FOXO4	NINJ1		CCDC43		RNF115
SFSWAP	DYNLL1		COPRS		AGO3
ATP6AP2	APEX1		MRPL49		UBR4
ARRB2	KDM3B		VPS16		PAXIP1
IQCB1	SHMT1		SIRT6		LGALS3BP
SMARCD2	CYB5R3		COPZ1		LAMP1
MYL12A	KIAA1147		ALG5		TNKS
GAB2	C4orf3		PPP4C		ALDH4A1
TBCCD1	GMPR2		TIMM22		ARHGAP4
SLC38A4	GPM6B		SEC61A1		ZBTB48
POLR2F	GPD2		STEAP3		LAMP2
PDXDC1	PPP1CA		COA3		ZNF263
XPO7	FEZ2		MROH6		SH3BP5L
IKBKB	MRPS18B		LGMN		NOA1
PNMA2	EEF1B2		KRTCAP2		REEP3
ACO2	RNF19B		TJAP1		ZGRF1
ARHGAP10	CCT7		RPS15A		ABCB9
COG5	TMEM256		RPS12		TNFAIP1
XPNPEP1	TMEM126A		HES4		SERPINH1
IDH3G	KLHDC10		SMU1		IGFBP5
GNL3	PQBP1		RAB22A		IGSF8
JPT1	ABCB8		ABCB7		ARHGEF10
PNP	MAPK3		CAPZA1		ANGPTL2
KIF18B	NDUFA2		TRAF4		PTBP3
CHFR	CENPP		CNBP		CLSTN1
GPR107	NDUFAF3		RIN1		ZBTB40
SV2A	LMAN2L		PLIN3		FBLN7
CTNNA1	BCL2L1		TIMM44		ITCH
PPP2R1B	RPL18		FAH		CYB561A3
LAS1L	GID8		FANCC		ACACA
DCAF1	FBXO38		MKRN2		PVR
KNTC1	CHMP5		TMEM59		POLH
SKP2	GSTP1		MTX1		PTGFRN
ECM1	AKIP1		CASP9		NUMB
MRPS28	PREP		DTYMK		TGS1
SNRNP200	FAM173A		GOLPH3		PRUNE1
UBB	ZNF436		CRY2		PEX10
PARVB	S100A13		CARM1		MAIP1
WBP2	MORF4L1		DAZAP1		MYH10
OPTN	TDRP		ATXN1L		ASNS
ATP5F1C	ZMAT5		COQ8A		SCAP
NUP43	BPNT1		IL11RA		ALX4
ALKBH8	CALM3		SLC39A14		ZC3H3
SP3	AAED1		EXOSC5		NFIB
HIBADH	TM7SF3		BRI3BP		ITGB1BP1
FAM120B	SERF2		CEP76		RNF217
TRIM33	SDHA		ANAPC7		IL17RB
GHITM	CDKN2AIP		CCDC86		CLUAP1
WDR70	ARL2		UNC119		GPT2
TUBGCP3	BCAS3		FSCN1		RSPRY1
NUP93	MCM7		PARP3		ANTXR2
PFDN2	SPARC		CHAF1A		NUMBL
SLC35F6	PRPF31		PSMB6		DNAJC1
LTA4H	PRKACA		LEMD3		CALM1
NABP2	SND1		CYB561		GCFC2
DDX42	TMBIM1		SGSH		SPAG5
CCDC15	TSC22D3		COQ4		TMEM65
CLPX	MERTK		CLEC11A		NR2C2
MAPK1	PITPNB		UTP11		CLMN
PHF5A	FAM117A		TRAPPC12		TOMM22
RASSF3	BNIP3L		RMDN1		SHROOM1
OSBPL11	TSN		GGA2		SDC3
EEF1A2	TIMM50		ZFAND6		SCARB1
PCDHB2	DNAJA2		RNF41		BECN1
ZBTB2	S100A16		ATXN2L		RPUSD1
CCDC93	OSER1		NRM		LARGE2
	NDUFB8		EIPR1		SSBP4
	HIGD2A		TAB1		KCMF1
	CCM2		ZGPAT		OTULIN
	INAFM1		CTU2		KIAA2013
	IRF9		HES6		SIK3
	HOMER3		MYOD1		STAMBP
	TMEM97		TPGS1		STAU1
	POMT1		TSPYL5		AREL1
			MED12		SEMA6A
			PLPP2		USP10
			ZNF346		MOB3A
			FARP2		MEN1
			RPUSD3		AGFG1
			SLC18A1		TEDC2
			FIZ1		AGPAT2
			CD320		EPHA7
			DDAH2		PKN3
			LAPTM4A		IFT22
			PACSIN3		CHMP1A
			PSMB10		LOX
			PSMB9		AP4M1
			PSMD3		ST7
			ACOT8		UBR2
			HIRIP3		SIN3A
			MRPL14		TMEM33
			UBE2Z		RHOBTB1
			VMO1		AP1G1
			PSMB5		HDLBP
			MRPS11		FKBP15
			SRSF10		HIP1
			NDUFAF1		SLC25A10
			PHC2		MTA2
			CYB5B		CTBP1
			NDFIP1		GTF3C1
			LIMD2		NCAPG
			KCNK1		DESI2
			NDUFV1		HECA
			CDV3		MAN1B1
			Sep-10		GTF2I
			TMX1		HNRNPUL1
			INO80E		LAMA4
			PTDSS2		KIF24
			TRIR		ABI2
			CHCHD1		PDHB
			WDR77		CTSF
			COPS3		BRAT1
			NDUFS8		EHMT1
			AP5S1		MTF2
			NUDT16		CAV1
			SDHB		NFATC3
			CYC1		PI4K2B
			CRYBG1		SPHK2
			WDR55		HSF1
			TNFRSF10B		POP7
			TNFRSF10A		HMG20B
			DYRK4		MCRS1
			GGCT		TXNDC9
			TRPT1		SOX9
			RPL10A		ACBD5
			TOR1AIP2		CCSER2
			POLR2G		CREM
			MRPS27		GPR176
			TAPT1		VSIG10
			STK35		BBS10
			QSOX1		ALKBH4
			SLC1A5		SIRT1
			SUPT4H1		PRDM2
			PRPSAP1		TCF3
			RAD51		MRPL35
			IGF2BP1		TPRN
			AAAS		SLC8A1
			NGLY1		UHMK1
			POLR2E		CSTF1
			SNX21		HSPA4
			TUBGCP4		B4GALT3
			MICU1		LRP6
			PDHX		FLYWCH1
			CYB5A		GORASP1
			YRDC		DNTTIP2
			TSEN34		NT5DC3
			HNRNPAB		FHL3
			MTFR1L		HIST1H1C
			INSIG1		TARBP1
			ZNF543		TBC1D10B
			ECH1		SMARCD3
			DUSP5		RNF26
			SMAP2		ISCA2
			ACBD3		PPIL1
			COMMD4		SLC41A1
			ISG15		RBM42
			APEH		CYB5R4
			RPS18		ANAPC5
			FLOT1		RNF167
			MRPL52		USP19
			EME1		RPS8
			EED		SFT2D1
			DPM2		POR
			FADS1		FBLN2
			RTKN		RPS6KA4
			ENG		USP13
			CMTM3		SPC25
			TEAD4		PRR12
			REX1BD		ZNF512B
			SPCS1		ZDHHC16
			ACAD9		GDF11
			SRI		TKT
			TEX264		PGBD1
			RPS19BP1		PYGO2
			GIPC1		GAPVD1
			NME3		DHX8
			RPS4X		TRUB1
			MCU		PYCR1
			RAB10		HDAC3
			KLHDC3		CUL7
			SURF2		SLC12A9
			POLD1		FAM168B
			TMEM54		NEIL3
			NT5C3B		ARHGEF18
			TRMT1		ARFGAP3
			TOR4A		MED16
			HRAS		UNC5D
			MRPL43		KLHDC2
			C2orf68		ADD2
			FBXO45		SBDS
			ZDHHC20		DEPDC7
			CD151		B2M
			ALAS1		SLC2A10
			GLRX5		TMEM179B
			RELL1		SNED1
			TMEM38A		ECD
			ATP6V0E2		ZNF134
			CAPN10		FASTKD3
			KYAT1		SEMA4D
			TRAPPC9		GNPTG
			APBB1		VTI1B
			ATG9A		RSAD1
			SHC1		SGCE
			QTRT1		LRRC8E
			MYDGF		FOXRED2
			RUSC1		DISP2
			MRPL53		CSNK1G1
			ARL10		TRAF3IP2
			SH3BP1		GSTZ1
			RAB5A		POGK
			TRMO		UBE2Q2
			SARS2		WARS
			NUTF2		TRIM56
			ARF5		PPP1R15B
			TBC1D20		LRP11
			DHRS4		EML1
			ANKS6		LHFPL6
			EIF2AK3		ADAL
			ASPSCR1		BTBD3
			RALA		CEP250
			TAF6L		GMIP
			ATP5MG		TMEM248
			DCTPP1		C9orf40
			GPC2		ITM2B
			ANXA11		HOXB2
			GCAT		ZNF484
			MACROD1		AKT3
			PAFAH1B3		POMK
			KLF11		USP48
			PAFAH1B2		ZSWIM4
			VPS41		C11orf95
			PRKAR1B		GRB10
			PEF1		ATL1
			PFAS		KDM1A
			TMEM132A		PPRC1
			GPC6		AVL9
			ZNF787		CCNC
			CIB1		FAM32A
			FCGRT		RAB32
			BSDC1		KLHL12
			BST2		VPS35
			PTTG1IP		MAEA
			FANCG		MINPP1
			RPS3		WDR6
			ELOVL1		NAT10
			GRINA		COMMD5
			TUBB		R3HCC1
			PRKCI		TPST1
			GUCD1		DGAT1
			HECTD3		CCT5
			TUBA1B		SART1
			VDAC1		SEMA6C
			TUBB4B		ATAD2B
			SLC25A11		CENPB
			DDOST		ESPL1
			C19orf25		PXDN
			EIF2B2		CASKIN2
			ABHD14B		MUM1
			RPUSD2		WDR11
			ERCC2		NUP153
			CELF2		CDK6
			PCDHB14		ZMYM6
					PICALM
					SUCLG2
					DOLK
					HMBOX1
					GNL2
					IFRD2
					LZTR1
					RNF130
					PTK7
					ATF7IP
					IFT172
					PTK2
					WWP2
					FERMT2
					MANEAL
					KIF23
					CHRAC1
					TEX10
					SNAP47
					WWTR1
					NOTUM
					NMNAT1
					CMIP
					POP4
					KPNA1
					MGAT5B
					PLEKHM3
					ZNF697
					EMC4
					ST6GALNAC4
					MPV17L2
					NFKBIA
					KREMEN1
					BICRAL
					SREBF1
					JAK1
					LLGL1
					POLL
					PLPPR2
					GTF2IRD1
					SNX2
					TMEM181
					SORCS2
					MIB1
					SAMD4A
					KCTD15
					EXOSC10
					MKLN1
					WNT5A
					ARHGAP12
					E2F4
					MRPL20
					ELP1
					TRAF7
					TEAD3
					STAC3
					TECPR1
					ARMC8
					TES
					IRF2BP1
					NPAS2
					SERPINB6
					CTIF
					B4GALT7
					ARPC1A
					HEATR3
					CSPG4
					PINX1
					PIGG
					PI4KB
					TOM1
					ITFG1
					SGPP1
					ARMC6
					RPS6KB2
					SYVN1
					PGP
					NAA50
					SLC39A9
					ABHD16A
					HEATR5B
					CBX2
					CDC42EP1
					DLG1
					SCFD1
					CREBZF
					ITGA3
					SLAIN2
					RAB1A
					GNPAT
					NUP155
					RIPOR2
					DEAF1
					SQLE
					TNFAIP2
					YY1
					MAPK14
					FAM122B
					PDPN
					SLC7A1
					STK25
					PRAC2
					PAK2
					RBM18
					MZF1
					TMCO1
					WDR4
					PIP5K1C
					ARHGEF1
					INPP5F
					CPT1A
					CSRNP2
					BUB1
					XPC
					ASIC1
					DCAF17
					CCDC174
					AUP1
					MAPK12
					ZMIZ2
					TELO2
					SEMA3A
					IK
					BAP1
					SENP5
					ARID5A
					PDXP
					RPP38
					DHX36
