list1	list2	list3	list4
ZBTB9	CHD6	PHAX	PSMD11
TEN1	DAPK1	SLC7A6OS	NDUFS6
FMR1	TTLL5	ARMC9	CTDSP2
JADE1	PCGF3	BIN3	BAX
GCLM	ALKBH5	XYLT2	CLNS1A
GNAI1	KDM5A	COX14	CAPNS1
CDON	SLC35B2	VAPA	RASSF4
KCNJ6	RAPGEF1	L1CAM	NRBP1
PHTF1	KIFC2	TMEM25	DIABLO
ASXL1	SSH1	ATP2A2	EPS8L1
KIN	PALB2	OGG1	GAPDH
LETM1	ZC3H11A	ARHGAP1	SP140L
HIPK3	SPRED1	NUDC	MVB12A
TRIB2	WDR81	TP53INP2	PLIN2
TCEA2	KIFC3	VPS37C	ADD1
SUGP2	VPS13B	FMN1	PSAP
ZNF106	ZNF324B	CHID1	ETV1
PKMYT1	MORC4	UXT	CREB3L2
GMCL1	AMZ2	FLT4	UBR7
CLIP4	MICAL3	AURKA	RHOC
RDH10	CHPF2	ATP1B1	KHDRBS1
GUK1	UTS2R	SERBP1	NDUFAB1
GNA12	PHLPP1	TMEM141	RBMX2
SRPK2	ATG4D	VANGL2	MFAP1
ANKRD54	CCNY	RRP9	PLAUR
NYNRIN	DENND4B	AIMP2	ATL3
NCKIPSD	KIF26A	NT5C2	GLI4
MEF2D	ZHX3	VPS51	DDX3X
TLN2	PIEZO1	SCPEP1	PPP1R13L
SLU7	KSR1	KPNA4	MID1IP1
TONSL	ADCY3	NFATC4	TIMM8B
ATG2A	AFF3	C1orf53	TIMM13
PHF8	KIF1C	LUZP1	FAM98C
FMNL3	ARHGAP39	WDR48	LDLRAD3
DEF6	SBF1	HKR1	ZW10
USF2	ATXN7L3	GSTO1	UQCR11
SLC35F5	CELSR1	DYNLL2	GM2A
NCOA3	FOXN3	PUM2	GALE
YEATS2	LRP8	TSPAN15	GCN1
FAM171A2	SHROOM3	UBTD2	LARS
MAN1C1	MAP3K11	UQCRQ	GPATCH2
C12orf4	PER3	SFPQ	ZC3HAV1
ELF1	GABBR1	CCDC115	LITAF
CBLN2	FAM91A1	SCD	NAT14
TRIM2	EXT1	ARFIP2	TIGAR
SYNE1	RALGDS	ELP3	FDPS
CEP78	HS6ST1	NECAP2	ERICH1
AKT2	ASAP1	TCAF1	ERF
TMEM246	CLIP1	CYTH3	RABAC1
CERS5	BLOC1S2	PCDHAC1	LRRC59
MGAT1	EFCAB14	ZSWIM6	TBC1D10A
TBCEL	PLXNA1	ACVR1	CISD3
MSH3	SSH2	FLAD1	AARS
WDTC1	AFDN	ACTB	METTL14
NOP53	UBN1	TPPP3	TMEM106C
GNAI2	ADGRB2	WDR83OS	NIP7
POLR3D	TMEM138	TMEM161A	VDAC3
SSFA2	AGBL5	RAB20	BSG
HINT1	ZFAT	UBE2R2	LAP3
ADORA2B	CSPP1	WRAP73	TARDBP
C1orf109	GOLGA3	NCLN	BRMS1L
NEDD4	ARHGEF12	RNF181	EGFLAM
H3F3C	TRIO	ATP6V1H	STRN3
AFTPH	TTC7B	ISYNA1	EIF4B
SEC16A	TTBK2	FECH	SET
PPP1R21	KIF3B	AP2A1	CD59
USP3	RBBP8	R3HCC1L	RPL10
SRSF2	ZFYVE26	TXNDC11	TMED9
YEATS4	KIF21B	FSD1	GBP2
SLC12A2	PTP4A2	RTL8B	CBX6
DIS3L	ARHGAP23	SLC29A1	ETHE1
MON2	PITPNM2	EBP	SAMHD1
LIMD1	KIAA0930	RCN1	TPGS2
FUZ	FOXM1	GNB2	COPG1
POM121	ZBTB12	SMAD3	C10orf76
MRPL45	ZNF71	MANBA	TBC1D5
MOCS1	EFL1	TPT1	IAH1
FBXW5	UBAC1	ABI1	TFPI2
CIPC	KDM4B	INO80B	PDCD5
F2R	ITGB8	LMNB2	ATG12
DGCR2	ATP13A2	TXNDC17	SARS
PUM3	SMURF2	TMUB2	KDELR3
TUSC3	FRMPD1	RPP30	CORO1B
SNAPIN	HIPK2	NCBP3	RALY
NSD2	VPS13D	CPSF7	MRFAP1L1
SMG7	MARK4	CCDC28A	STAM
CCNB2	HACE1	INTS7	NIPA1
KCNG1	NF1	MAPKAP1	RFC4
NOTCH2	ZNF496	SEC11C	PCCA
GATB	ABTB2	UBE2D2	HNRNPA2B1
SERTAD2	FAT1	MLX	CDK4
MAP2K4	TBC1D9	DYNC1I2	H2AFY
MECP2	ABCC10	MRPL17	FNTA
BMS1	DLG4	YWHAG	MAP1LC3A
CCDC14	TAB3	HDAC1	FAM162A
GLT8D2	ARHGAP32	TATDN3	FANCL
CYHR1	CACNA1H	FXR1	HMGA2
INTS14	ERCC8	PLD3	SSNA1
RRBP1	HIRA	GPS1	YIF1B
EHD3	ZNF629	COL8A1	XBP1
KLC1	DAB2IP	DGLUCY	PSMG3
APC2	LRRC8B	CDIP1	ALKBH7
AP1AR	KDM2A	TGFBR3L	PEX2
DCHS1	ADCY9	OS9	CDC40
ASAP2	HIVEP2	LMAN2	CNOT8
KIAA1841	IL11	GGA1	PDAP1
LSM3	TTF1	MSMO1	ANKRD46
DHX37	FNIP2	UBQLN4	POLR2H
BRWD1	FAM160A2	BDH2	FPGS
SARAF	ZZEF1	IPO4	CDKN2A
RNFT1	NF2	SLC15A4	RFC5
IPO11	MYRF	BACH1	HSPBP1
XPR1	MCF2L	NUDT16L1	CD44
KRIT1	ADCY7	NPHP4	EPB41L2
KANSL1	TXNDC12	ECI2	THRAP3
DPP9	MARK3	RAD23A	TIMP1
TSC2	REPIN1	FANCI	ELP5
CCDC134	MLLT6	HSPA9	TK1
FAN1	ZNF521	TAPBP	TMEM205
ORAI2	ZNF764	TCEA3	PRDX2
RAB4A	MPRIP	TTLL1	CHRNA1
CHPF	ZNF236	MYL12B	PPP1R3C
CSMD1	IRS1	ACSF2	GOLPH3L
MYO19	ZNF835	FBLN1	SERPINF1
HLX	GAREM1	FLNA	DNAJC18
ITPRIPL2	MTSS1L	PWP2	LY6E
GTF3C2	TMBIM4	CPNE7	NAP1L4
AKAP1	PPFIA4	ACTR1B	RCC2
KIF4B	PAPD7	PPA2	PIP4P2
PITPNM1	CREBBP	SSR4	ZSCAN2
IL17RA	SLC40A1	CAPG	NUDT21
U2AF2	PTCH1	CLPTM1	IRAK1BP1
TIMELESS	CDC42BPB	UBE2G2	NAA40
DNASE1L1	HDAC4	MPP5	TARSL2
MBD4	PTPN21	CASD1	COPE
WSB2	MARF1	RBM19	HDGFL2
NDN	PDE8A	DHDDS	OLFM2
CSK	STK40	MED22	ROBO3
POLR3A	CIC	SUFU	ANAPC16
FAF1	FYN	KYAT3	NSA2
ABCF1	FTH1	PTTG1	PDCD4
ERLEC1	B4GALNT3	TMEM14C	EMC7
CYB561D2	UBE3C	PARP16	BCKDHA
STK38	SGMS2	VPS52	UBALD2
TNKS2	ZBTB7A	GTF3C6	NDUFA4
C1orf174	PHF12	MFSD10	EIF1AD
GREB1	DENND5A	AP1B1	CTSV
FAM53B	CAMSAP1	SPAG9	BCL2L12
ERH	EPB41L1	CSRNP1	PM20D2
EIF3D	STK11	HPRT1	TXNDC15
MECR	ST3GAL2	AP1M1	STAT5B
SCAF1	INPP5A	TBC1D17	ZFPM1
EPC2	LRRC4B	E2F8	NUCB1
LMF1	DZIP1	TPM4	LMNB1
PLBD1	MCM3AP	MTOR	LMO2
MFSD14A	KLHL36	MRM2	TAF15
ZZZ3	IPO13	SMARCD1	EIF3F
WDR7	NCOR1	YKT6	EIF3G
MGAT2	NCOR2	UPF1	CFD
CDK14	JARID2	MELTF	ZNF330
EVI5	KIF26B	PDK1	PIGO
LIG3	MGAT5	MRPL10	NTPCR
DHPS	RHOBTB2	DPH5	MTCH2
DIP2A	WNK1	POP1	CD58
CHUK	IGSF9B	PLAGL2	SMIM10L1
UTP18	SVIL	TRIM9	NUP85
PLEKHG3	FGFR1	BZW2	PQLC2
ZFPM2	TUBGCP6	SWAP70	STIP1
GLUD2	VPS54	UBQLN1	CHKA
NBN	EXTL3	ZDHHC5	COTL1
PTPRO	HIVEP3	THUMPD3	ATP6AP1
PPP2CB	BRSK1	RNF20	SYPL2
ETV6	SLF2	SMYD4	OTUB1
RUSC2	TIAM1	FASTK	METTL3
ZNF446	DGKD	UBC	ERCC1
RMND1	UNC13B	DHX9	TFRC
PAK1IP1	RBSN	MXD1	CDK5
SELENOS	INPPL1	MTBP	SOD2
IQCK	PTPRG	SNX6	DAGLB
CTNS	ADGRA3	RERE	PMPCA
NCK2	EHHADH	TIMM10	ZMYM3
ALKBH3	REXO1	TBL2	C16orf45
POMT2	B4GALT2	SLC35G1	NUB1
SRRM2	TNK2	DDR2	ASF1B
ADGRG6	ZBTB20	ILK	FKBP10
CDK12	TOP3B	LTBP1	ENSA
MAPK8IP1	RAB11FIP3	MCM2	EZR
TRIM46	BMPR2	E2F2	EFTUD2
PAGR1	ABCA3	UCHL1	ANXA7
FYCO1	PCNX1	DIAPH3	IDH3B
TUBB2B	ARHGAP35	CLP1	GMFG
AFAP1	GRIN3A	COPS6	HACL1
FBRS	RC3H2	G6PD	ATP6V1F
ZNF318	LRP3	IMMT	ALDH1A2
FJX1	GNAZ	SPAG7	BUD31
HIST1H1B	CELSR3	INTS3	IMP4
SLC52A2	FBXW7	NDUFA10	ZNF16
PRPF39	ZSCAN29	NDUFB1	COQ5
BANP	FGFRL1	GATM	MDC1
HPCAL1	PPP1R14B	PSMG4	HLA-E
FIBP	CCDC88C	ADI1	ANP32A
GTF2H3	USP31	PNPLA2	ELAVL1
DSG2	DAGLA	BRAP	PYM1
THAP7	TMC6	LMO4	CHCHD6
LRRC24	ZBTB18	YWHAE	ARHGDIA
FZR1	NDST1	HAGH	DNAJB2
RNF24	PCF11	ABHD2	BTF3
NACC1	TULP4	FBXW9	SIL1
CCNA1	SOGA1	CLN5	COQ9
HEXDC	SH3RF3	ANKRD13B	PSMB3
SMYD2	LATS2	AKR1B1	GTF2B
SORBS3	PPFIA1	MRPL28	CRELD1
PIP4K2A	SLC43A1	FAM136A	PPP1R11
PEG10	EVI5L	S100A6	POLDIP3
LRRFIP2	HMGXB3	RAB21	RXRB
PRPF8	CUEDC1	CWC27	CASP7
POGLUT1	TRAK2	SERP1	GPS2
CLDN12	IRAK1	SNX5	SUMF2
PSMG2	PACS2	ANKLE1	FUOM
AAR2	HOMER2	ARHGEF16	GNPDA2
PARD3	PLEKHG5	MFN2	COPS9
WDR45B	SPEG	XPO4	MPP2
RBM6	FBXO41	RNF25	BGN
EMILIN3	SHANK3	VSIG10L	HAAO
CA11	AZIN1	ACAA1	LSM14B
FAM76A	MED13	COL18A1	C14orf119
DYM	SBF2	SMG9	MED27
FAM83D	FAM20C	ZFR	DCTN4
PCSK5	SETD1A	COL5A3	FRG1
TRAM1	TICRR	PLA2G3	IDH2
RNF2	ZDHHC6	SHKBP1	LGALS1
NOTCH1	BRD4	RAPGEF6	PLPBP
GTF3C4	GPBP1L1	TRIM24	TP53
RAVER1	SETD5	KANK2	SSBP1
ABCD1	TRAPPC8	NBAS	UBXN1
RECQL4	UBP1	DDX6	STAT1
KDM6A	MTCL1	ADORA1	MRPS18A
YIF1A	ZNF839	VPS25	SYNCRIP
MAP4K5	SIPA1L2	CNIH1	PTPN18
GLT8D1	STARD9	FAHD1	TP53BP1
TNC	SHD	RBFA	MED10
TUBB6	MAP3K3	ACTG1	FYTTD1
BORCS7	TWNK	CD55	ARHGEF9
ZNF772	WWP1	UQCRH	BRI3
INCENP	SEMA6B	NEURL4	COMMD1
CIZ1	IGF1R	THOC1	RPS21
TIMMDC1	SPTBN2	PRPS2	FAM96B
WDR13	LRIG1	AATF	MRI1
AXL	XPO6	FAR2	HARS
PTPN3	EP300	UNC45A	GABARAP
EGFR	CRAMP1	C10orf88	RPA1
FURIN	PREX1	PPT2	CLTB
LTBP2	PHF2	RAB11FIP5	CLTA
TCF20	TMTC2	LAMTOR3	ARMC5
SPATA2	ADGRL1	MRPL39	CHCHD2
SPATA20	SOBP	MOB1A	MTCH1
CDK11B	ARID1B	ORC4	TEAD2
WIZ	TMEM104	MAGEA3	GAMT
PNPLA6	TRAF3	C20orf96	SON
SNUPN	ARHGEF11	RNF31	IFI35
HIF1A	DOCK5	CCDC107	DCAF7
MR1	TBC1D16	WARS2	RAN
UBE3D	SCN8A	HMGCS1	SNX4
DDHD1	GLI2	BARD1	TUBB3
CEP164	C3orf58	SNRNP27	METTL26
LDB1	SDK1	KDELR2	MXD3
MAPK7	WDR24	FBXO3	MSN
LRRC17	NIPA2	TMED1	ZC4H2
RFX5	MYO9B	PEX14	HRC
NOP56	MLXIP	CAMK2G	RCCD1
FABP4	PPP6R1	ARF4	FXYD5
RREB1	TNRC6A	VCAM1	MRPS14
MAP3K6	AGAP1	FDFT1	COQ6
THSD1	ULK1	PEPD	C17orf49
RPL30	KMT2B	C15orf40	FARSA
C1orf216	DYRK1A	TKFC	POLE4
STARD7		TYMS	GDI1
SS18L1		TUBG1	CNDP2
TRIM41		TCERG1	ACADS
SECISBP2		RCC1L	AIFM1
CCNA2		WDR3	MESD
CBR3		TRADD	SLC35E1
PCIF1		ACTN1	STMN3
SUV39H1		BLCAP	DBNDD1
CALD1		PGAM5	LSP1
NRG1		SLC7A5	SNRPF
GTPBP2		TAX1BP3	APOL2
RAB24		UBXN4	ABCD3
BNC2		ZNF512	SLFN11
FAM46A		WDR25	MCUB
MED18		ZPR1	PEX19
SYNJ2		XPO5	FAM89B
SENP3		RAB35	FAM118B
PER2		SUN2	RNASEH2C
PHLDB1		TRIM25	CNTNAP1
DDX24		NUP214	NIPSNAP1
ATP13A1		CHCHD5	PECR
SDF4		ENOX2	HDGF
PDCD11		PXN	CERS2
DIP2C		C19orf66	CHP1
ETNK2		WDR33	SRP19
SNX8		TLDC1	ISOC1
NFKBIL1		HSPB11	FHL1
POLR3E		ABHD10	SDC1
NECTIN1		SNRPA	NDUFA6
ADIPOR2		FAAP20	HINT2
MCC		MCCC1	RPS5
NEDD4L		SLC30A7	CS
FBXO22		GATAD1	COX8A
RANBP9		C1orf43	CHRND
PAG1		RPLP2	SH3GL1
XPOT		SLC39A7	FAM50A
GLIS3		DRG2	SNIP1
BRD2		FKBP9	NUDT1
IGFBP3		HSD3B7	NT5C
PPP2R5C		B4GALT5	STAT3
XXYLT1		QPCTL	ZNHIT1
TNS1		IPPK	RPRD1B
VSTM4		HPS4	TSPAN5
CDH4		EARS2	THYN1
SUCO		MDFI	PSMD14
ZNF696		PDIA4	ITM2C
NEK2		ATP9B	LHPP
IDS		NELFB	BLZF1
YTHDF1		TMEM219	THBS3
SCMH1		SUMF1	DFFA
CDH11		ZNF207	LMNA
RNF8		PREB	AIP
CLMP		SLC25A24	CAP1
GPAA1		AMDHD2	LRRC57
TAF1		AP3B1	MARS
ZBTB46		LTBR	ALDH9A1
TACC3		ACTR10	CAMTA1
MAPKAPK3		HNRNPM	ZNF444
IGBP1		FTSJ1	TARS2
NCOA6		HNRNPU	NUBPL
GTPBP8		RPUSD4	BFAR
OSBPL3		GLUD1	COA4
CLEC16A		SLC16A2	PPP1R35
MYC		HSPA5	AP4B1
PTGES		PJA2	RABIF
ZEB2		RGS17	TUT1
PERP		RAB3GAP2	HNRNPR
TWISTNB		CDC27	SIKE1
EIF5		ZNF576	CHTF8
VPS39		MTERF4	SNAPC3
MCM10		BAZ2A	GNPDA1
ADAMTS12		TNFRSF1B	TPM3
EML3		STK17A	HEBP2
ZNF398		RGL2	RTN2
ADO		MRPL37	SDE2
ADD3		BVES	DNAJC11
PCBD1		B4GAT1	PLTP
GPATCH8		SCD5	FAM104A
HMGB2		MBD2	UBE2J1
FAM216A		NARFL	RBFOX2
EEF2K		P4HB	DKK3
POLG		SPTY2D1	C1orf198
ZDHHC7		FUBP3	KRT18
SMG8		IFT52	PPOX
GNE		CSNK1A1	CDKAL1
ACHE		GLG1	PLEKHH3
DLK2		MSI2	VARS
MAP4K3		LPP	HAUS7
TMEM19		KDM4A	MAFF
EDC4		EIF3I	CREB3
KRI1		EIF3A	CAP2
ALG9		APEX2	ALDOA
CABIN1		ING5	LENG1
C2CD5		MFAP2	TIPARP
NFASC		SLC35A2	KIF22
METTL9		BID	GPX1
FOXJ3		DMTF1	STAT6
RRP1B		XRCC5	CTSD
PHLDB2		GTF3C3	CTNNB1
MFSD2A		ALDH7A1	CAPN1
MOCS3		GPR162	CBR1
SLC35F2		ASS1	ARPC5L
TRRAP		STT3A	OSBPL2
ZMYND8		TGFB3	STARD4
MTSS1		LAMTOR1	RPL7L1
RGS12		AEBP2	ATXN7L3B
KIAA0556		METTL1	BCL7C
FANCE		CDH15	FAM57A
PPP1R12A		TSR3	PSMD8
RANBP1		PCBP1	HAGHL
ZNF232		PBX3	PTBP1
DPH2		SMYD5	AKIRIN1
WAC		EMC8	ICMT
TJP1		AKR1A1	FAM210B
RMND5B		ELAVL2	LAPTM4B
EYA1		ATP10D	SYP
RPL3		THAP11	GPKOW
HIPK1		MRPL27	EIF4E2
ELK1		ERAP1	BOLA3
EBNA1BP2		LOXL4	ABHD5
ZNF445		DIAPH1	NNMT
PRDM8		TMED3	AP2S1
RUFY2		ZMYND19	RNF114
NFAT5		PSMA7	NSUN2
FBXO25		ARAP1	RETSAT
H2AFX		ZNF211	ATG4B
TMEM9B		SLC4A1AP	CNPPD1
CHMP6		ATG101	ABHD11
DYSF		MIIP	BLVRB
RP9		RNF220	OGFR
AGO2		H3F3B	ZNF143
NAV3		NPLOC4	PLAT
PPM1B		FBXW2	WDR76
IL4R		RPS6KC1	CTNND1
HLA-F		POLR2C	PGLS
COQ2		TBRG4	EIF6
SAMD1		RIC8A	PPP1R7
USP42		EIF2D	C11orf49
CEP128		C1orf106	HYOU1
PLCB3		SEC23B	SRSF3
SARM1		DVL2	NEIL2
ADAMTS17		COPS8	TMEM53
ADAMTS15		LAMC1	DAP3
CHD4		WDR59	TCF12
MKNK2		TAP2	DYNLRB1
ARHGAP42		YY1AP1	RHOA
ASL		MOGS	MRPL24
SENP2		VPS26B	DDB1
UHRF1BP1		CPNE1	DES
TTC14		PARP1	PEMT
CABLES1		TPD52L2	PNKD
RUNDC1		AMFR	ARF3
DSE		MAST4	RAB2B
MAPKBP1		DMAC2	TIMM29
CHERP		DCP2	CCT2
PPP2R2A		MYO1C	ERG28
PPP2R3A		SPATA2L	BLMH
ATF5		ARNT	GMPS
CHST15		LPIN2	YWHAZ
TRIM62		TTLL4	GRPEL1
ERN1		CCT4	MVP
LDLR		SAFB2	FAM213B
HOXA13		DXO	AGPS
IP6K3		MRPL40	DRAP1
IFNGR2		SRPX	IRGQ
TTLL12		PTPDC1	UTP6
RASA2		HUWE1	CD46
PRSS23		ATP1A3	PCMT1
FOXP4		CCDC51	PDCL
TNFAIP8L1		DDI2	HNRNPUL2
SLC25A46		UQCC2	TMEM18
GGH		PSMB7	C3orf38
SLC50A1		PSMA5	RAB29
C7orf26		PSMB1	PRMT5
SPATA5L1		PSMB2	MORF4L2
MORC3		PSMB4	CST3
ATP7A		MFSD3	DCXR
UBN2		FHOD1	XKR6
ITPKC		PEX6	ST3GAL4
ZNF668		SYAP1	JPT2
BCAR3		NGDN	LASP1
OGFOD1		WDR34	PTGES2
CORO2A		CDC45	PUS1
ZNRF2		CYP20A1	GSTM3
LGR5		SLC8A3	MAPT
SPTBN1		SRRM1	LONP2
CBX4		TMEM87B	RBM4B
GCLC		BUB1B	CMTM6
RXRA		MRPL46	LIN7C
ASCC2		FIP1L1	PPP1R18
FAM160B2		SNX27	ATP5MC1
IER3IP1		DLG3	ASH2L
NEK7		GFM1	EIF4A1
JUND		PRPF4	EIF2S3
SPCS3		NSMCE4A	RPS19
TTC27		HARS2	XPNPEP3
ARHGAP24		GOLGA2	NPM3
PRKD1		SUMO2	NANS
RPP40		GPATCH2L	MIS18A
PAK1		SEMA4F	CRLF3
SPIRE1		INPP5K	PDIA6
CASZ1		RPN2	APOL6
PRKCA		KLHL21	CDS2
UXS1		CFAP20	ALDH18A1
CENPV		OLA1	DDB2
ARHGEF25		SNRNP25	MYL6
MTG2		FBXL12	TPM1
ZFHX4		SUN1	KLHDC8B
DEPDC1B		BBS2	VCP
CKAP5		SOX8	UBAP2L
