UPF1	PKNOX2	BRD4	OLFM2	PRPF8
MEF2D	YWHAG	GPBP1L1	ROBO3	POGLUT1
MELTF	HDAC1	SETD5	ANAPC16	CLDN12
PDK1	TXN2	MTCL1	PDCD4	PSMG2
PLAGL2	TATDN3	SIPA1L2	EMC7	WDR45B
TRIM9	FXR1	STARD9	UBALD2	RBM6
BZW2	PLD3	SHD	NDUFA4	EMILIN3
ATG2A	GPS1	TWNK	EIF1AD	CEP120
ZDHHC5	DGLUCY	SEMA6B	CTSV	RECQL4
PHF8	CDIP1	SPTBN2	BCL2L12	KDM6A
FASTK	TGFBR3L	EP300	STAT5B	MAP4K5
DHX9	OS9	CRAMP1	ZFPM1	GLT8D1
MTBP	LMAN2	PREX1	NUCB1	TNC
RERE	UBQLN4	PHF2	LMNB1	CIZ1
SLC35G1	ZSCAN26	ADGRL1	LMO2	WDR13
USF2	NUDT16L1	SOBP	TAF15	SRGAP3
LTBP1	EXD2	TRAF3	EIF3G	AXL
MCM2	FANCI	ARHGEF11	CFD	PTPN3
E2F2	HSPA9	DOCK5	PIGO	EGFR
DIAPH3	GLE1	SCN8A	NTPCR	LTBP2
FAM171A2	TCEA3	GLI2	MTCH2	TCF20
PSMG4	PEA15	NIPA2	CD58	SPATA2
C12orf4	MYL12B	MYO9B	SMIM10L1	SPATA20
ELF1	ACSF2	PPP6R1	PQLC2	PNPLA6
CBLN2	TRIP10	TNRC6A	STIP1	PDGFC
BRAP	NUDCD3	AGAP1	CHKA	HIF1A
TRIM2	IRF3	ULK1	COTL1	UBE3D
FBXW9	PWP2	KMT2B	ATP6AP1	N4BP1
CERS5	CPNE7		SYPL2	LRRC17
ANKRD13B	ACTR1B		METTL3	FABP4
S100A6	PPA2		TFRC	RREB1
MSH3	SSR4		SOD2	MAP3K6
SNX5	CAPG		PMPCA	STARD7
ARHGEF16	CLPTM1		ZMYM3	TRIM41
XPO4	UBE2G2		C16orf45	SECISBP2
VSIG10L	MPP5		NUB1	PCIF1
ZFR	CASD1		ASF1B	NRG1
WDTC1	NRBP1		FKBP10	SENP3
NOP53	DHDDS		ENSA	PER2
PLA2G3	MED22		EZR	ATP13A1
POLR3D	SUFU		ANXA7	DIP2C
NBAS	PTTG1		IDH3B	HOXB3
SSFA2	TMEM14C		GMFG	SNX8
HINT1	VPS52		HACL1	NECTIN1
DDX6	GTF3C6		ATP6V1F	ADIPOR2
ADORA2B	MFSD10		BUD31	MCC
C1orf109	HPRT1		ZNF16	NEDD4L
CNIH1	TBC1D17		COQ5	FBXO22
NEDD4	E2F8		HLA-E	NRXN2
H3F3C	TPM4		ANP32A	PAG1
AFTPH	ETV1		ELAVL1	XPOT
SEC16A	MRM2		PYM1	GLIS3
PPP1R21	KHDRBS1		CHCHD6	TAF1C
ACTG1	SMARCD1		DNAJB2	BRD2
SRSF2	YKT6		SIL1	XXYLT1
YEATS4	NDUFAB1		COQ9	ZSCAN5A
DIS3L	MRPL10		PSMB3	PLEKHG4
LIMD1	DPH5		CRELD1	ZNF696
FUZ	POP1		PPP1R11	KDM2B
C10orf88	SWAP70		POLDIP3	IDS
MRPL45	UBQLN1		RXRB	SCMH1
MOCS1	ATL3		CASP7	CDH11
LAMTOR3	THUMPD3		GPS2	RNF8
CIPC	RNF20		SUMF2	WWC2
MOB1A	GLI4		FUOM	CLMP
DGCR2	SMYD4		COPS9	TAF1
ORC4	UBC		MPP2	ZBTB46
TUSC3	MXD1		HAAO	NCOA6
C20orf96	PPP1R13L		LSM14B	CLEC16A
RNF31	MID1IP1		MED27	MYC
SNAPIN	SNX6		DCTN4	PTGES
CCDC107	TIMM10		IDH2	TWISTNB
NSD2	TBL2		PLPBP	SEPHS1
CCNB2	LDLRAD3		TP53	EPHB4
KCNG1	DDR2		SSBP1	EIF5
GATB	ILK		UBXN1	MCM10
SERTAD2	UCHL1		MRPS18A	GRK2
MAP2K4	CLP1		SYNCRIP	MGAT4B
C15orf40	COPS6		PTPN18	ZNF398
ACTN1	GALE		TP53BP1	FBXO18
BLCAP	G6PD		MED10	GPATCH8
GLT8D2	GCN1		ARHGEF9	TBC1D8
CYHR1	IMMT		COMMD1	EEF2K
SLC7A5	SPAG7		FAM96B	POLG
ZPR1	INTS3		MRI1	SMG5
SUN2	NDUFA10		HARS	SMG8
LSM3	NDUFB1		RPA1	GNE
DHX37	GATM		CLTB	ACHE
BRWD1	ZC3HAV1		CLTA	DLK2
WDR33	ADI1		CHCHD2	TMEM19
SARAF	PNPLA2		MTCH1	DLL1
ABHD10	LMO4		GAMT	KRI1
IPO11	YWHAE		IFI35	ALG9
SLC30A7	HAGH		DCAF7	CABIN1
C1orf43	FDPS		RAN	C2CD5
XPR1	ABHD2		SNX4	NFASC
IPPK	CLN5		TUBB3	PDE4A
HPS4	AKR1B1		METTL26	RRP1B
KRIT1	MRPL28		MXD3	MOCS3
KANSL1	FAM136A		ZC4H2	SIPA1L1
DPP9	RAB21		HRC	TRRAP
TMEM219	CWC27		RCCD1	MTSS1
CCDC134	SERP1		FXYD5	ZNF45
ZNF207	ANKLE1		MRPS14	ZNF74
RAB4A	MFN2		COQ6	KIAA0556
CHPF	RNF25		C17orf49	FANCE
