AccNum,GeneName
NM_001354609,BRAF
NM_001350989,SFXN2
NM_182663,RASSF5
NM_206862,TACC2
NM_001204517,KIFAP3
NM_153261,CNEP1R1
NM_001354602,TMEM269
NM_001350984,ZSCAN25
NM_025248,SRCIN1
NM_001148,ANK2
NM_004319,ASTN1
NM_004318,ASPH
NM_001286555,DUSP22
NM_001286554,USP49
NM_001300970,ZNF566
NM_001300750,LMBR1L
NM_032038,SPNS1
NM_004316,ASCL1
NM_004642,CDK2AP1
NM_001330761,ZDHHC3
NM_001330765,DEDD
NM_001201475,C18orf21
NM_001291303,FAT4
NM_001348341,SDCBP
NM_022902,SLC30A5
NM_022903,CCDC71
NM_016183,MRTO4
NM_032445,MEGF11
NM_022908,NT5DC2
NM_022909,CENPH
NM_017858,TIPIN
NM_001320642,BIN1
NM_001686,ATP5F1B
NM_017854,TMEM160
NM_017856,GEMIN8
NM_001687,ATP5F1D
NM_182931,KMT2E
NM_001351277,LARP4B
NM_025027,ZNF606
NM_001875,CPS1
NM_001353259,FAM49B
NM_016329,SFMBT1
NM_001348163,ZNF788
NM_016320,NUP98
NM_016451,COPB1
NM_016322,RAB14
NM_016457,PRKD2
NM_024993,LRRTM4
NM_017777,MKS1
NM_015989,CSAD
NM_001354975,XPA
NM_015987,HEBP1
NM_015981,CAMK2A
NM_015983,UBE2D4
NM_138468,ICA1L
NM_017588,WDR5
NM_138461,TM4SF19
NM_138463,TLCD1
NM_017585,SLC2A6
NM_017582,UBE2Q1
NM_017583,TRIM44
NM_017580,ZRANB1
NM_138466,ZNF837
NM_000155,GALT
NM_000154,GALK1
NM_001161581,POC1A
NM_024036,LRFN4
NM_001287603,ZBTB17
NM_001303405,CWF19L1
NM_024037,AUNIP
NM_000817,GAD1
NM_024031,PRR14
NM_001352650,PCM1
NM_000152,GAA
NM_001293237,MED15
NM_145276,ZNF563
NM_006640,Sep-09
NM_001308231,CABYR
NM_006646,WASF3
NM_006645,STARD10
NM_006644,HSPH1
NM_006649,UTP14A
NM_001317395,KCTD10
NM_001351580,ODF2
NM_002940,ABCE1
NM_001166305,TMEM44
NM_001166304,PIGX
NM_138803,CCDC148
NM_138802,ZFAND2B
NM_138801,GALM
NM_002947,RPA3
NM_001184783,VDAC2
NM_001292018,CYTH1
NM_031420,MRPL9
NM_138809,CMBL
NM_177983,PPM1G
NM_177980,CDH26
NM_001172509,SATB2
NM_001080543,CACTIN
NM_003255,TIMP2
NM_139015,SPPL3
NM_001320410,ATP23
NM_001242397,TWF1
NM_001320417,MITD1
NM_001324027,ZNF717
NM_001102450,RGS8
NM_001320415,MAX
NM_001123355,PPP6C
NM_021821,MRPS35
NM_003249,THOP1
NM_021823,PPCDC
NM_021824,NIF3L1
NM_001321532,USPL1
NM_003549,HYAL3
NM_078469,BCCIP
NM_145858,CRYZL1
NM_003546,HIST1H4L
NM_003545,HIST1H4E
NM_003544,HIST1H4B
NM_003543,HIST1H4H
NM_003542,HIST1H4C
NM_001145210,ANKRD65
NM_003540,HIST1H4F
NM_024613,PLEKHF2
NM_022304,HRH2
NM_001260491,SLC9A8
NM_002499,NEO1
NM_001318872,FARS2
NM_014748,SNX17
NM_001286491,FRMD5
NM_014213,HOXD9
NM_014212,HOXC11
NM_014747,RIMS3
NM_014216,ITPK1
NM_014743,KIAA0232
NM_014742,TM9SF4
NM_005236,ERCC4
NM_005234,NR2F6
NM_005233,EPHA3
NM_152464,TMEM199
NM_005231,CTTN
NM_005230,ELK3
NM_032194,RPF2
NM_018846,KLHL7
NM_005238,ETS1
NM_001319652,OSBPL8
NM_001319658,DUSP23
NM_001314026,YBEY
NM_001330393,VEZF1
NM_052943,FAM46B
NM_052945,TNFRSF13C
NM_052947,ALPK2
NM_001320875,DPP8
NM_032830,UTP4
NM_153711,CALHM5
NM_015175,NBEAL2
NM_001204410,SEC14L1
NM_032772,ZNF503
NM_032773,LRCH3
NM_015995,KLF13
NM_032776,JMJD1C
NM_032777,ADGRA2
NM_001145312,ETV3
NM_001679,ATP1B3
NM_001080826,PRAG1
NM_001318063,ATP6V1E2
NM_015042,ZNF609
NM_001040177,AKR1E2
NM_001352117,VEZT
NM_018195,NKAPD1
NM_212482,FN1
NM_001098615,PUS7L
NM_022753,S100PBP
NM_022750,PARP12
NM_022756,MEAF6
NM_153713,LIX1L
NM_001321478,THUMPD2
NM_001033723,ZNF704
NM_015168,ZC3H4
NM_015169,RRS1
NM_018918,PCDHGA5
NM_018192,P3H2
NM_001220488,CDH13
NM_018914,PCDHGA11
NM_001306147,Sep-11
NM_018911,PCDHA8
NM_015164,PLEKHM2
NM_018913,PCDHGA10
NM_020883,ZSWIM5
NM_001282866,Mar-08
NM_020884,MYH7B
NM_001329791,ELMOD3
NM_014616,ATP11B
NM_001289936,ERBB2
NM_001282860,GON4L
NM_019063,EML4
NM_001113567,LRRC75A
NM_019066,MAGEL2
NM_019065,NECAB2
NM_019069,WDR5B
NM_001310338,MGME1
NM_014612,FAM120A
NM_001258394,CLPB
NM_025099,CTC1
NM_001258397,CCDC103
NM_001258390,LAYN
NM_005093,CBFA2T2
NM_001304445,LCLAT1
