AccNum,GeneName
NM_000489,ATRX
NM_199344,SFT2D2
NM_001010853,PM20D2
NM_001323578,IFT52
NM_001287491,TET3
NM_001287497,TMEM168
NM_001323570,CCP110
NM_006516,SLC2A1
NM_007055,POLR3A
NM_001285404,THOC7
NM_007056,CLASRP
NM_007051,FAF1
NM_024705,DHRS12
NM_001025091,ABCF1
NM_007277,EXOC3
NM_007059,KPTN
NM_006262,PRPH
NM_001029954,CDNF
NM_001029955,DCAF4L1
NM_015701,ERLEC1
NM_004128,GTF2F2
NM_007022,CYB561D2
NM_007276,CBX3
NM_024715,TXNDC15
NM_012448,STAT5B
NM_024717,MCTP1
NM_003749,IRS2
NM_000316,PTH1R
NM_203406,MBLAC2
NM_001323565,CDO1
NM_001025105,CSNK1A1
NM_007271,STK38
NM_153813,ZFPM1
NM_153812,PHF13
NM_006181,NTN3
NM_006184,NUCB1
NM_006186,NR4A2
NM_006187,OAS3
NM_153033,KCTD7
NM_001145667,GLG1
NM_025235,TNKS2
NM_207352,CYP4V2
NM_207356,C1orf174
NM_207359,GADL1
NM_138962,MSI2
NM_138966,NETO1
NM_001077637,RAB6D
NM_005578,LPP
NM_004655,AXIN2
NM_001290768,TBCK
NM_001017975,HFM1
NM_014668,GREB1
NM_005570,LMAN1
NM_005573,LMNB1
NM_005574,LMO2
NM_014663,KDM4A
NM_014660,PHF14
NM_014661,FAM53B
NM_001258024,SKOR1
NM_139215,TAF15
NM_003756,EIF3H
NM_003757,EIF3I
NM_003754,EIF3F
NM_003755,EIF3G
NM_004450,ERH
NM_003753,EIF3D
NM_003750,EIF3A
NM_003758,EIF3J
NM_001317335,CFD
NM_001252065,SYT7
NM_001349712,MECR
NM_014481,APEX2
NM_014487,ZNF330
NM_052864,TIFA
NM_001163692,UBAP1L
NM_005751,AKAP9
NM_152636,METTL15
NM_152637,METTL7B
NM_032634,PIGO
NM_032324,NTPCR
NM_032323,TMEM79
NM_032630,CINP
NM_152320,ZNF641
NM_001347716,CHRM3
NM_021228,SCAF1
NM_032329,ING5
NM_152329,LRR1
NM_015630,EPC2
NM_001352018,LMF1
NM_014342,MTCH2
NM_024829,PLBD1
NM_001144825,RUNDC3A
NM_001144822,CD58
NM_001204286,MUC1
NM_033055,MFSD14A
NM_022145,CENPK
NM_001348194,RIOK1
NM_022149,MAGEF1
NM_015530,GORASP2
NM_001350942,ACTR3B
NM_015534,ZZZ3
NM_015285,WDR7
NM_015284,SZT2
NM_015283,DPY19L1
NM_001271592,SMIM10L1
NM_002409,MGAT3
NM_002408,MGAT2
NM_001316968,C5orf30
NM_002403,MFAP2
NM_015689,DENND2A
NM_024844,NUP85
NM_001144757,SCG5
NM_001287135,CDK14
NM_001350197,EVI5
NM_013975,LIG3
NM_001033576,UNC45B
NM_001319311,DEPDC4
NM_013979,BNIP1
NM_001145450,MORN2
NM_001040125,PQLC2
NM_001101372,IGLON5
NM_138356,SHF
NM_001930,DHPS
NM_138353,DCAF15
NM_138350,THAP3
NM_001009881,ZCCHC11
NM_001282652,STIP1
NM_001282651,SLC35A2
NM_001277,CHKA
NM_001271,CHD2
NM_001270,CHD1
NM_001353942,DIP2A
NM_001334,CTSO
NM_001278,CHUK
NM_197966,BID
NM_197964,FMC1
NM_016001,UTP18
NM_001349118,SMIM27
NM_021147,CCNO
NM_021145,DMTF1
NM_021143,ZNF20
NM_001142285,RPS24
NM_021141,XRCC5
NM_001308142,MKL2
NM_001308147,PLEKHG3
NM_021149,COTL1
NM_021148,ZNF273
NM_012081,ELL2
NM_012082,ZFPM2
NM_012083,FRAT2
NM_012084,GLUD2
NM_001188,BAK1
NM_012086,GTF3C3
NM_001184,ATR
NM_001277291,ZNF891
NM_001183,ATP6AP1
NM_001182,ALDH7A1
NM_033446,MVB12B
NM_001322349,DIS3
NM_178191,ATP5IF1
NM_001143887,COPS2
NM_017822,KANSL2
NM_001024688,NBN
NM_030667,PTPRO
NM_001040709,SYPL2
NM_017670,OTUB1
NM_017671,FERMT1
NM_017672,TRPM7
NM_017673,SWT1
NM_021727,FADS3
NM_017676,GIN1
NM_021724,NR1D1
NM_001042749,STAG2
NM_001009555,SH3D19
NM_001009552,PPP2CB
NM_001316332,MAP2K3
NM_015571,SENP6
NM_001984,ESD
NM_001987,ETV6
NM_019852,METTL3
NM_001983,ERCC1
NM_001982,ERBB3
NM_001174072,SERINC5
NM_019858,GPR162
NM_001288718,STAT5A
NM_001135999,RUSC2
NM_178229,IQGAP3
NM_000050,ASS1
NM_001135993,TTC39C
NM_000053,ATP7B
NM_144721,THAP6
NM_015570,AUTS2
NM_001278503,STT3A
NM_017908,ZNF446
NM_017909,RMND1
NM_003239,TGFB3
NM_017902,HIF1AN
NM_003234,TFRC
NM_001011667,CHCHD7
NM_017457,CYTH2
NM_017906,PAK1IP1
NM_017907,LAMTOR1
NM_203472,SELENOS
NM_004249,RAB28
NM_004939,DDX1
NM_001184986,NDUFC1
NM_153207,AEBP2
NM_005371,METTL1
NM_004933,CDH15
NM_153208,IQCK
NM_004937,CTNS
NM_004935,CDK5
NM_001206572,SORCS1
NM_001017440,CALN1
NM_001001410,TSR3
NM_001142651,NEURL1B
NM_198516,GALNT18
NM_198514,NHLRC2
NM_006196,PCBP1
NM_000635,RFX2
NM_000636,SOD2
NM_001161334,HIST2H2BF
NM_006195,PBX3
NM_000633,BCL2
NM_006062,SMYD5
NM_003581,NCK2
NM_006067,EMC8
NM_006066,AKR1A1
NM_003588,CUL4B
NM_139178,ALKBH3
NM_139179,DAGLB
NM_025138,PROSER1
NM_020459,PAIP2B
NM_001206612,CHTOP
NM_013382,POMT2
NM_001351455,ELAVL2
NM_016333,SRRM2
NM_020452,ATP8B2
NM_020453,ATP10D
NM_001025,RPS23
NM_020456,SPRYD7
NM_020457,THAP11
NM_020455,ADGRG6
NM_173517,VKORC1L1
NM_002982,CCL2
NM_138568,EXOC3L2
NM_016500,PBDC1
NM_016504,MRPL27
NM_016507,CDK12
NM_173511,FAM117B
NM_015160,PMPCA
NM_016442,ERAP1
NM_032211,LOXL4
NM_016335,PRODH
NM_004780,TCEAL1
NM_152405,JMY
NM_001278529,ARHGEF40
NM_006454,MXD4
NM_015161,ARL6IP1
NM_001098525,CKAP2
NM_002185,IL7R
NM_002180,IGHMBP2
NM_001308053,RAB26
NM_001147,ANGPT2
NM_001287533,ZNF92
NM_013366,ANAPC2
NM_001039503,PRSS53
NM_001171162,ZMYM3
NM_001314007,DIAPH1
NM_013368,SERTAD3
NM_005456,MAPK8IP1
NM_001330377,PCTP
NM_001330376,TMED3
NM_138462,ZMYND19
NM_014521,SH3BP4
NM_001303474,GPR146
NM_018489,ASH1L
NM_002360,MAFK
NM_002364,MAGEB2
NM_018176,LGI2
NM_002792,PSMA7
NM_001256599,TRIM46
NM_024518,ULBP3
NM_001040118,ARAP1
NM_024516,PAGR1
NM_001007231,ARHGAP25
NM_024513,FYCO1
NM_001265597,ZNF211
NM_032408,BAZ1B
NM_032409,PINK1
NM_201555,FHL2
NM_033201,C16orf45
NM_033200,LMF2
NM_001308963,CRNDE
NM_033208,TIGD7
NM_001287140,TPD52
NM_001282463,C14orf132
NM_001243351,NUB1
NM_014672,KIAA0391
NM_178012,TUBB2B
NM_178422,PAQR7
NM_018158,SLC4A1AP
NM_018159,NUDT11
NM_021934,ATG101
NM_021933,MIIP
NM_080750,DPH3P1
NM_018150,RNF220
NM_018154,ASF1B
NM_001134647,AFAP1
NM_021939,FKBP10
NM_207043,ENSA
NM_004713,NEMF
NM_003379,EZR
NM_001105079,FBRS
NM_014832,TBC1D4
NM_173794,FUNDC1
NM_014830,ZBTB39
NM_014345,ZNF318
NM_014344,FJX1
NM_014347,ZNF324
NM_005324,H3F3B
NM_005321,HIST1H1E
NM_005320,HIST1H1D
NM_005323,HIST1H1T
NM_005322,HIST1H1B
NM_001349382,SLC38A9
NM_152794,HIF3A
NM_152793,MTURN
NM_152791,ZNF555
NM_001010000,ARHGAP28
NM_001286813,TNFAIP8
NM_017921,NPLOC4
NM_024496,IRF2BPL
NM_006252,PRKAA2
NM_012163,LRRC29
NM_001009944,PKD1
NM_012161,FBXL5
NM_001282526,POLR3F
NM_012164,FBXW2
NM_001349660,RPS6KC1
NM_012168,FBXO2
NM_006255,PRKCH
NM_032940,POLR2C
NM_024531,SLC52A2
NM_017922,PRPF39
NM_145166,ZBTB47
NM_001173543,BANP
NM_001258359,HPCAL1
NM_198897,FIBP
NM_001258353,EFTUD2
NM_206920,MAMDC4
NM_152868,KCNJ4
NM_001323342,AHCTF1
NM_001162407,CLK1
NM_001258459,PHKG1
NM_001042522,SPRED3
NM_001042,SLC2A4
NM_004747,DLG5
NM_001516,GTF2H3
NM_004034,ANXA7
NM_001515,GTF2H2
NM_001330620,MSANTD1
NM_004748,CCPG1
NM_004749,TBRG4
NM_001142286,SMC6
NM_021932,RIC8A
NM_022358,KCNK15
NM_004429,EFNB1
NM_007217,PDCD10
NM_022353,OSGEPL1
NM_022350,ERAP2
NM_006892,DNMT3B
NM_006893,EIF2D
NM_006896,HOXA7
NM_006897,HOXC9
NM_006899,IDH3B
NM_001943,DSG2
NM_004424,E4F1
NM_001142569,C1orf106
NM_001142568,BBX
NM_001031855,LONRF3
NM_030573,THAP7
NM_006566,CD226
NM_004877,GMFG
NM_012260,HACL1
NM_001024678,LRRC24
NM_003329,TXN
NM_004420,DUSP8
NM_016261,TUBD1
NM_016262,TUBE1
NM_016263,FZR1
NM_032985,SEC23B
NM_198183,UBE2L6
NM_016269,LEF1
NM_004422,DVL2
NM_198189,COPS8
NM_002293,LAMC1
NM_030581,WDR59
NM_001290043,TAP2
NM_181714,LCA5
NM_001198909,ATP6V1F
NM_007156,ZXDA
NM_173084,TRIM59
NM_001198903,YY1AP1
NM_173083,LIN9
NM_001300739,MAGOHB
NM_018352,TMA16
NM_001354469,LOC391322
NM_006302,MOGS
NM_181726,ANKRD37
NM_007215,POLG2
NM_007214,SEC63
NM_007213,PRAF2
NM_181723,MICU3
NM_001350628,LYPLAL1
NM_052875,VPS26B
NM_007219,RNF24
NM_007218,RNF139
NM_003918,GYG2
NM_001206897,ALDH1A2
NM_001010860,SAMD15
NM_198141,GANC
NM_003910,BUD31
NM_001190274,FBXO11
NM_052876,NACC1
NM_003914,CCNA1
NM_003915,CPNE1
NM_001308351,ZNF433
NM_001318058,DMAC1
NM_001351684,DZANK1
NM_014498,GOLIM4
NM_001618,PARP1
NM_144668,WDR66
NM_001351860,PPFIBP2
NM_199360,TPD52L2
NM_001174098,SLC29A3
NM_001323512,AMFR
NM_001164664,MAST4
NM_198147,ABHD15
NM_007076,FICD
NM_032947,SMIM3
NM_001143948,ADTRP
NM_001320309,IMP4
NM_001029976,ZNF16
NM_130898,CREB3L4
NM_032312,YIPF4
NM_173628,DNAH17
NM_001242924,ZNF410
NM_032943,SYTL2
NM_173620,HEXDC
NM_173627,ENDOV
NM_001167867,DMAC2
NM_020197,SMYD2
NM_152624,DCP2
NM_152649,MLKL
NM_032316,NICN1
NM_006951,TAF5
NM_001080779,MYO1C
NM_032314,COQ5
NM_173614,NOMO2
NM_152357,ZNF440
NM_145288,ZNF296
NM_145285,NKX2-3
NM_005775,SORBS3
NM_001145642,RUBCN
NM_153018,ZFP3
NM_152339,SPATA2L
NM_153015,TMEM74
NM_001286035,ARNT
NM_207336,ZNF467
NM_207334,FAM43B
NM_003155,STC1
NM_001282444,EHD1
NM_207338,LCTL
NM_005028,PIP4K2A
NM_014646,LPIN2
NM_006437,PARP4
NM_014640,TTLL4
NM_014641,MDC1
NM_014643,ZNF516
NM_005516,HLA-E
NM_006430,CCT4
NM_005515,MNX1
NM_005512,LRRC32
NM_014649,SAFB2
NM_005510,DXO
NM_001172438,PEG10
NM_006309,LRRFIP2
NM_139239,NFKBID
NM_003776,MRPL40
NM_006307,SRPX
NM_003772,JRKL
NM_006305,ANP32A
NM_177995,PTPDC1
NM_031407,HUWE1
NM_001419,ELAVL1
NM_001353100,PRPSAP2
NM_006445,PRPF8
NM_001256214,ATP1A3
NM_152308,RMI2
NM_001256964,CCDC51
NM_152658,THAP8
NM_001320179,ZFP69
NM_032345,PYM1
NM_152305,POGLUT1
NM_152655,ZNF585A
NM_032341,DDI2
NM_032340,UQCC2
NM_032343,CHCHD6
NM_001185077,ARHGDIA
NM_000725,CACNB3
NM_001185072,CLDN12
NM_001347733,MID1
NM_006736,DNAJB2
NM_001037637,BTF3
NM_001353009,SCAPER
NM_001037633,SIL1
NM_000723,CACNB1
NM_002799,PSMB7
NM_203422,LRRN4CL
NM_020312,COQ9
NM_001355406,ZNF724
NM_002790,PSMA5
NM_002793,PSMB1
NM_002795,PSMB3
NM_002794,PSMB2
NM_002796,PSMB4
NM_001355409,HIST2H3PS2
NM_138431,MFSD3
NM_001514,GTF2B
NM_006939,SOS2
NM_001635,AMPH
NM_001318203,VTI1A
NM_001318202,FHOD1
NM_173802,ETFBKMT
NM_020232,PSMG2
NM_000287,PEX6
NM_001258205,TRPV3
NM_001206864,STRADB
NM_032796,SYAP1
NM_015514,NGDN
NM_015513,CRELD1
NM_001320222,U2SURP
NM_015511,AAR2
NM_021959,PPP1R11
NM_020981,B3GALT1
NM_030753,WNT3
NM_001278657,POLDIP3
NM_019619,PARD3
NM_002428,MMP15
NM_019613,WDR45B
NM_001349192,RBM6
NM_020897,HCN3
NM_001270401,RXRB
NM_033338,CASP7
NM_004489,GPS2
NM_001136195,TNPO2
NM_001136194,FASTKD2
NM_052844,WDR34
NM_052845,MMAB
NM_052846,EMILIN3
NM_001076786,QSER1
NM_001354199,R3HDM1
NM_015411,SUMF2
NM_001301828,FUOM
NM_001178010,CDC45
NM_170745,HIST1H2AA
NM_177538,CYP20A1
NM_001321772,RSRP1
NM_001040105,MUC17
NM_183008,UBXN11
NM_198581,ZC3H6
NM_138335,GNPDA2
NM_001322487,HPS1
NM_138336,COPS9
NM_001278381,MPP2
NM_138330,ZNF675
NM_001040108,MLH3
NM_183002,SLC8A3
NM_001303448,SRRM1
NM_001255995,IFT43
NM_032824,TMEM87B
NM_001217,CA11
NM_001216,CA9
NM_001211,BUB1B
NM_001143912,FAM76A
NM_022168,IFIH1
NM_001353214,DYM
NM_001358292,RMI1
NM_022160,DMRTA1
NM_022163,MRPL46
NM_022165,LIN7B
NM_022166,XYLT1
NM_030912,TRIM8
NM_021129,PPA1
NM_030917,FIP1L1
NM_030915,LBH
NM_030918,SNX27
NM_030919,FAM83D
NM_058229,FBXO32
NM_021120,DLG3
NM_138481,CHADL
NM_001308164,GFM1
NM_001322263,LOC100507507
NM_001322260,ZNF79
NM_001322267,PRPF4
NM_001033045,GPR155
NM_001190482,PCSK5
NM_001141936,C4orf48
NM_198584,CA13
NM_001317805,TRAM1
NM_001321685,ZNF225
NM_001005751,WASHC2A
NM_007212,RNF2
NM_017619,RNPC3
NM_017617,NOTCH1
NM_017615,NSMCE4A
NM_017613,DONSON
NM_012208,HARS2
NM_001316311,RPL35A
NM_001711,BGN
NM_004483,GCSH
NM_004486,GOLGA2
NM_012204,GTF3C4
NM_012205,HAAO
NM_018396,METTL2B
NM_144703,LSM14B
NM_133452,RAVER1
NM_006931,SLC2A3
NM_006930,SKP1
NM_000033,ABCD1
NM_006937,SUMO2
NM_017924,C14orf119
NM_003216,TEF
NM_017926,GPATCH2L
NM_153221,CILP2
NM_153223,CEP120
NM_001206559,POLR1D
NM_001324165,ZNF32
NM_004269,MED27
NM_001330169,TSPAN31
NM_004267,CHST2
NM_001001436,C16orf87
NM_004263,SEMA4F
NM_001001433,STX16
NM_004260,RECQL4
NM_001124767,SMIM4
NM_001291415,KDM6A
NM_001135644,DCTN4
NM_001135642,INPP5K
NM_198573,ENHO
NM_004304,ALK
NM_001164496,CFAP44
NM_001281453,MBD3
NM_014818,TRIM66
NM_020470,YIF1A
NM_001324301,RPN2
NM_025113,RUBCNL
NM_020474,GALNT1
NM_025115,TTI2
NM_001324309,KLHL21
NM_015227,POFUT2
NM_198795,TDRD1
NM_198794,MAP4K5
NM_016529,ATP8A2
NM_016526,BET1L
NM_016524,SYT17
NM_001010983,GLT8D1
NM_175875,SIX5
NM_175876,EXOC8
NM_175871,SWSAP1
NM_175872,ZNF792
NM_004477,FRG1
NM_013240,N6AMT1
NM_013348,KCNJ14
NM_001277403,ZNF730
NM_002160,TNC
NM_013242,CFAP20
NM_002166,ID2
NM_002167,ID3
NM_013341,OLA1
NM_002168,IDH2
NM_001199860,KCNAB2
NM_001303530,TUBB6
NM_004474,FOXD2
NM_001303534,RAPGEFL1
NM_013246,CLCF1
NM_203297,TRIM7
NM_001136200,BORCS7
NM_003558,PIP5K1B
NM_001130698,TRPC3
NM_001024596,ZNF772
NM_203290,POLR1C
NM_001040697,UEVLD
NM_001040694,INCENP
NM_001257975,CIZ1
NM_001305242,ALG14
NM_016586,MBIP
NM_001773,CD34
NM_016589,TIMMDC1
NM_002305,LGALS1
NM_001349346,PLPBP
NM_001126118,TP53
NM_001323307,ZNF454
NM_002309,LIF
NM_024577,SH3TC2
NM_024571,SNRNP25
NM_024573,ARMT1
NM_001256510,SSBP1
NM_001166426,WDR13
NM_001316942,FBXL12
NM_016133,INSIG2
NM_024578,OCEL1
NM_152444,PTGR2
NM_032424,MSANTD4
NM_001004304,ZNF740
NM_032427,MAML2
NM_001130964,PLCD1
NM_001130965,SUN1
NM_032423,ZNF528
NM_001130969,NSMF
NM_032429,LZTS2
NM_014850,SRGAP3
NM_001144989,ZNF814
NM_015853,UBXN1
NM_175062,RASGEF1C
NM_014023,WDR37
NM_001004301,ZNF813
NM_031885,BBS2
NM_181892,UBE2D3
NM_138811,C7orf31
NM_001014445,NLE1
NM_019028,ZDHHC13
NM_014587,SOX8
NM_014586,HUNK
NM_014584,ERO1A
NM_001351517,TIA1
NM_138813,ATP8B3
NM_000212,ITGB3
NM_015721,GEMIN4
NM_021916,ZNF70
NM_021913,AXL
NM_001145369,PTPN3
NM_007315,STAT1
NM_018139,DNAAF2
NM_018136,ASPM
NM_018137,PRMT6
NM_152424,AMER1
NM_018135,MRPS18A
NM_018132,CENPQ
NM_018133,MSL2
NM_018130,SHQ1
NM_001145365,ZNF652
NM_005228,EGFR
NM_001289824,FURIN
NM_001159677,SYNCRIP
NM_015512,DNAH1
NM_018215,PNMA8A
NM_000428,LTBP2
NM_005659,UFD1
NM_005309,GPT
NM_005308,GRK5
NM_014369,PTPN18
NM_005650,TCF20
NM_014365,HSPB8
NM_014363,SACS
NM_014362,HIBCH
NM_005657,TP53BP1
NM_032280,ZCCHC9
NM_003851,CREG1
NM_032283,ZDHHC18
NM_032286,MED10
NM_001308054,PCK2
NM_032288,FYTTD1
NM_001271420,TTC19
NM_015184,PLCL2
NM_015185,ARHGEF9
NM_015187,SEL1L3
NM_001286837,RNASEH1
NM_001017927,C2orf76
NM_014754,PTDSS1
NM_000211,ITGB2
NM_001017923,C14orf28
NM_001004342,TRIM67
NM_001004343,MAP1LC3C
NM_001009924,TMEM230
NM_001330420,LUC7L
NM_174983,MFSD12
NM_152519,KANSL1L
NM_001291163,EPHX1
NM_001304499,FOPNL
NM_015379,BRI3
NM_001135773,SPATA2
NM_152513,MEI1
NM_203349,SHC4
NM_152517,TTC30B
NM_152516,COMMD1
NM_001258376,EPS15L1
NM_001258373,SPATA20
NM_145018,DDIAS
NM_001172173,CSRNP3
NM_001301365,LYST
NM_183422,TSC22D1
NM_033489,CDK11B
NM_001322015,PMS2
NM_033484,FBXO4
NM_001162429,PDCD6IP
NM_033480,FBXO9
NM_001330390,TPRKB
NM_001024,RPS21
NM_001330395,WIZ
NM_152474,C19orf18
NM_001020,RPS16
NM_001321272,ZNF571
NM_001028,RPS25
NM_016062,FAM96B
NM_016063,HDDC2
NM_016060,MED31
NM_001010935,RAP1A
NM_016066,GLRX2
NM_016067,MRPS18C
NM_016065,MRPS16
NM_001193552,ZNF850
NM_016068,FIS1
NM_004737,LARGE1
NM_002205,ITGA5
NM_001166111,PNPLA6
NM_001037540,SCML1
NM_001271634,CNOT9
NM_001282662,MKL1
NM_001008528,MXRA7
NM_001240,CCNT1
NM_002202,ISL1
NM_000215,JAK3
NM_001031720,GSTCD
NM_001031721,ZNF613
NM_001031727,MRI1
NM_001031725,DDX59
NM_080608,SPATA25
NM_003796,URI1
NM_005701,SNUPN
NM_001207018,SMTN
NM_001321099,PGAP1
NM_002109,HARS
NM_001111125,IQSEC2
NM_016205,PDGFC
NM_016202,ZNF580
NM_016203,PRKAG2
NM_016200,LSM8
NM_153348,FBXW8
NM_001174146,LMX1B
NM_018696,ELAC1
NM_001318252,C7orf50
NM_001172780,LRRC34
NM_001539,DNAJA1
NM_001134479,LRRC8D
NM_001530,HIF1A
NM_001531,MR1
NM_001533,HNRNPL
NM_001536,PRMT1
NM_001318253,ELMO2
NM_001306206,CSTF2
NM_198963,DHX57
NM_001282934,PRDM15
NM_181708,BCDIN3D
NM_007278,GABARAP
NM_001282931,C19orf12
NM_000046,ARSB
NM_181705,LYRM7
NM_181706,DNAJC24
NM_001350602,UBE3D
NM_000043,FAS
NM_194247,HNRNPA3
NM_001194986,TRABD2B
NM_001160148,DDHD1
NM_133480,TADA3
NM_003979,GPRC5A
NM_001355120,RPA1
NM_003972,BTAF1
NM_194249,DND1
NM_001351800,ABCC6
NM_001201536,TAF1A
NM_001350113,RGS7
NM_001351804,ARNTL
NM_004388,CTBS
NM_001083953,THADA
NM_001083956,ZNF655
NM_006113,VAV3
NM_207344,SPRYD4
NM_007097,CLTB
NM_007096,CLTA
NM_024747,HPS6
NM_024744,CARF
NM_024742,ARMC5
NM_024741,ZNF408
NM_001320327,CHCHD2
NM_001029997,ZNF181
NM_001029991,METTL17
NM_032564,DGAT2
NM_017551,GRID1
NM_017550,MIER2
NM_017553,INO80
NM_133489,SLC26A10
NM_001320329,NDRG2
NM_017554,PARP14
NM_001347937,USP44
NM_173601,GXYLT1
NM_173602,DIP2B
NM_001347934,METTL25
NM_001347931,MYMX
NM_019058,DDIT4
NM_014956,CEP164
NM_001286581,PHRF1
NM_001300981,PPIA
NM_001300980,TMCO6
NM_001113407,LDB1
NM_001080791,CCDC32
NM_001271641,MTCH1
NM_001105537,ZNF142
NM_139033,MAPK7
NM_001243246,P3H1
NM_145914,ZSCAN21
NM_153029,N4BP1
NM_001439,EXTL2
NM_001128423,MPV17L
NM_001554,CYR61
NM_001145113,MYADML2
NM_001172773,ZNF548
NM_005065,SEL1L
NM_207318,FAM199X
NM_207315,CMPK2
NM_001256658,TEAD2
NM_207311,BICDL1
NM_207312,TUBA3E
NM_138924,GAMT
NM_138927,SON
NM_005822,RCAN2
NM_005530,IDH3A
NM_005827,SLC35B1
NM_005824,LRRC17
NM_005533,IFI35
NM_001288980,C18orf54
NM_005828,DCAF7
NM_006320,PGRMC2
NM_024913,CPED1
NM_001286139,SLC36A4
NM_003791,MBTPS1
NM_006325,RAN
NM_003794,SNX4
NM_006329,FBLN5
NM_003799,RNMT
NM_001197181,TUBB3
NM_001080452,GPR108
NM_001324446,ADAT1
NM_024917,TRMT2B
NM_000449,RFX5
NM_001282583,MXRA8
NM_006391,IPO7
NM_032361,THOC3
NM_032366,METTL26
NM_032364,DNAJC14
NM_032368,LZIC
NM_152678,DENND6A
NM_152679,SLC10A4
NM_001307986,ST8SIA5
NM_006392,NOP56
NM_198243,ASB7
NM_001307980,DNAJC4
NM_001442,FABP4
NM_003478,CUL5
NM_139284,LGI4
NM_001003690,MAD2L1BP
NM_001312909,FAM111A
NM_001003699,RREB1
NM_177977,HAP1
NM_014117,C16orf72
NM_004672,MAP3K6
NM_001319137,CTSH
NM_199133,FAM173B
NM_015575,GIGYF2
NM_018670,MESP1
NM_001319681,TCTN1
NM_018674,ASIC4
NM_018676,THSD1
NM_001142935,MXD3
NM_001142930,API5
NM_001040061,FOXL2NB
NM_001278677,ZNF254
NM_001323631,HAUS2
NM_001353432,ANKRD18B
NM_002444,MSN
NM_002446,MAP3K10
NM_002441,MSH5
NM_002442,MSI1
NM_000989,RPL30
NM_031940,TM2D2
NM_002449,MSX2
NM_031947,SLC25A2
NM_014688,USP6NL
NM_014689,DOCK10
NM_005791,MPHOSPH10
NM_152374,C1orf216
NM_004124,GMFB
NM_005795,CALCRL
NM_001178032,ZC4H2
NM_004582,RABGGTB
NM_170725,PGBD2
NM_001244766,MOB1B
NM_031924,RSPH3
NM_002152,HRC
NM_020151,STARD7
NM_001301778,SS18L1
NM_001101330,C1GALT1C1L
NM_033544,RCCD1
NM_033547,INTS4
NM_033549,TRIM41
NM_033018,CDK16
NM_001346401,PGAP2
NM_020156,C1GALT1
NM_001319228,CEP131
NM_001282690,SECISBP2
NM_001237,CCNA2
NM_001236,CBR3
NM_001282695,FAM107B
NM_001207067,BZW1
NM_004585,RARRES3
NM_001353230,FLCN
NM_001320918,CDK1
NM_080651,MED30
NM_001320912,FXYD5
NM_022104,PCIF1
NM_001282166,SUV39H1
NM_022100,MRPS14
NM_021103,TMSB10
NM_004589,SCO1
NM_021107,MRPS12
NM_080654,CCDC34
NM_021105,PLSCR1
NM_000076,CDKN1C
NM_033138,CALD1
NM_001322206,NRG1
NM_019090,MAP10
NM_019091,PLEKHA3
NM_019096,GTPBP2
NM_080659,C11orf52
NM_018059,RADIL
NM_014326,DAPK2
NM_182488,USP12
NM_001031677,RAB24
NM_182480,COQ6
NM_182487,OLFML2A
NM_017634,KCTD9
NM_017636,TRPM4
NM_017637,BNC2
NM_017661,ZNF280D
NM_005654,NR2F1
NM_017633,FAM46A
NM_001142798,C17orf49
NM_017638,MED18
NM_001145525,RAI14
NM_004461,FARSA
NM_001002901,FCRLB
NM_004463,FGD1
NM_019891,ERO1B
NM_019896,POLE4
NM_004464,FGF5
NM_001947,DUSP7
NM_001946,DUSP6
NM_001949,E2F3
NM_001494,GDI2
NM_001493,GDI1
NM_018235,CNDP2
NM_022034,CUZD1
NM_001301132,BAHD1
NM_000017,ACADS
NM_182734,PLCB1
NM_006915,RP2
NM_030934,TRMT1L
NM_006912,RIT1
NM_006910,RBBP6
NM_017946,FKBP14
NM_017947,MOCOS
NM_003897,IER3
NM_000359,TGM1
NM_003890,FCGBP
NM_203301,FBXO33
NM_001134316,PRR22
NM_003898,SYNJ2
NM_153240,NPHP3
NM_001099404,SCN5A
NM_004205,USP2
NM_004204,PIGQ
NM_001345982,KLHL26
NM_019070,DDX49
NM_015670,SENP3
NM_001330182,RAB15
NM_004209,SYNGR3
NM_004208,AIFM1
NM_198552,FAM89A
NM_198557,RBM43
NM_001009565,CDKL4
NM_022817,PER2
NM_022818,MAP1LC3B
NM_054027,ANKH
NM_001161376,C6orf136
NM_001031734,FDX1L
NM_001324321,MAST2
NM_019848,SLC10A3
NM_025176,NINL
NM_015157,PHLDB1
NM_020414,DDX24
NM_020410,ATP13A1
NM_014951,ZNF365
NM_025179,PLXNA2
NM_016545,IER5
NM_016544,DNAJC27
NM_016547,SDF4
NM_015154,MESD
NM_144981,IMMP1L
NM_144982,ZFC3H1
NM_024884,L2HGDH
NM_019112,ABCA7
NM_024881,SLC35E1
NM_016548,GOLM1
NM_015896,ZMYND10
NM_145059,FUK
NM_015894,STMN3
NM_015895,GMNN
NM_175854,PAN3
NM_017491,WDR1
NM_001350204,DNM3
NM_145055,C18orf25
NM_001012994,SNX30
NM_145057,CDC42EP5
NM_014976,PDCD11
NM_001288708,DBNDD1
NM_002140,HNRNPK
NM_002141,HOXA4
NM_014974,DIP2C
NM_002146,HOXB3
NM_002147,HOXB5
NM_001242932,LSP1
NM_007238,PXMP4
NM_013328,PYCR2
NM_013326,RMC1
NM_001303513,PDZD4
NM_001297760,ETNK2
NM_013320,HCFC2
NM_013321,SNX8
NM_001089584,C5orf49
NM_000332,ATXN1
