AccNum,GeneName,txReads0,txRPKM0,cdReads0,cdRPKM0,txReads1,txRPKM1,cdReads1,cdRPKM1,txReads2,txRPKM2,cdReads2,cdRPKM2
NM_001331022,DSCR3,47.0,11.2354139057,24.0,26.4703070175,53.0,12.5999784636,18.0,19.7434460282,44.0,8.7191770063,15.0,13.7142036861
NM_001164375,C10orf105,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001080504,RBM44,1.0,0.209358311982,1.0,0.283849841791,3.0,0.624617543035,3.0,0.846861961639,1.0,0.173548876906,1.0,0.235299094583
NM_001302819,C22orf24,0.0,-,0.0,-,2.0,1.21491232371,2.0,2.6074434082,1.0,0.506341852716,0.0,-
NM_001286752,SETD4,22.0,5.55690036754,14.0,10.0348066371,7.0,1.75837169556,3.0,2.13847876644,28.0,5.86272549691,10.0,5.94172533803
NM_000773,CYP2E1,0.0,-,0.0,-,1.0,0.534940399284,1.0,0.601717709586,1.0,0.445896724527,1.0,0.501558596348
NM_033196,ZNF682,7.0,1.9572097136,5.0,2.99492869144,4.0,1.11224901229,2.0,1.19137694804,9.0,2.08599580857,5.0,2.48266479555
NM_001199828,SPRR1A,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001291088,WDR87,0.0,-,0.0,-,1.0,0.0979724945733,0.0,-,0.0,-,0.0,-
NM_001164377,MRGPRG,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001324266,OGFRL1,17.0,1.71971886887,6.0,3.95885938286,24.0,2.41447376969,10.0,6.56177811336,37.0,3.10271480958,19.0,10.3921169654
NM_020338,ZMIZ1,68.0,8.07072828786,28.0,7.83616922786,89.0,10.5050115763,47.0,13.0811627164,122.0,12.0031502917,55.0,12.759688261
NM_001206739,ITGB3BP,31.0,24.6866173683,17.0,23.4156498521,23.0,18.2150531518,10.0,13.6980897943,20.0,13.2026614527,12.0,13.701563867
NM_020336,RALGAPB,83.0,8.58118032607,56.0,11.196025064,84.0,8.63676170078,61.0,12.1285360941,112.0,9.59883570346,83.0,13.7557896772
NM_020335,VANGL2,29.0,4.85870101949,11.0,6.29853011008,45.0,7.49786137001,22.0,12.5277166049,58.0,8.05530095434,26.0,12.3410318228
NM_001199251,SGO1,10.0,2.89158868177,9.0,5.09478210351,6.0,1.72540273255,5.0,2.81485367931,10.0,2.39700045078,3.0,1.40778378748
NM_130767,ACOT12,1.0,0.450820336962,1.0,0.537578926989,2.0,0.896677371147,2.0,1.06923938322,0.0,-,0.0,-
NM_000064,C3,4.0,0.698894505235,4.0,0.718494912033,2.0,0.347523634297,2.0,0.357269890067,3.0,0.434514715386,3.0,0.446700624872
NM_004229,MED14,53.0,7.02188644526,42.0,8.62786467563,42.0,5.53388255252,32.0,6.53742512243,61.0,6.69945334323,54.0,9.19558564685
NM_000998,RPL37A,950.0,2037.9128414,810.0,2603.26930708,813.0,1734.42394708,706.0,2256.53199211,706.0,1255.44676289,586.0,1561.21708285
NM_001164372,GPN3,19.0,10.6149229621,15.0,13.8376797873,32.0,17.7793524358,25.0,22.9358447944,27.0,12.5042776787,25.0,19.1180514349
NM_001164723,PTAFR,0.0,-,0.0,-,1.0,0.206518213434,1.0,0.866613844126,0.0,-,0.0,-
NM_145271,ZNF688,5.0,2.45397277016,3.0,3.23711787082,4.0,1.95237141895,4.0,4.29239781278,6.0,2.44108321769,6.0,5.366858049
NM_000992,RPL29,55.0,70.9604183625,45.0,84.0639047078,72.0,92.3822827103,52.0,96.605778274,86.0,91.9779082326,51.0,78.9766704774
NM_001348688,ZNF726,11.0,3.78346687855,4.0,13.2841725958,5.0,1.71029084313,3.0,9.90828495118,10.0,2.85120767084,3.0,8.25899821986
NM_001317238,ATAD3B,31.0,10.769907461,12.0,5.9481369832,58.0,20.0392279911,34.0,16.760283002,92.0,26.4953526774,64.0,26.2973077647
NM_000997,RPL37,284.0,162.202285772,276.0,841.782773673,302.0,171.533238836,295.0,894.77879406,226.0,106.998741269,201.0,508.181216997
NM_000069,CACNA1S,0.0,-,0.0,-,1.0,0.144576142284,1.0,0.158617155035,0.0,-,0.0,-
NM_001317943,BSPRY,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001256368,LOC100144595,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_004282,BAG2,47.0,20.5380300001,21.0,29.6074129789,40.0,17.3829560547,16.0,22.4338527196,34.0,12.316049977,15.0,17.5308924478
NM_175932,PSMD13,191.0,97.144750534,139.0,109.620711856,236.0,119.371510132,163.0,127.840404779,211.0,88.9610755502,138.0,90.2170254095
NM_001351349,SPDYE11,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-,0.0,-
NM_001300942,EMSY,34.0,4.4120370633,27.0,6.03149092074,46.0,5.93636753949,36.0,7.99771879467,62.0,6.66935022674,52.0,9.62932527876
NM_031966,CCNB1,137.0,56.6891490908,126.0,86.7756435694,104.0,42.7972068034,93.0,63.6961175433,112.0,38.4174905658,97.0,55.3771539626
NM_004704,RRP9,37.0,20.9716947269,36.0,22.6054197534,54.0,30.4388526313,47.0,29.3501718092,72.0,33.8295249461,58.0,30.1904556776
NM_001326609,AIMP2,85.0,58.4045519298,63.0,77.4910068089,73.0,49.8830897542,52.0,63.6087428965,63.0,35.8839233001,40.0,40.7851763943
NM_005689,ABCB6,64.0,18.8465108748,58.0,20.5644664739,79.0,23.1356013146,77.0,27.1508164143,97.0,23.6785072116,81.0,23.8070767192
NM_001351179,NT5C2,110.0,23.5405683828,39.0,31.4201117327,106.0,22.559675044,41.0,32.8495700538,127.0,22.529916385,50.0,33.3921760911
NM_002040,GABPA,20.0,3.46209131358,4.0,2.62763853543,12.0,2.06582002843,3.0,1.95988053979,19.0,2.72642605327,2.0,1.08909866635
NM_002043,GABRR2,2.0,0.378746209173,0.0,-,1.0,0.188330653771,0.0,-,3.0,0.470946044216,2.0,1.06339032874
NM_001278939,ELN,0.0,-,0.0,-,0.0,-,0.0,-,2.0,0.37484106898,2.0,0.629656789316
