AccNum	GeneName	cdRPKM0	cdRPKM1	cdRPKM2	cdRPKM3	cdRPKM4
NM_001301838	C12orf57	8.272189130452118	7.986168331497941	7.745314029867407	7.030281343687924	6.903175975569095
NM_138348	OTULIN	4.018449459475097	4.525634000832971	4.191242766275216	3.3440755187177937	3.6412854634579355
NM_138340	ABHD3	3.974674708617613	4.425155492020429	4.141936909447713	2.928810984266346	2.7789666918430154
NM_138346	KIAA2013	3.735859449241833	3.7780812659931007	3.660181851338198	3.0346438962781788	2.624272053630411
NM_025164	SIK3	3.22110809442511	3.5229552387129868	3.210709645030343	2.842449124718514	3.1055371848905455
NM_001261	CDK9	6.622084907150031	6.5616037712685165	6.439539980513765	5.623254716638241	5.510794087758775
NM_001262	CDKN2C	4.997436467414956	5.102852110651069	4.726640700398126	3.7004516587680394	4.1778615887796295
NM_178578	PSMF1	7.061747495250491	7.1055678662204125	6.791798242275519	5.965613085195206	5.766285231315798
NM_001353976	STAMBP	5.081683251591066	4.880633917324527	4.764422852816174	4.268441080885088	4.733250974118948
NM_020248	CTNNBIP1	8.056823749976598	7.698720565341814	7.125448786657359	6.645598696493721	6.1622953313925946
NM_022070	HEATR6	3.7834238758098637	3.7992175672847415	3.9098585723066615	3.4277489749588157	3.442116032781804
NM_197977	ZNF189	2.7837900885443365	2.159435639019051	2.240081903738443	1.9830388620261148	1.7425920208209782
NM_021156	TMX4	4.635903103570045	5.099826149880327	4.54304249398689	3.9567813214560656	3.8056018183497633
NM_001322929	STAU1	5.815512513491451	5.766211176741518	5.599841233154835	5.0004059939953915	5.054579901681405
NM_001284390	VGLL4	5.489095561857214	5.155571910472967	4.322457026129264	4.371870670541765	3.8547144866073437
NM_001039479	AREL1	2.7750092030011064	2.433902380200904	2.7798215229471537	2.0248840495525426	2.335847149356732
NM_015178	RHOBTB2	2.801711996540642	3.317865001623224	3.9416535913724973	3.252499537017963	2.7490182899794338
NM_001184985	WNK1	4.419593223902775	4.888876134115301	5.330308068540731	4.44544480403689	4.305016385271679
NM_001142298	SQSTM1	6.081265139707357	5.917960587216008	5.593700032937305	5.0029799376600055	4.644929130141916
NM_001322253	RAD54L2	2.846013461935117	3.196145771206265	3.575703478082962	2.8095007597321375	3.0002110831689492
NM_001277285	IGSF9B	0.4862349425717055	1.0138835864915159	1.0737712910438046	0.7558730439468594	0.8373542976324068
NM_001300780	SEMA6A	4.169168431286894	4.464284757767623	4.978177847843056	4.039149100533618	4.02040290647898
NM_001320778	SCAMP2	5.433051082760716	5.726234473043353	5.4395399805121025	5.18073648093519	4.5003774718103635
NM_001254	CDC6	5.549097906863906	4.964829877798404	4.676384659595721	3.69882654449915	3.8030278746773143
NM_004447	EPS8	5.239935130086828	5.504549368173477	5.603236188451092	5.014145012131234	4.998329064458216
NM_021738	SVIL	3.1557736687997755	3.4949772233074654	3.791152456645434	3.3025550223870552	3.5766813540169915
NM_001272075	USP10	3.842841872499337	3.6200101157837743	3.6575876586064706	3.3538945235927153	3.3941531145540464
NM_001318120	SEC31A	5.6838587463154	5.630705845886451	5.344630523709327	4.774481779120556	4.763186391657556
NM_012210	TRIM32	4.608436507820432	4.051049047883325	4.079227892706899	3.5226245691368465	3.7911913754187134
NM_001174064	FGFR1	3.219704022842616	3.9070093327474407	3.8807403935536127	3.4342195529711574	3.125754288342413
NM_001990	EYA3	5.206238775856742	4.832813460932746	4.8751503687535775	4.495851576992371	4.413834098391621
NM_001991	EZH1	2.177649676132569	1.8048339936000173	1.4000534311474917	1.393971962969945	1.709918470289692
NM_001300987	PTBP2	4.73935901443414	4.781580831185368	4.415128387391406	3.6107222377318444	3.921685337532536
NM_000026	ADSL	6.6367979689539975	6.584893098022043	6.672805210038158	5.706349704134779	5.635095717672367
NM_000021	PSEN1	5.024104417877681	5.101515663088313	4.989871538262503	4.425982357873375	4.4043701185945086
NM_000023	SGCA	6.692315803124353	6.826650844220312	6.500840384929669	5.566373694706752	5.524796551983791
NM_182852	CCNB1IP1	2.8571418302922087	2.647824880043515	2.380547841342369	2.4349022270251726	2.400906263287485
